Date,2018-12-31,2017-12-31,2016-12-31
Revenue,72971000.0,59466000.0,42696000.0
Revenue Growth,0.227104563952511,0.392776840921866,
Cost of Revenue,6274000.0,12125000.0,7292000.0
Gross Profit,66697000.0,47341000.0,35404000.0
R&D Expenses,0.0,0.0,0.0
SG&A Expense,17957000.0,15146000.0,10153000.0
Operating Expenses,46181000.0,40668000.0,27493000.0
Operating Income,20516000.0,6673000.0,7911000.0
Interest Expense,2303000.0,1745000.0,1634000.0
Earnings before Tax,18213000.0,4928000.0,6277000.0
Income Tax Expense,-6000.0,1145000.0,-337000.0
Net Income - Non-Controlling int,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0
Net Income,18219000.0,3783000.0,6614000.0
Preferred Dividends,0.0,0.0,0.0
Net Income Com,18219000.0,3783000.0,6614000.0
EPS,1.07,0.22,0.39
EPS Diluted,1.07,0.22,0.39
Weighted Average Shs Out,22625000.0,22625000.0,22625000.0
Weighted Average Shs Out (Dil),17000000.0,17000000.0,17000000.0
Dividend per Share,0.0,0.0,0.0
Gross Margin,0.914,0.7961,0.8292
EBITDA Margin,0.284,0.115,0.187
EBIT Margin,0.2812,0.1122,0.1853
Profit Margin,0.25,0.064,0.155
Free Cash Flow margin,0.308,0.3394,0.3497
EBITDA,20728000.0,6833000.0,7999000.0
EBIT,20516000.0,6673000.0,7911000.0
Consolidated Income,18219000.0,3783000.0,6614000.0
Earnings Before Tax Margin,0.2496,0.0829,0.147
Net Profit Margin,0.2497,0.0636,0.1549
