Date,2018-12-31,2017-12-31
Revenue,32440000.0,26807000.0
Revenue Growth,0.210131682023352,
Cost of Revenue,15379000.0,14137000.0
Gross Profit,17061000.0,12670000.0
R&D Expenses,2125000.0,1551000.0
SG&A Expense,19675000.0,18820000.0
Operating Expenses,21941000.0,20557000.0
Operating Income,-4880000.0,-7887000.0
Interest Expense,2868000.0,2948000.0
Earnings before Tax,-7954000.0,-26180000.0
Income Tax Expense,58000.0,-549000.0
Net Income - Non-Controlling int,0.0,0.0
Net Income - Discontinued ops,0.0,0.0
Net Income,-8012000.0,-25631000.0
Preferred Dividends,10470000.0,7143000.0
Net Income Com,-18482000.0,-32774000.0
EPS,-293.34,-520.18
EPS Diluted,-293.34,-520.18
Weighted Average Shs Out,,
Weighted Average Shs Out (Dil),63005000.0,63005000.0
Dividend per Share,0.0,0.0
Gross Margin,0.5259,0.4726
EBITDA Margin,-0.134,-0.842
EBIT Margin,-0.1568,-0.8666
Profit Margin,-0.57,-1.223
Free Cash Flow margin,-0.2928,-0.4282
EBITDA,-4355000.0,-22562000.0
EBIT,-5086000.0,-23232000.0
Consolidated Income,-8012000.0,-25631000.0
Earnings Before Tax Margin,-0.2452,-0.9766
Net Profit Margin,-0.247,-0.9561
