date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,3747000000.0,2790000000.0,1935000000.0,2251000000.0,2214000000.0,2109000000.0
,depreciationAndAmortization,367000000.0,302000000.0,254000000.0,219000000.0,174000000.0,131000000.0
,deferredIncomeTax,23000000.0,-53000000.0,385000000.0,389000000.0,-295000000.0,-203000000.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,65000000.0,157000000.0,397000000.0,-547000000.0,710000000.0,92000000.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,608000000.0,601000000.0,649000000.0,525000000.0,429000000.0,294000000.0
,netCashProvidedByOperatingActivites,8990000000.0,9342000000.0,8916000000.0,6823000000.0,6184000000.0,5340000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-7856000000.0,-7271000000.0,-3159000000.0,-3380000000.0,-5102000000.0,-1376000000.0
,salesMaturitiesOfInvestments,8085000000.0,5668000000.0,3762000000.0,1380000000.0,3538000000.0,27000000.0
,otherInvestingActivites,-588000000.0,-802000000.0,-342000000.0,-174000000.0,272000000.0,-1474000000.0
,netCashUsedForInvestingActivites,-261000000.0,-19036000000.0,-9410000000.0,-13320000000.0,-10803000000.0,-10068000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-9477000000.0,-3157000000.0,-5410000000.0,-9150000000.0,-9993000000.0,-16089000000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,2842000000.0
,commonStockRepurchased,-3618000000.0,-1868000000.0,-1497000000.0,-476000000.0,0.0,0.0
,dividendsPaid,-581000000.0,-534000000.0,-446000000.0,-214000000.0,0.0,0.0
,otherFinancingActivites,37000000.0,-34000000.0,-5000000.0,-5000000.0,-40000000.0,-738000000.0
,netCashUsedProvidedByFinancingActivities,-6458000000.0,8253000000.0,2775000000.0,3493000000.0,5116000000.0,14237000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,2271000000.0,-1441000000.0,2281000000.0,-3004000000.0,497000000.0,9509000000.0
,cashAtEndOfPeriod,12647000000.0,10376000000.0,11602000000.0,9321000000.0,12325000000.0,11828000000.0
,cashAtBeginningOfPeriod,10376000000.0,11817000000.0,9321000000.0,12325000000.0,11828000000.0,2319000000.0
,operatingCashFlow,8990000000.0,9342000000.0,8916000000.0,6823000000.0,6184000000.0,5340000000.0
,capitalExpenditure,0.0,0.0,0.0,0.0,0.0,0.0
,freeCashFlow,8990000000.0,9342000000.0,8916000000.0,6823000000.0,6184000000.0,5340000000.0
