Date,2018-09-30,2017-09-30
Depreciation & Amortization,22235182.4818,15315377.6708
Stock-based compensation,328759.1241,116611.4956
Operating Cash Flow,-17087299.2701,-6558681.9139
Capital Expenditure,-98437664.2336,-42960878.724
Acquisitions and disposals,0.0,0.0
Investment purchases and sales,0.0,0.0
Investing Cash flow,-98437664.2336,-42960878.724
Issuance (repayment) of debt,51736204.3796,67314775.805
Issuance (buybacks) of shares,437.9562,451.3993
Dividend payments,0.0,0.0
Financing Cash Flow,78763211.6788,97720583.8098
Effect of forex changes on cash,504379.562,-35811.0141
Net cash flow / Change in cash,-36257372.2628,48165212.1577
Free Cash Flow,-115524963.5036,-49519560.638
Net Cash/Marketcap,,
