date,,2021-02-28_FY,2020-02-29_FY,2019-02-28_FY,2018-02-28_FY,2017-02-28_FY,2016-02-29_FY,2015-02-28_FY,2014-02-28_FY,2013-02-28_FY,2012-02-29_FY,2011-02-28_FY,2010-02-28_FY,2009-02-28_FY,2008-02-29_FY,2007-02-28_FY,2006-02-28_FY
,revenue,20676258.0,-6121490.0,-17817090.0,82426200.0,141976190.0,-75836380.0,29097280.0,127800000.0,96900000.0,-7200000.0,119500000.0,347900000.0,-542800000.0,-31700000.0,283800000.0,152900000.0
,costOfRevenue,0.0,6131510.0,8352210.0,9187410.0,8820560.0,9546800.0,10084010.0,10200000.0,9900000.0,10700000.0,11400000.0,11600000.0,14700000.0,20000000.0,19700000.0,17000000.0
,grossProfit,0.0,-12253000.0,-26169300.0,73238790.0,133155630.0,-85383180.0,19013270.0,117600000.0,87100000.0,-17900000.0,108200000.0,336300000.0,-557500000.0,-51700000.0,264100000.0,135900000.0
,grossProfitRatio,0.0,2.00163685638627,1.46877520403163,0.888537746493227,0.937872963065145,1.1258868105255,0.653438053316324,0.92018779342723,0.898864809081527,2.48611111111111,0.905439330543933,0.966657085369359,1.02708179808401,1.63091482649842,0.930584918957012,0.888816219751472
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,623693.0,503180.0,515600.0,413890.0,401900.0,570060.0,1414170.0,1400000.0,1400000.0,1700000.0,1600000.0,1700000.0,2200000.0,3000000.0,2700000.0,2900000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,76540.0,-195930.0,-54850.0,-66560.0,-45720.0,-37710.0,-100000.0,-300000.0,-900000.0,-1500000.0,-2000000.0,-2600000.0,-3600000.0,-3600000.0,-3300000.0
,operatingExpenses,0.0,637704.0,372595.0,417921.0,335340.0,524350.0,1376470.0,1400000.0,1100000.0,800000.000000001,99999.9999999996,-299999.999999999,-399999.999999999,-500000.0,-899999.999999999,-399999.999999999
,costAndExpenses,0.0,6711230.0,8671880.0,9546450.0,9155900.0,10071150.0,11460480.0,11600000.0,11000000.0,11500000.0,11500000.0,11300000.0,14300000.0,19500000.0,18800000.0,16600000.0
,interestExpense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,EBITDA,0.0,-12832720.0,-26488970.0,72879760.0,132820280.0,-85907530.0,17636810.0,116200000.0,85900000.0,-18700000.0,108000000.0,336600000.0,-557100000.0,-51200000.0,265000000.0,136400000.0
,EBITDARatio,0.0,2.096339,1.486717,0.884182,0.935511,1.132801,0.606133,0.909233,0.886481,2.597222,0.903766,0.967519,1.026345,1.615142,0.933756,0.892086
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,0.0,-12832720.0,-26488970.0,72879750.0,132820290.0,-85907530.0,17636800.0,116200000.0,85900000.0,-18700000.0,108000000.0,336600000.0,-557100000.0,-51200000.0,265000000.0,136400000.0
,operatingIncomeRatio,0.968418656799504,2.09633928994411,1.4867169666876,0.88418184994577,0.935511017727691,1.13280103823521,0.606132257035709,0.909233176838811,0.886480908152735,2.59722222222222,0.903765690376569,0.967519402127048,1.02634487840825,1.61514195583596,0.933756166314306,0.892086330935252
,totalOtherIncomeExpensesNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100000.0,-300000.0,-900000.0,-1500000.0,-2000000.0,-2600000.0,-3600000.0,-3600000.0,-3300000.0
,incomeBeforeTax,20023274.0,-12832720.0,-26488970.0,72879760.0,132820280.0,-85907530.0,17636810.0,116200000.0,85900000.0,-18700000.0,108000000.0,336600000.0,-557100000.0,-51200000.0,265000000.0,136400000.0
,incomeBeforeTaxRatio,0.968418656799504,2.09633928994411,1.4867169666876,0.884181971266418,0.935510947293345,1.13280103823521,0.606132600710444,0.909233176838811,0.886480908152735,2.59722222222222,0.903765690376569,0.967519402127048,1.02634487840825,1.61514195583596,0.933756166314306,0.892086330935252
,incomeTaxExpense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netIncome,20023274.0,-12832720.0,-26488970.0,72879760.0,132820280.0,-85907530.0,17636810.0,116200000.0,85900000.0,-18700000.0,108000000.0,336600000.0,-557100000.0,-51200000.0,265000000.0,136400000.0
,netIncomeRatio,0.968418656799504,2.09633928994411,1.4867169666876,0.884181971266418,0.935510947293345,1.13280103823521,0.606132600710444,0.909233176838811,0.886480908152735,2.59722222222222,0.903765690376569,0.967519402127048,1.02634487840825,1.61514195583596,0.933756166314306,0.892086330935252
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,0.206260879203423,-0.13219,-0.27286,0.75074,1.36819,-0.88066,0.1808,1.19179,0.88103,-0.19179,1.10997,3.48808,-5.76708,-0.52621,2.7376,1.42529
,EPSDiluted,0.206260879203423,-0.13219,-0.27286,0.75074,1.36819,-0.88066,0.1808,1.19179,0.88103,-0.19179,1.10997,3.48808,-5.76708,-0.52621,2.7376,1.42529
,weightedAverageShsOut,97077420.0,97077420.0,97077420.0,97077420.0,97077420.0,97548930.0,97548930.0,97500000.0,97500000.0,97500000.0,97300000.0,96500000.0,96600000.0,97300000.0,96800000.0,95700000.0
,weightedAverageShsOutDil,97077420.0,97077420.0,97077420.0,97077420.0,97077420.0,97548930.0,97548930.0,97500000.0,97500000.0,97500000.0,97300000.0,96500000.0,96600000.0,97300000.0,96800000.0,95700000.0
