Date,2017-12-31,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2012-12,2011-12-31
Depreciation & Amortization,6897000.0,6368000.0,6000000.0,3693000.0,4000000.0,3267000.0,3000000.0,2804000.0,3000000.0,4405000.0,4000000.0,3762000.0
Stock-based compensation,3312000.0,2207000.0,,3113000.0,,2770000.0,,1648000.0,,3034000.0,,1850000.0
Operating Cash Flow,34609000.0,73697000.0,74000000.0,-58977000.0,-59000000.0,-81409000.0,-81000000.0,-62437000.0,-62000000.0,-48313000.0,-48000000.0,-17568000.0
Capital Expenditure,2161000.0,1578000.0,-2000000.0,1209000.0,-1000000.0,1815000.0,-2000000.0,1023000.0,-1000000.0,4421000.0,-4000000.0,831000.0
Acquisitions and disposals,-0.0,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0
Investment purchases and sales,0.0,0.0,0,0.0,-3000000,0.0,-4000000,0.0,0,0.0,0,0.0
Investing Cash flow,-43573000.0,-1577000.0,-2000000.0,-97825000.0,-98000000.0,-68098000.0,-68000000.0,-1134000.0,-1000000.0,-4387000.0,-4000000.0,3173000.0
Issuance (repayment) of debt,-0.0,-0.0,-82000000.0,-0.0,-93000000.0,-0.0,-5000000.0,-0.0,000000.0,-0.0,000000.0,-59402000.0
Issuance (buybacks) of shares,-240990000.0,-67792000.0,000000.0,-46898000.0,000000.0,-180334000.0,000000.0,-144727000.0,000000.0,-79815000.0,-1000000.0,-124316000.0
Dividend payments,-0.0,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0
Financing Cash Flow,182162000.0,-51226000.0,-51000000.0,23366000.0,23000000.0,185114000.0,185000000.0,128483000.0,128000000.0,8199000.0,8000000.0,23209000.0
Effect of forex changes on cash,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Net cash flow / Change in cash,173198000.0,67792000.0,21000000.0,-133436000.0,-133000000.0,35607000.0,36000000.0,64912000.0,65000000.0,-44501000.0,-45000000.0,8814000.0
Free Cash Flow,32448000.0,72119000.0,72000000.0,-60186000.0,-60000000.0,-83224000.0,-83000000.0,-63460000.0,-63000000.0,-52734000.0,-53000000.0,-18399000.0
Net Cash/Marketcap,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
