Date,2018-12-31,2017-12-31
Depreciation & Amortization,,
Stock-based compensation,0.0,0.0
Operating Cash Flow,-687473.0,-376076.0
Capital Expenditure,0.0,0.0
Acquisitions and disposals,0.0,0.0
Investment purchases and sales,0.0,-61884375.0
Investing Cash flow,0.0,-61884375.0
Issuance (repayment) of debt,600000.0,-385696.0
Issuance (buybacks) of shares,0.0,62909375.0
Dividend payments,0.0,0.0
Financing Cash Flow,600000.0,62172340.0
Effect of forex changes on cash,0.0,0.0
Net cash flow / Change in cash,-87473.0,-88111.0
Free Cash Flow,-687473.0,-376076.0
Net Cash/Marketcap,,
