date,,2020-12-31_FY
,revenue,46719000.0
,costOfRevenue,72552000.0
,grossProfit,-25833000.0
,grossProfitRatio,-0.552944198291916
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,20366000.0
,GeneralAndAdministrativeExpenses,95890000.0
,SellingAndMarketingExpenses,34386000.0
,otherExpenses,-1834000.0
,operatingExpenses,153514000.0
,costAndExpenses,226066000.0
,interestExpense,186000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,2872000.0
,EBITDA,-176475000.0
,EBITDARatio,-3.77737109099082
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-179347000.0
,operatingIncomeRatio,-3.83884500952503
,totalOtherIncomeExpensesNet,87699000.0
,incomeBeforeTax,-73273000.0
,incomeBeforeTaxRatio,-1.56837689162867
,incomeTaxExpense,1347000.0
,netIncome,-73137000.0
,netIncomeRatio,-1.56546587041675
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-0.214879846723496
,EPSDiluted,-0.214879846723496
,weightedAverageShsOut,350288783.0
,weightedAverageShsOutDil,350288783.0
