date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-67156000.0,-307969000.0,-5382000.0,308891000.0,28693000.0,41598000.0,134484000.0,129973000.0,110627000.0,71112000.0,49271000.0,25971000.0,9219000.0
,depreciationAndAmortization,39855000.0,49299000.0,59211000.0,71814000.0,84364000.0,77605000.0,66726000.0,47232000.0,17806000.0,13642000.0,12049000.0,8104000.0,10390000.0
,deferredIncomeTax,5033000.0,307339000.0,-5791000.0,-297336000.0,-2597000.0,-1326000.0,1166000.0,2015000.0,2992000.0,-381000.0,-1119000.0,-1179000.0,1197000.0
,stockBasedCompensation,7804000.0,11874000.0,10192000.0,4255000.0,6188000.0,4812000.0,2236000.0,2400000.0,3644000.0,3932000.0,3110000.0,296000.0,0.0
,changeInWorkingCapital,-68000000.0,-546000.0,-64924000.0,-14459000.0,-420000.0,15628000.0,45824000.0,-16711000.0,97393000.0,-12751000.0,12840000.0,28401000.0,7850000.0
,accountsReceivables,14973000.0,-12207000.0,14556000.0,29965000.0,15980000.0,2401000.0,-22492000.0,-5602000.0,-39999000.0,812000.0,-16725000.0,-21420000.0,7693000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,28610000.0,96610000.0,97156000.0,162080000.0,176539000.0,176959000.0,161331000.0,115507000.0,132218000.0,34825000.0,47576000.0,34736000.0,6335000.0
,otherNonCashItems,1396000.0,1402000.0,6116000.0,1158000.0,-2001000.0,-5312000.0,-36456000.0,1181000.0,84000.0,0.0,5926000.0,296000.0,0.0
,netCashProvidedByOperatingActivites,-22401000.0,46688000.0,68402000.0,66082000.0,126818000.0,195352000.0,197493000.0,185474000.0,116529000.0,111611000.0,52812000.0,33284000.0,28905000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-2705000.0,-2161000.0,-3916000.0,-10514000.0,-23269000.0,-36188000.0,-64846000.0,-34134000.0,-35563000.0,-16442000.0,-11614000.0,-7536000.0,-5216000.0
,acquisitionsNet,3307000.0,38632000.0,15000000.0,0.0,-9409000.0,-28675000.0,-34720000.0,-255348000.0,0.0,-2515000.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,-48219000.0,-29966000.0,0.0,-50000.0,-75000000.0,-15000000.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,46622000.0,7994000.0,0.0,0.0,0.0,28112000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,422000.0,0.0,478000.0,674000.0,722000.0,-1702000.0,73588000.0,0.0,887000.0,-27875000.0,0.0,0.0
,netCashUsedForInvestingActivites,47224000.0,44887000.0,11084000.0,-10036000.0,-80223000.0,-65995000.0,-101268000.0,-215944000.0,-110563000.0,-33070000.0,-39489000.0,-7536000.0,-5216000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-46622000.0,-44996000.0,-486759000.0,-59761000.0,-50723000.0,-50373000.0,-4959000.0,-3729000.0,-603000.0,-696000.0,-743000.0,-1815000.0,-34716000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,-19995000.0,-40362000.0,-39011000.0,-37662000.0,-58949000.0,-255713000.0,-141018000.0,-16781000.0,-62151000.0,-17788000.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-2688000.0,-4047000.0,402838000.0,-1562000.0,11757000.0,-2069000.0,195484000.0,200039000.0,84795000.0,-5703000.0,-3114000.0,-465000.0,12327000.0
,netCashUsedProvidedByFinancingActivities,-49310000.0,-69038000.0,-124283000.0,-100334000.0,-76628000.0,-111391000.0,-65188000.0,55292000.0,67411000.0,-68550000.0,-21645000.0,-2280000.0,-22389000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-24487000.0,22537000.0,-44797000.0,-44288000.0,-30033000.0,17966000.0,31037000.0,24822000.0,73377000.0,9991000.0,-8322000.0,23468000.0,1300000.0
,cashAtEndOfPeriod,62096000.0,86583000.0,64046000.0,105006000.0,149294000.0,179327000.0,161361000.0,130324000.0,105502000.0,32125000.0,22134000.0,30456000.0,6988000.0
,cashAtBeginningOfPeriod,86583000.0,64046000.0,108843000.0,149294000.0,179327000.0,161361000.0,130324000.0,105502000.0,32125000.0,22134000.0,30456000.0,6988000.0,5688000.0
,operatingCashFlow,-22401000.0,46688000.0,68402000.0,66082000.0,126818000.0,195352000.0,197493000.0,185474000.0,116529000.0,111611000.0,52812000.0,33284000.0,28905000.0
