date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY
,revenue,178574000000.0,255583000000.0,279332000000.0,237162000000.0,218608000000.0,259488000000.0,394105000000.0,420836000000.0,453123000000.0,471140000000.0,372544000000.0,303443000000.0,477359000000.0,404552000000.0,377635000000.0,370680000000.0,298035000000.0,246738000000.0,204506000000.0,213488000000.0,232748000000.0,160883000000.0,100697000000.0,120279000000.0,116728000000.0,107893000000.0,99683000000.0
,costOfRevenue,170447000000.0,199625000000.0,211599000000.0,182238000000.0,179496000000.0,206316000000.0,313470000000.0,332452000000.0,351967000000.0,340305000000.0,262298000000.0,185833000000.0,288810000000.0,232852000000.0,213255000000.0,213002000000.0,163547000000.0,129928000000.0,109701000000.0,111631000000.0,128022000000.0,95063000000.0,57423000000.0,71769000000.0,70424000000.0,62352000000.0,59224000000.0
,grossProfit,8127000000.0,55958000000.0,67733000000.0,54924000000.0,39112000000.0,53172000000.0,80635000000.0,88384000000.0,101156000000.0,130835000000.0,110246000000.0,117610000000.0,188549000000.0,171700000000.0,164380000000.0,157678000000.0,134488000000.0,116810000000.0,94805000000.0,101857000000.0,104726000000.0,65820000000.0,43274000000.0,48510000000.0,46304000000.0,45541000000.0,40459000000.0
,grossProfitRatio,0.0455105446481571,0.218942574427877,0.242482064353529,0.231588534419511,0.17891385493669,0.204911209766926,0.204602834270055,0.210020055318461,0.223241812929381,0.277698773188437,0.295927460917368,0.387585147787229,0.394983649622192,0.424420099270304,0.435288042686721,0.425374986511277,0.451249014377506,0.473417146933184,0.463580530644578,0.477108783631867,0.449954457181157,0.409117184537832,0.429744679583304,0.403312298905046,0.396682886710986,0.422094111758872,0.405876628913656
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,10168000000.0,11398000000.0,11480000000.0,10956000000.0,10799000000.0,11501000000.0,12598000000.0,12877000000.0,13877000000.0,14983000000.0,14683000000.0,14735000000.0,15873000000.0,14890000000.0,14273000000.0,14402000000.0,13849000000.0,13396000000.0,12356000000.0,12900000000.0,12044000000.0,13134000000.0,8372000000.0,8406000000.0,7961000000.0,7629000000.0,7226000000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-9000000.0,2679000000.0,2240000000.0,1821000000.0,2680000000.0,1750000000.0,4511000000.0,3492000000.0,14162000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,37575000000.0,43192000000.0,45609000000.0,42850000000.0,38176000000.0,40289000000.0,46553000000.0,48083000000.0,51275000000.0,72620000000.0,67705000000.0,89428000000.0,69971000000.0,68093000000.0,95273000000.0,66209000000.0,64570000000.0,60088000000.0,54238000000.0,54221000000.0,52882000000.0,56203000000.0,36288000000.0,36991000000.0,36246000000.0,36343000000.0,33425000000.0
