date,,2020-03-31_FY,2019-03-31_FY,2018-03-31_FY,2017-03-31_FY,2016-03-31_FY
,revenue,2594251200000.0,2993662400000.0,2882951100000.0,2656495100000.0,2697422000000.0
,costOfRevenue,1763059300000.0,2081342000000.0,2006629400000.0,1798620900000.0,1747387900000.0
,grossProfit,831191900000.0,912320400000.0,876321700000.0,857874200000.0,950034100000.0
,grossProfitRatio,0.320397616082822,0.304750595791964,0.303966896975811,0.322934606579926,0.35220076799255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,41884900000.0,42245700000.0,35318700000.0,34135700000.0,34687700000.0
,GeneralAndAdministrativeExpenses,311711400000.0,349813400000.0,305980700000.0,287709200000.0,291860900000.0
,SellingAndMarketingExpenses,76142400000.0,87296300000.0,89685900000.0,86986800000.0,87684600000.0
,otherExpenses,199730700000.0,223572700000.0,229889600000.0,197243800000.0,188690900000.0
,operatingExpenses,1032614400000.0,1115412100000.0,992059200000.0,921830300000.0,922148500000.0
,costAndExpenses,2795673700000.0,3196754100000.0,2998688600000.0,2720451200000.0,2669536400000.0
,interestExpense,72553100000.0,57586000000.0,46365000000.0,42365700000.0,47912600000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,207632100000.0,230197800000.0,209818200000.0,182405400000.0,168074900000.0
,EBITDA,6209600000.0,27106100000.0,94080700000.0,118449300000.0,195960500000.0
,EBITDARatio,0.00239360012631005,0.00905449458830094,0.0326334706128037,0.0445885633291776,0.072647327707715
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-201422500000.0,-203091700000.0,-115737500000.0,-63956100000.0,27885600000.0
,operatingIncomeRatio,-0.0776418644424256,-0.0678405487539276,-0.0401454953571706,-0.0240753690831201,0.0103378707521478
,totalOtherIncomeExpensesNet,152939100000.0,-64740000000.0,260720600000.0,198585500000.0,137225300000.0
,incomeBeforeTax,-109339600000.0,-317553100000.0,105740500000.0,97904400000.0,124384900000.0
,incomeBeforeTaxRatio,-0.0421468823065399,-0.106075120561357,0.0366778680359858,0.0368547263648256,0.0461125103895497
,incomeTaxExpense,3644500000.0,-25425000000.0,38058500000.0,35670000000.0,27512700000.0
,netIncome,-113940300000.0,-293142700000.0,66660800000.0,61210500000.0,95883400000.0
,netIncomeRatio,-0.0439203034771652,-0.097921094910368,0.0231224178585617,0.0230418268040472,0.0355463105142614
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-164.5,-431.5,98.0,90.0,142.0
,EPSDiluted,-164.5,-431.5,98.0,90.0,142.0
,weightedAverageShsOut,692171113.0,679170169.0,679170139.0,679140405.0,675850414.0
,weightedAverageShsOutDil,692171113.0,679170169.0,679315787.0,679310837.0,676026172.0
