date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-241166000.0,342494000.0,-1237648000.0,-1339102000.0,-2219182000.0,64807000.0,366055000.0,414189000.0,491687000.0,336653000.0,-106882000.0,252143000.0,130600000.0,156364000.0,121922000.0,70046000.0
,depreciationAndAmortization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197833000.0,168039000.0,104576000.0,56056000.0
,deferredIncomeTax,72220000.0,1373000.0,-475688000.0,-80456000.0,-773870000.0,76545000.0,204882000.0,248581000.0,284838000.0,199811000.0,-56189000.0,154316000.0,76012000.0,64562000.0,65662000.0,40077000.0
,stockBasedCompensation,7721000.0,12669000.0,21641000.0,25647000.0,28098000.0,23258000.0,22436000.0,18190000.0,13509000.0,8871000.0,7650000.0,4177000.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-7848000.0,63160000.0,-123253000.0,52837000.0,53645000.0,-120083000.0,53244000.0,67142000.0,-10764000.0,60545000.0,-40858000.0,47955000.0,-785000.0,15087000.0,23434000.0,-29339000.0
,accountsReceivables,-24343000.0,-11571000.0,-110879000.0,155416000.0,207367000.0,17618000.0,-22912000.0,-55750000.0,-62802000.0,-47631000.0,-27336000.0,-12396000.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,40117000.0,11368000.0,-24953000.0,-62774000.0,-117136000.0,-86480000.0,33360000.0,58647000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,0.0,0.0,0.0,0.0,0.0,0.0,-6980000.0,13824000.0,0.0,0.0,0.0,0.0,12134000.0,-3522000.0,0.0,0.0
,otherNonCashItems,17919000.0,-48396000.0,9497000.0,310948000.0,29877000.0,-1213000.0,-6725000.0,-20220000.0,-9453000.0,11897000.0,224092000.0,14566000.0,20054000.0,16596000.0,1000.0,0.0
,netCashProvidedByOperatingActivites,755960000.0,1092003000.0,577109000.0,595010000.0,1051392000.0,1815302000.0,1744745000.0,1401215000.0,1192083000.0,997289000.0,435612000.0,763029000.0,394032000.0,411209000.0,330434000.0,135547000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-805847000.0,-957800000.0,-856577000.0,-553181000.0,-2496933000.0,-2968365000.0,-2818046000.0,-2171459000.0,-1804312000.0,-923776000.0,-585797000.0,-1330853000.0,-497988000.0,-551969000.0,-1096495000.0,-532038000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,-44900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,2371000.0,322257000.0,0.0,0.0,0.0,764000.0,0.0,0.0,0.0,5420000.0
,otherInvestingActivites,0.0,0.0,0.0,17250000.0,0.0,0.0,-10530000.0,-306000.0,-25000000.0,0.0,0.0,0.0,0.0,0.0,-30433000.0,-256000.0
,netCashUsedForInvestingActivites,-733847000.0,-953054000.0,73397000.0,-222576000.0,-1982119000.0,-2860517000.0,-1902499000.0,-1780318000.0,-1760036000.0,-914574000.0,-505335000.0,-1134947000.0,-466971000.0,-527579000.0,-1126928000.0,-525874000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-2672419000.0,-3204288000.0,-2725121000.0,-1601919000.0,-5739929000.0,-1675000000.0,-3313988000.0,-1920000000.0,-1181871000.0,-1485603000.0,-952701000.0,-738236000.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,1111148000.0,0.0,0.0,0.0,0.0,0.0,234753000.0,0.0,210394000.0,0.0,277117000.0,239686000.0
,commonStockRepurchased,0.0,-4744000.0,-6081000.0,-844000.0,-1126000.0,-11652000.0,-5611000.0,-5695000.0,0.0,-47529000.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,-538000.0,-1077000.0,-1077000.0,-16441000.0,-10302000.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-4649000.0,-15453000.0,-19231000.0,-23343000.0,-55587000.0,-52926000.0,-37060000.0,-10831000.0,-12240000.0,-26150000.0,-23803000.0,0.0,-3049000.0,-3640000.0,-23616000.0,-11174000.0
,netCashUsedProvidedByFinancingActivities,-27068000.0,-1004721000.0,155648000.0,-315262000.0,868680000.0,423855000.0,812414000.0,408092000.0,564812000.0,-75723000.0,72059000.0,366764000.0,77345000.0,116360000.0,805216000.0,338402000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
