date,,2020-09-30_FY,2019-09-30_FY,2018-09-30_FY,2017-09-30_FY,2016-09-30_FY,2015-09-30_FY,2014-09-30_FY,2013-09-30_FY,2012-09-30_FY,2011-09-30_FY,2010-09-30_FY,2009-09-30_FY,2008-09-30_FY,2007-09-30_FY,2006-09-30_FY,2005-09-30_FY,2004-09-30_FY,2003-09-30_FY,2002-09-30_FY,2001-09-30_FY,2000-09-30_FY,1999-09-30_FY,1998-09-30_FY,1997-09-30_FY,1996-09-30_FY,1995-09-30_FY,1994-09-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,240395000.0,259602000.0,180378000.0,200507000.0,180838000.0,181452000.0,165844000.0,145942000.0,141589000.0,132235000.0,110844000.0,94352000.0,121880000.0,98157000.0,69900000.0,55971000.0,31382000.0,12346000.0,42681000.0,53068000.0,46976000.0,30800000.0,21600000.0,11900000.0,22100000.0,11936000.0,-3273000.0
,depreciationAndAmortization,131158000.0,142004000.0,116131000.0,80917000.0,69036000.0,75235000.0,77353000.0,74233000.0,68617000.0,75393000.0,75616000.0,63948000.0,35450000.0,32924000.0,29017000.0,31538000.0,32761000.0,32418000.0,32088000.0,32732000.0,30419000.0,32000000.0,26600000.0,22800000.0,23400000.0,23786000.0,26114000.0
,deferredIncomeTax,1311000.0,-10065000.0,-30177000.0,22772000.0,-52744000.0,15504000.0,-6704000.0,8348000.0,-3730000.0,-10321000.0,16358000.0,17233000.0,10960000.0,12473000.0,-13481000.0,2627000.0,-1988000.0,8540000.0,1243000.0,1303000.0,-9000.0,4300000.0,-1000000.0,0.0,-800000.0,-3407000.0,-10419000.0
,stockBasedCompensation,22902000.0,18146000.0,18229000.0,17282000.0,15122000.0,14255000.0,11241000.0,9414000.0,8628000.0,6590000.0,6686000.0,5499000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,254741000.0,40173000.0,-70336000.0,130144000.0,-145443000.0,-59374000.0,124611000.0,-79592000.0,86673000.0,80359000.0,22411000.0,64955000.0,93600000.0,15368000.0,19177000.0,43542000.0,46262000.0,-1050000.0,28568000.0,22908000.0,-23464000.0,4800000.0,-5300000.0,3700000.0,4736000.0,2613000.0,-2473000.0
,accountsReceivables,52095000.0,841000.0,-6494000.0,-53151000.0,-9190000.0,14845000.0,30880000.0,-9774000.0,-59061000.0,-49393000.0,-40688000.0,37760000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,61019000.0,-49185000.0,-7660000.0,-10857000.0,-17658000.0,-8824000.0,-27788000.0,-1485000.0,-18702000.0,-76643000.0,5896000.0,52586000.0,-36661000.0,-8592000.0,1140000.0,-11122000.0,-10592000.0,13725000.0,9028000.0,-25126000.0,-3746000.0,2100000.0,-8300000.0,7300000.0,-600000.0,-11830000.0,8394000.0
,accountsPayables,-153318000.0,48004000.0,-2284000.0,64659000.0,17461000.0,1427000.0,24068000.0,16062000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,818533000.0,563792000.0,523619000.0,593955000.0,463811000.0,609254000.0,668628000.0,544017000.0,623609000.0,536936000.0,456577000.0,434166000.0,369211000.0,275611000.0,260243000.0,241066000.0,197524000.0,151262000.0,152312000.0,123744000.0,100836000.0,124300000.0,119500000.0,124800000.0,121100000.0,116364000.0,113751000.0
,otherNonCashItems,0.0,0.0,-330000.0,0.0,47000.0,0.0,-7539000.0,0.0,174000.0,0.0,0.0,0.0,-10563000.0,-5691000.0,263000.0,0.0,0.0,2921000.0,4389000.0,-2352000.0,451000.0,4400000.0,6400000.0,0.0,-1200000.0,21994000.0,25856000.0
,netCashProvidedByOperatingActivites,349491000.0,390608000.0,299292000.0,307537000.0,435379000.0,287429000.0,268083000.0,222592000.0,144113000.0,114623000.0,184572000.0,218652000.0,125354000.0,117718000.0,80536000.0,69432000.0,85215000.0,60775000.0,91394000.0,86990000.0,55210000.0,59900000.0,43100000.0,56100000.0,52500000.0,31321000.0,35805000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-47087000.0,-99066000.0,-127140000.0,-92336000.0,-175692000.0,-286612000.0,-207106000.0,-141600000.0,-64900000.0,-48255000.0,-28104000.0,-28947000.0,-37516000.0,-31984000.0,-31713000.0,-26615000.0,-18698000.0,-18802000.0,-22898000.0,-30888000.0,-27416000.0,-22900000.0,-202700000.0,-21200000.0,-21200000.0,-18988000.0,-16515000.0
,acquisitionsNet,10000000.0,0.0,-771000000.0,0.0,0.0,0.0,0.0,-199000000.0,0.0,-47000000.0,-24000000.0,-702000000.0,0.0,-35000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-13109000.0,-26723000.0,-9323000.0,-8586000.0,-4918000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,12700000.0,22252000.0,9088000.0,5313000.0,0.0,0.0,0.0,0.0,0.0,8217000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,30173000.0,1010000.0,1923000.0,3743000.0,6664000.0,2529000.0,1277000.0,418000.0,283000.0,59000.0,312000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41452000.0,-1400000.0,-5200000.0,-7400000.0,1100000.0,560000.0,627000.0
,netCashUsedForInvestingActivites,-6880000.0,-102527000.0,-896567000.0,-91866000.0,-173946000.0,-284083000.0,-205829000.0,-340042000.0,-64617000.0,-87140000.0,-52132000.0,-714130000.0,-35909000.0,-67048000.0,-31015000.0,-22909000.0,-20272000.0,-75701000.0,-48211000.0,-61699000.0,15736000.0,-18000000.0,-207900000.0,-28600000.0,-20100000.0,-18428000.0,-23902000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
