Date,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31
Revenue,154307000.0,0.0,58847000.0,0.0,58847000.0
Revenue Growth,0.0,0.0,,-1.0,
Cost of Revenue,122462000.0,0.0,58005000.0,0.0,58005000.0
Gross Profit,27166000.0,0.0,25150000.0,25150000.0,0.0
R&D Expenses,6443000.0,0.0,7206000.0,0.0,7206000.0
SG&A Expense,35148000.0,1966191.0,12242000.0,469484.0,12242000.0
Operating Expenses,162017000.0,1966191.0,115334000.0,115334000.0,469484.0
Operating Income,-7982000.0,-1966191.0,5252000.0,5252000.0,-469484.0
Interest Expense,-1877000.0,0.0,-797000.0,-797000.0,0.0
Earnings before Tax,-10040000.0,-1765534.0,2962000.0,-392286.0,2962000.0
Income Tax Expense,-2319000.0,0.0,851000.0,0.0,851000.0
Net Income - Non-Controlling int,0.0,0.0,-1316000.0,-1316000.0,
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,
Net Income,-1765534.0,-392286.0,2111000.0,2111000.0,
Preferred Dividends,0.0,0.0,2417000.0,2417000.0,
Net Income Com,-19525000.0,-1765534.0,-306000.0,-392286.0,-306000.0
EPS,-1.52,-0.72,-0.07,-0.19,-0.07
EPS Diluted,-1.52,-0.72,-0.07,-0.19,-0.07
Weighted Average Shs Out,30805000.0,7065379.0,4224090.0,7719375.0,7719375.0
Weighted Average Shs Out (Dil),2463542.0,2078196.0,4224090.0,4224090.0,
Dividend per Share,0.0,0.0,0.0,0.0,
Gross Margin,0.1761,0.0,0.0143,0.0,0.0143
EBITDA Margin,0.095,,,,
EBIT Margin,-0.05,0.0,0.053,0.0,0.053
Profit Margin,-0.005,,,,
Free Cash Flow margin,0.0,0.0,0.0144,0.0144,
EBITDA,-1765534.0,-392286.0,5598000.0,5598000.0,
EBIT,-7710000.0,-1765534.0,5252000.0,5252000.0,-392286.0
Consolidated Income,-1765534.0,-392286.0,795000.0,795000.0,
Earnings Before Tax Margin,-0.0651,0.0,0.0503,0.0,0.0503
Net Profit Margin,0.0,0.0,0.0359,0.0359,
