Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Revenue,86249000.0,62098000.0,62000000.0,54494000.0,54000000.0,48168000.0,48000000.0,35652000.0,36000000.0,25197000.0,25000000.0,25479000.0,15169000.0,10075000.0,9453000.0
Revenue Growth,0.388917517472382,0.00158064516129032,0.137739934671707,0.00914814814814815,0.121076233183857,0.0035,0.346348030966005,-0.00966666666666667,0.428741516847244,0.00788,-0.0187997959103576,0.679675654294944,0.50560794044665,0.0657992171797313,-0.176
Cost of Revenue,10743000.0,9855000.0,10000000.0,8780000.0,9000000.0,7278000.0,7000000.0,3321000.0,3000000.0,2132000.0,2000000.0,2356000.0,1453000.0,1951000.0,3070000.0
Gross Profit,75506000.0,52243000.0,52000000.0,45714000.0,46000000.0,40890000.0,41000000.0,32331000.0,32000000.0,23065000.0,23000000.0,23123000.0,13716000.0,8124000.0,6383000.0
R&D Expenses,16901000.0,14010000.0,14000000.0,13283000.0,13000000.0,11139000.0,11000000.0,9316000.0,9000000.0,7756000.0,8000000.0,7748000.0,4960000.0,2482000.0,1894000.0
SG&A Expense,51060000.0,41089000.0,41000000.0,39683000.0,40000000.0,32238000.0,32000000.0,23080000.0,23000000.0,15367000.0,15000000.0,12857000.0,8686000.0,5685000.0,5077000.0
Operating Expenses,67961000.0,55099000.0,55000000.0,57088000.0,53000000.0,43377000.0,43000000.0,32396000.0,32000000.0,23123000.0,23000000.0,20605000.0,13646000.0,8167000.0,6971000.0
Operating Income,7545000.0,-2856000.0,-3000000.0,-11374000.0,-7000000.0,-2487000.0,-2000000.0,-65000.0,-0000000.0,-58000.0,-0000000.0,2518000.0,70000.0,-43000.0,-588000.0
Interest Expense,-336000.0,101000.0,000000.0,54000.0,0000000.0,576000.0,0000000.0,893000.0,0000000.0,627000.0,0000000.0,1241000.0,1284000.0,1388000.0,697000.0
Earnings before Tax,7881000.0,-2957000.0,-3000000.0,-11428000.0,-11000000.0,-3063000.0,-3000000.0,-958000.0,-1000000.0,-685000.0,-1000000.0,1277000.0,-1214000.0,-1431000.0,-1275000.0
Income Tax Expense,1924000.0,3756000.0,4000000.0,-735000.0,-1000000.0,546000.0,1000000.0,734000.0,1000000.0,-56000.0,-0000000.0,-209000.0,-399000.0,74000.0,28000.0
Net Income - Non-Controlling int,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Net Income,5957000.0,-6713000.0,-7000000.0,-10693000.0,-11000000.0,-3609000.0,-4000000.0,-1692000.0,-2000000.0,-629000.0,-1000000.0,1486000.0,-815000.0,-1505000.0,-1303000.0
Preferred Dividends,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Net Income Com,5957000.0,-6713000.0,-7000000.0,-10693000.0,-11000000.0,-3609000.0,-4000000.0,-1692000.0,-2000000.0,-629000.0,-1000000.0,1486000.0,-815000.0,-1505000.0,-1303000.0
EPS,0.28,-0.39,-0.39,-0.64,-0.64,-0.22,-0.22,-0.11,-0.11,-0.05,-0.05,0.14,-0.09,-0.2,-0.2
EPS Diluted,0.27,-0.39,-0.39,-0.64,-0.64,-0.22,-0.22,-0.11,-0.11,-0.05,-0.05,0.12,-0.09,-0.2,-0.2
Weighted Average Shs Out,21113000.0,17264000.0,17000000.0,16739000.0,17000000.0,16183000.0,16000000.0,15024000.0,15000000.0,11474000.0,11000000.0,10716000.0,8662000.0,7993000.0,7123500.0
Weighted Average Shs Out (Dil),21967000.0,17264000.0,17000000.0,16739000.0,17000000.0,16183000.0,16000000.0,15024000.0,15000000.0,11474000.0,11000000.0,12311000.0,8662000.0,7993000.0,7123500.0
Dividend per Share,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Gross Margin,0.8754,0.8413,0.83870967741935,0.8389,0.85185185185185,0.8489,0.85416666666667,0.9068,0.88888888888889,0.9154,0.92,0.9075,0.9042,0.8064,0.6752
EBITDA Margin,0.105,-0.016,-0.016129032258065,-0.156,-0.14814814814815,0.016,0,0.042,0.027777777777778,0.044,0.04,0.147,0.068,0.116,0.206
EBIT Margin,0.0875,-0.046,-0.048387096774194,-0.2087,-0.22222222222222,-0.0516,-0.0625,-0.0018,-0.027777777777778,-0.0023,-0.04,0.0988,0.0046,-0.0043,-0.0611
Profit Margin,0.069,-0.108,-0.11290322580645,-0.196,-0.2037037037037,-0.075,-0.083333333333333,-0.047,-0.055555555555556,-0.025,-0.04,0.058,-0.054,-0.149,-0.138
Free Cash Flow margin,0.1021,-0.0236,,-0.0235,,0.0892,,0.0742,,-0.0159,,0.0641,0.2695,0.0395,0.0433
EBITDA,9032000.0,-1018000.0,-1000000.0,-8509000.0,-8000000.0,786000.0,0000000.0,1495000.0,1000000.0,1107000.0,1000000.0,3757000.0,1036000.0,1170000.0,1944000.0
