date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-88290000.0,-117223000.0,-74798000.0,-52118000.0,-21539000.0,-6377000.0
,depreciationAndAmortization,3922000.0,2824000.0,1566000.0,448000.0,56000.0,0.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,11629000.0,14207000.0,5955000.0,5330000.0,1470000.0,764000.0
,changeInWorkingCapital,66395000.0,-48132000.0,56771000.0,26288000.0,-8673000.0,1588000.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-3431000.0,3779000.0,-1610000.0,1579000.0,2213000.0,585000.0
,otherWorkingCapital,134421000.0,68026000.0,116158000.0,59387000.0,33099000.0,41772000.0
,otherNonCashItems,0.0,0.0,0.0,-459000.0,-1163000.0,103000.0
,netCashProvidedByOperatingActivites,-56599000.0,-92714000.0,-70197000.0,-43224000.0,-20120000.0,-4204000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-899000.0,-4387000.0,-7776000.0,-2276000.0,-392000.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-401000.0,-31496000.0,-44321000.0,-18897000.0,-25695000.0,-26806000.0
,salesMaturitiesOfInvestments,7900000.0,60399000.0,25335000.0,31621000.0,22035000.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,100000.0,-165000.0,0.0
,netCashUsedForInvestingActivites,6600000.0,24516000.0,-26762000.0,10548000.0,-4217000.0,-26806000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,0.0,-13000.0,0.0,0.0,0.0
,commonStockIssued,132490000.0,49325000.0,133688000.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-3790000.0,-2102000.0,-2168000.0,-2424000.0,0.0,44752000.0
,netCashUsedProvidedByFinancingActivities,128700000.0,57875000.0,131507000.0,77078000.0,3420000.0,51592000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,78701000.0,-10323000.0,34548000.0,44402000.0,-20917000.0,20582000.0
,cashAtEndOfPeriod,155071000.0,76370000.0,86693000.0,52080000.0,7678000.0,28595000.0
,cashAtBeginningOfPeriod,76370000.0,86693000.0,52145000.0,7678000.0,28595000.0,8013000.0
,operatingCashFlow,-56599000.0,-92714000.0,-70197000.0,-43224000.0,-20120000.0,-4204000.0
,capitalExpenditure,-899000.0,-4387000.0,-7776000.0,-2276000.0,-392000.0,0.0
,freeCashFlow,-57498000.0,-97101000.0,-77973000.0,-45500000.0,-20512000.0,-4204000.0
