Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Revenue,4654396673.8528,4123039906.1033,4480476197.5901,3992432728.8962,4582285692.6781
Revenue Growth,0.1289,-0.0798,0.1222,-0.1287,
Cost of Revenue,1688359100.7083,1688741448.6922,1900716255.0897,0.0,0.0
Gross Profit,2966037573.1444,2434298457.4111,2579759942.5004,3992432728.8962,4582285692.6781
R&D Expenses,0.0,0.0,0.0,0.0,0.0
SG&A Expense,0.0,0.0,0.0,0.0,0.0
Operating Expenses,2886058823.5294,3019145204.5607,2844207961.304,2395682798.6341,2635783220.1033
Operating Income,79978749.615,-584846747.1496,-264448018.8036,1596749930.2621,1946502472.5748
Interest Expense,0.0,0.0,0.0,0.0,0.0
Earnings before Tax,1559064983.0613,1245877934.2723,1393261392.4397,1234292914.314,1522330480.524
Income Tax Expense,662023406.2211,587791415.1576,682860505.379,591582083.8757,759753960.9514
Net Income - Non-Controlling int,699678780.4127,402420858.4842,457164957.78,410657715.0273,496811071.7572
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0
Net Income,897041576.8402,658086519.1147,710400887.0608,642710830.4383,762576519.5726
Preferred Dividends,0.0,0.0,0.0,0.0,0.0
Net Income Com,897041576.8402,658086519.1147,710400887.0608,642710830.4383,762576519.5726
EPS,0.8052,0.5907,0.6377,0.5769,0.7298
EPS Diluted,0.8052,0.5907,0.6377,0.5769,0.7298
Weighted Average Shs Out,2189821.449,2362014.5312,2328552.2684,2208331.3656,
Weighted Average Shs Out (Dil),2189821.449,2362014.5312,2328552.2684,7015040.454,8779996.033
Dividend per Share,0.0001,0.0001,0.0001,0.0001,0.0001
Gross Margin,0.6373,0.5904,0.5758,1.0,1.0
EBITDA Margin,0.0001,0.0001,0.0001,0.0001,0.0002
EBIT Margin,0.335,0.3022,0.311,0.3092,0.3322
Profit Margin,0.0001,0.0001,0.0001,0.0001,0.0001
Free Cash Flow margin,0.5219,0.3565,0.1284,0.744,0.4954
EBITDA,1853852171.235,1548263581.4889,1652052074.9819,1478617067.4314,1786464911.2856
EBIT,1559064983.0613,1245877934.2723,1393261392.4397,1234292914.314,1522330480.524
Consolidated Income,1596720357.2528,1060507377.5989,1167565844.8407,1053368545.4657,1259387591.3298
Earnings Before Tax Margin,0.335,0.3022,0.311,0.3092,0.3322
Net Profit Margin,0.1927,0.1596,0.1586,0.161,0.1664
