Date,2018-12-31,2017-12-31
Cash and cash equivalents,45627000.0,20660000.0
Short-term investments,27131000.0,12421000.0
Cash and short-term investments,72758000.0,33081000.0
Receivables,7571000.0,6998000.0
Inventories,10355000.0,6614000.0
Total current assets,89146000.0,46877000.0
Property Plant & Equipment Net,33286000.0,23422000.0
Goodwill and Intangible Assets,0.0,0.0
Long-term investments,0.0,0.0
Tax assets,0.0,0.0
Total non-current assets,46271000.0,29088000.0
Total assets,135417000.0,75965000.0
Payables,5149000.0,7566000.0
Short-term debt,5990000.0,2976000.0
Total current liabilities,88354000.0,65371000.0
Long-term debt,3249000.0,10745000.0
Total debt,9239000.0,13721000.0
Deferred revenue,0.0,0.0
Tax Liabilities,0.0,0.0
Deposit Liabilities,0.0,0.0
Total non-current liabilities,10553000.0,14223000.0
Total liabilities,98907000.0,79594000.0
Other comprehensive income,-25000.0,-6000.0
Retained earnings (deficit),-257665000.0,-181571000.0
Total shareholders equity,-257690000.0,-176986000.0
Investments,27131000.0,12421000.0
Net Debt,-63519000.0,-19360000.0
Other Assets,-1538000.0,184000.0
Other Liabilities,77215000.0,54829000.0
