Date,2010-09-30
Revenue,1597233000.0
Revenue Growth,0.0
Cost of Revenue,762557000.0
Gross Profit,834676000.0
R&D Expenses,0.0
SG&A Expense,596124000.0
Operating Expenses,596124000.0
Operating Income,220168000.0
Interest Expense,0.0
Earnings before Tax,217844000.0
Income Tax Expense,62708000.0
Net Income - Non-Controlling int,0.0
Net Income - Discontinued ops,0.0
Net Income,155310000.0
Preferred Dividends,0.0
Net Income Com,155310000.0
EPS,1.59
EPS Diluted,1.56
Weighted Average Shs Out,97985000.0
Weighted Average Shs Out (Dil),99852000.0
Dividend per Share,0.325431638825
Gross Margin,0.522576230268
EBITDA Margin,0.156063016479
EBIT Margin,0.1378433829
Profit Margin,0.0972369090796
Free Cash Flow margin,0.0698946240154
EBITDA,249269000.0
EBIT,220168000.0
Consolidated Income,155310000.0
Earnings Before Tax Margin,0.136388366632
Net Profit Margin,0.0972369090796
