date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-170000000.0,-1125000000.0,227000000.0,217000000.0,-400000000.0,-863000000.0,-256000000.0,-2909000000.0
,depreciationAndAmortization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,deferredIncomeTax,-26000000.0,15000000.0,-36000000.0,176000000.0,-46000000.0,86000000.0,-50000000.0,-10000000.0
,stockBasedCompensation,25000000.0,30000000.0,35000000.0,24000000.0,28000000.0,35000000.0,39000000.0,33000000.0
,changeInWorkingCapital,-24000000.0,-248000000.0,229000000.0,626000000.0,198000000.0,-20000000.0,407000000.0,-330000000.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,122000000.0,137000000.0,-278000000.0,-238000000.0,1000000.0,212000000.0,-126000000.0,36000000.0
,accountsPayables,25000000.0,-153000000.0,-165000000.0,377000000.0,6000000.0,-156000000.0,110000000.0,219000000.0
,otherWorkingCapital,-170000000.0,967000000.0,1215000000.0,986000000.0,360000000.0,162000000.0,182000000.0,-225000000.0
,otherNonCashItems,-207000000.0,1061000000.0,468000000.0,341000000.0,302000000.0,1024000000.0,878000000.0,686000000.0
,netCashProvidedByOperatingActivites,394000000.0,686000000.0,448000000.0,1224000000.0,-311000000.0,875000000.0,842000000.0,452000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-12000000.0,-112000000.0,-7000000.0,-66000000.0,-3000000.0,-63000000.0,-145000000.0,-242000000.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,146000000.0,0.0,28000000.0,0.0
,otherInvestingActivites,198000000.0,23000000.0,1000000.0,245000000.0,1338000000.0,70000000.0,223000000.0,7000000.0
,netCashUsedForInvestingActivites,-167000000.0,-468000000.0,-405000000.0,-226000000.0,1077000000.0,-384000000.0,-338000000.0,-802000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-1000000.0,-7000000.0,-135000000.0,-60000000.0,-34000000.0,-24000000.0,-36000000.0,-41000000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,-50000000.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-225000000.0,-439000000.0,-686000000.0,-517000000.0,-455000000.0,-138000000.0,-409000000.0,463000000.0
,netCashUsedProvidedByFinancingActivities,514000000.0,-444000000.0,-288000000.0,-506000000.0,-483000000.0,-162000000.0,-444000000.0,429000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,-14000000.0,-7000000.0,-4000000.0,13000000.0,13000000.0,-38000000.0,-7000000.0,-14000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,727000000.0,-233000000.0,-249000000.0,505000000.0,296000000.0,291000000.0,53000000.0,65000000.0
,cashAtEndOfPeriod,1610000000.0,883000000.0,1116000000.0,1358000000.0,853000000.0,557000000.0,266000000.0,213000000.0
,cashAtBeginningOfPeriod,883000000.0,1116000000.0,1365000000.0,853000000.0,557000000.0,266000000.0,213000000.0,148000000.0
,operatingCashFlow,394000000.0,686000000.0,448000000.0,1224000000.0,-311000000.0,875000000.0,842000000.0,452000000.0
,capitalExpenditure,-353000000.0,-379000000.0,-399000000.0,-405000000.0,-404000000.0,-391000000.0,-444000000.0,-567000000.0
,freeCashFlow,41000000.0,307000000.0,49000000.0,819000000.0,-715000000.0,484000000.0,398000000.0,-115000000.0
