Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31
Revenue,317920000.0,318000000.0,292013000.0,292000000.0,315249000.0,315000000.0,311633000.0,312000000.0,329459000.0,329000000.0,334413000.0,341573000.0
Revenue Growth,-0.000251572327044025,0.0889926133425567,0.0000445205479452055,-0.0737480531262589,0.000790476190476191,0.0108043756598306,-0.00117628205128205,-0.0529929369056544,0.0013951367781155,-0.0161865716942822,-0.0209618441738662,0.0
Cost of Revenue,210352000.0,210000000.0,194486000.0,194000000.0,224851000.0,225000000.0,224755000.0,225000000.0,236220000.0,236000000.0,237576000.0,250545000.0
Gross Profit,107568000.0,108000000.0,97527000.0,98000000.0,90398000.0,90000000.0,86878000.0,87000000.0,93239000.0,93000000.0,96837000.0,91028000.0
R&D Expenses,14543000.0,15000000.0,13514000.0,14000000.0,14500000.0,000000.0,13900000.0,000000.0,12500000.0,000000.0,12100000.0,0.0
SG&A Expense,79950000.0,80000000.0,79647000.0,80000000.0,81271000.0,81000000.0,81045000.0,81000000.0,79533000.0,80000000.0,76196000.0,73599000.0
Operating Expenses,94493000.0,99000000.0,93161000.0,94000000.0,95771000.0,85000000.0,94945000.0,87000000.0,92033000.0,86000000.0,88296000.0,73599000.0
Operating Income,8934000.0,9000000.0,3395000.0,3000000.0,4937000.0,5000000.0,-447000.0,-0000000.0,6996000.0,7000000.0,20082000.0,16597000.0
Interest Expense,417000.0,0000000.0,555000.0,1000000.0,655000.0,1000000.0,737000.0,1000000.0,1128000.0,1000000.0,859000.0,339000.0
Earnings before Tax,8683000.0,9000000.0,3067000.0,3000000.0,4438000.0,4000000.0,-1125000.0,-1000000.0,5932000.0,6000000.0,19341000.0,16359000.0
Income Tax Expense,2837000.0,3000000.0,1843000.0,2000000.0,1828000.0,2000000.0,1233000.0,1000000.0,1537000.0,2000000.0,1486000.0,4373000.0
Net Income - Non-Controlling int,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net Income - Discontinued ops,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net Income,5846000.0,6000000.0,1224000.0,1000000.0,2610000.0,3000000.0,-2140000.0,-2000000.0,9927000.0,10000000.0,17855000.0,11986000.0
Preferred Dividends,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net Income Com,5846000.0,6000000.0,1224000.0,1000000.0,2610000.0,3000000.0,-2140000.0,-2000000.0,9927000.0,10000000.0,17855000.0,11986000.0
EPS,0.45,0.45,0.1,0.10,0.2,0.20,-0.17,-0.17,0.84,0.84,1.53,1.03
EPS Diluted,0.45,0.45,0.09,0.09,0.2,0.20,-0.17,-0.17,0.83,0.83,1.53,1.02
Weighted Average Shs Out,12900000.0,13000000.0,12824000.0,13000000.0,12776000.0,13000000.0,12661000.0,13000000.0,11801000.0,12000000.0,11557000.0,0.0
Weighted Average Shs Out (Dil),12971000.0,13000000.0,12909000.0,13000000.0,12872000.0,13000000.0,12661000.0,13000000.0,11891000.0,12000000.0,11596000.0,0.0
Dividend per Share,0.0405520006168,,0.0814935316446,,0.080562461156,,0.0799304952215,,0.0793877722647,,0.0802863056226,0.0
Gross Margin,0.338349270257,0.33962264150943,0.333981706294,0.33561643835616,0.286751107854,0.28571428571429,0.27878305571,0.27884615384615,0.283006383192,0.28267477203647,0.289573072817,0.266496473667
EBITDA Margin,0.0565991444389,0.056603773584906,0.042172779979,0.041095890410959,0.042772538533,0.044444444444444,0.0302984600476,0.028846153846154,0.050504008086,0.051671732522796,0.0825655701184,0.0716010925922
EBIT Margin,0.0281014091595,0.028301886792453,0.0116261947242,0.013698630136986,0.0156606365127,0.019047619047619,-0.0014343795426,0,0.0212348122225,0.03951367781155,0.0600514932135,0.0485899061108
Profit Margin,0.0183882737796,0.018867924528302,0.00419159420985,0.0034246575342466,0.00827916979911,0.0095238095238095,-0.00686705194893,-0.0064102564102564,0.0301312151133,0.030395136778116,0.0533920631076,0.0350905955682
Free Cash Flow margin,0.0689104177151,,0.00965025529685,,0.0714260790677,,-2.24623194591e-05,,0.0666456220653,,0.0472409864449,-0.0771401720862
EBITDA,17994000.0,18000000.0,12315000.0,12000000.0,13484000.0,14000000.0,9442000.0,9000000.0,16639000.0,17000000.0,27611000.0,24457000.0
EBIT,8934000.0,9000000,3395000.0,4000000,4937000.0,6000000,-447000.0,0,6996000.0,13000000,20082000.0,16597000.0
Consolidated Income,5846000.0,6000000.0,1224000.0,1000000.0,2610000.0,3000000.0,-2140000.0,-2000000.0,9927000.0,10000000.0,17855000.0,11986000.0
Earnings Before Tax Margin,0.0273119023654,0.028301886792453,0.0105029570601,0.01027397260274,0.0140777607542,0.012698412698413,-0.00361001562736,-0.0032051282051282,0.018005275315,0.018237082066869,0.057835670264,0.0478931297263
Net Profit Margin,0.0183882737796,0.018867924528302,0.00419159420985,0.0034246575342466,0.00827916979911,0.0095238095238095,-0.00686705194893,-0.0064102564102564,0.0301312151133,0.030395136778116,0.0533920631076,0.0350905955682
