date,,2021-01-31_FY,2020-01-31_FY,2019-01-31_FY,2018-01-31_FY,2017-01-31_FY,2016-01-31_FY,2015-01-31_FY,2014-01-31_FY,2013-01-31_FY
,revenue,770770000.0,696264000.0,608386000.0,506142000.0,398605000.0,302704000.0,216440000.0,124192000.0,58797000.0
,costOfRevenue,224738000.0,215577000.0,173594000.0,135248000.0,112130000.0,87100000.0,47273000.0,25974000.0,14280000.0
,grossProfit,546032000.0,480687000.0,434792000.0,370894000.0,286475000.0,215604000.0,169167000.0,98218000.0,44517000.0
,grossProfitRatio,0.708424043488979,0.69038037296198,0.714664703001055,0.732786451233053,0.718693945133654,0.712260161742164,0.781588430973942,0.79085609379026,0.757130465840094
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,201262000.0,199750000.0,163750000.0,136791000.0,115928000.0,102500000.0,66402000.0,45967000.0,28996000.0
,GeneralAndAdministrativeExpenses,106670000.0,102794000.0,93069000.0,84805000.0,68182000.0,71923000.0,61672000.0,39843000.0,25429000.0
,SellingAndMarketingExpenses,275742000.0,317615000.0,312210000.0,303319000.0,253020000.0,242184000.0,207749000.0,171188000.0,99221000.0
,otherExpenses,2426000.0,-1128000.0,1339000.0,789000.0,678000.0,-98000.0,-257000.0,-26000.0,116000.0
,operatingExpenses,583674000.0,620159000.0,569029000.0,524915000.0,437130000.0,416607000.0,335823000.0,256998000.0,153646000.0
,costAndExpenses,808412000.0,835736000.0,742623000.0,660163000.0,549260000.0,503707000.0,383096000.0,282972000.0,167926000.0
,interestExpense,7010000.0,2338000.0,316000.0,1013000.0,896000.0,1157000.0,2009000.0,3705000.0,1764000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,75478000.0,59424000.0,46320000.0,40112000.0,40154000.0,40394000.0,29019000.0,17867000.0,8616000.0
,EBITDA,37836000.0,-80048000.0,-87917000.0,-113909000.0,-110501000.0,-160609000.0,-137637000.0,-140913000.0,-100513000.0
,EBITDARatio,0.0490885737638984,-0.114967885744488,-0.144508585010174,-0.225053443500045,-0.27721930231683,-0.53058102965273,-0.63591295509148,-1.13463830198402,-1.70949198088338
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-37642000.0,-139472000.0,-134237000.0,-154021000.0,-150655000.0,-201003000.0,-166656000.0,-158780000.0,-109129000.0
,operatingIncomeRatio,-0.048836877408306,-0.200314823113072,-0.220644459274211,-0.304303930517523,-0.377955620225537,-0.664024922036048,-0.769987063389392,-1.27850425148158,-1.85603006956137
,totalOtherIncomeExpensesNet,2426000.0,-1128000.0,1339000.0,789000.0,678000.0,-98000.0,-131000.0,-8503000.0,-1611000.0
,incomeBeforeTax,-42226000.0,-142938000.0,-133214000.0,-154245000.0,-150873000.0,-202258000.0,-168796000.0,-170988000.0,-112504000.0
,incomeBeforeTaxRatio,-0.0547841768620989,-0.205292819964841,-0.218962961014882,-0.304746494066882,-0.378502527564883,-0.668170886410487,-0.779874330068379,-1.37680365885081,-1.91343095736177
,incomeTaxExpense,1207000.0,1410000.0,1398000.0,715000.0,914000.0,690000.0,-569000.0,-2431000.0,59000.0
,netIncome,-43433000.0,-144348000.0,-134612000.0,-154960000.0,-151787000.0,-202948000.0,-168227000.0,-168557000.0,-112563000.0
,netIncomeRatio,-0.0563501433631304,-0.20731791389473,-0.221260844266633,-0.306159141110597,-0.380795524391315,-0.67045034092711,-0.777245425984106,-1.35722912909044,-1.91443440991887
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-0.28,-0.98,-0.95,-1.16,-1.19,-1.67,-11.48,-1.93,-1.178987
,EPSDiluted,-0.28,-0.98,-0.95,-1.16,-1.19,-1.67,-11.48,-1.93,-1.178987
,weightedAverageShsOut,155849000.0,147762000.0,141351000.0,133932000.0,127469000.0,121240000.0,15854000.0,83034000.0,95666000.0
,weightedAverageShsOutDil,155849000.0,147762000.0,141351000.0,133932000.0,127469000.0,121240000.0,15854000.0,83034000.0,95666000.0
