date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY
,revenue,3070769000.0,3327458000.0,3666812000.0,3300184000.0,3647047000.0,3967053000.0,4624476000.0,4207209000.0,3913856000.0,693392000.0,541987000.0,525024000.0,604854000.0,506305000.0,393604000.0,345478000.0,309653000.0
,costOfRevenue,1782664000.0,1926402000.0,2533973000.0,2270709000.0,2501396000.0,2715279000.0,3145631000.0,2900987000.0,2761731000.0,453293000.0,350579000.0,339237000.0,387667000.0,330714000.0,256806000.0,222353000.0,197907000.0
,grossProfit,1288105000.0,1401056000.0,1132839000.0,1029475000.0,1145651000.0,1251774000.0,1478845000.0,1306222000.0,1152125000.0,240099000.0,191408000.0,185787000.0,217187000.0,175591000.0,136798000.0,123125000.0,111746000.0
,grossProfitRatio,0.419473102665814,0.421058958520288,0.308943845498488,0.311944727930321,0.314131131296087,0.315542545058007,0.31978650121657,0.310472334509648,0.294370819979069,0.346267335071648,0.353159762134516,0.353863823368075,0.359073429290374,0.346808741766327,0.347552362272741,0.356390276660164,0.360874914824013
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5707000.0,6205000.0,5930000.0,5856000.0,4162000.0,3336000.0,2855000.0,3175000.0
,GeneralAndAdministrativeExpenses,1087401000.0,1132149000.0,818210000.0,732340000.0,825240000.0,905952000.0,1011171000.0,860994000.0,895452000.0,144817000.0,119426000.0,113674000.0,125234000.0,98500000.0,113919000.0,92706000.0,77434000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,-33616000.0,39000.0,-46933000.0,-8226000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,1087401000.0,1132149000.0,818210000.0,732340000.0,825240000.0,905952000.0,1011171000.0,860994000.0,895452000.0,150524000.0,125631000.0,119604000.0,131090000.0,52316000.0,117255000.0,95561000.0,110021000.0
,costAndExpenses,2870065000.0,3058551000.0,3352183000.0,3003049000.0,3326636000.0,3621231000.0,4156802000.0,3761981000.0,3657183000.0,603817000.0,476210000.0,458841000.0,518757000.0,383030000.0,374061000.0,317914000.0,307928000.0
,interestExpense,104262000.0,119503000.0,44052000.0,41137000.0,30016000.0,47743000.0,51305000.0,103597000.0,91570000.0,5919000.0,6684000.0,7212000.0,11822000.0,0.0,0.0,0.0,6918000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,246229000.0,236026000.0,141877000.0,132203000.0,143258000.0,154542000.0,174724000.0,119258000.0,200400000.0,22598000.0,0.0,0.0,14788000.0,16883000.0,13136000.0,12914000.0,0.0
,EBITDA,446933000.0,504933000.0,456506000.0,429338000.0,463669000.0,500364000.0,642398000.0,564486000.0,457073000.0,112173000.0,81907000.0,81257000.0,100885000.0,140158000.0,32679000.0,40478000.0,1725000.0
,EBITDARatio,0.145544324564954,0.151747369914211,0.124496701767094,0.130095170451102,0.127135460552058,0.126129900457594,0.138912603287378,0.134171133404592,0.116783295042025,0.161774292175277,0.151123550933878,0.154768162979216,0.166792316823564,0.27682523380176,0.083025070883426,0.117165202994113,0.00557075177698908
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,200704000.0,268907000.0,314629000.0,297135000.0,320411000.0,345822000.0,467674000.0,445228000.0,256673000.0,89575000.0,65777000.0,66183000.0,86097000.0,123275000.0,19543000.0,27564000.0,1725000.0
,operatingIncomeRatio,0.065359523949864,0.0808145437147516,0.0858045081122239,0.0900358889080124,0.0878549138522207,0.0871735265447676,0.10113016047656,0.105825025569208,0.0655805936651732,0.12918378060318,0.121362689511003,0.126057094532821,0.142343441557797,0.243479720721699,0.0496514263066432,0.0797851093267878,0.00557075177698908
,totalOtherIncomeExpensesNet,-38413000.0,-98911000.0,-87775000.0,-267984000.0,-82396000.0,-61177000.0,-58121000.0,-38836000.0,-116664000.0,-63669000.0,-31405000.0,-27724000.0,-69408000.0,50346000.0,0.0,0.0,0.0
,incomeBeforeTax,58029000.0,50493000.0,182802000.0,-11986000.0,207999000.0,236902000.0,358248000.0,302795000.0,48439000.0,19987000.0,27688000.0,31247000.0,4867000.0,104029000.0,5357000.0,18538000.0,-5193000.0
,incomeBeforeTaxRatio,0.0188972208590096,0.015174646832507,0.0498531149128998,-0.00363191870513886,0.0570321687655794,0.0597173771058768,0.0774678039198387,0.0719705153701658,0.0123762856885895,0.0288249648106699,0.051086096160978,0.0595153745352593,0.00804656991604586,0.20546706036875,0.0136101259133545,0.0536589884160496,-0.0167703849147271
