date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1997-08-31_FY,1996-08-31_FY,1995-08-31_FY,1994-08-31_FY,1993-08-31_FY,1992-08-31_FY,1991-08-31_FY,1990-08-31_FY,1989-08-31_FY,1988-08-31_FY,1987-08-31_FY,1986-08-31_FY,1985-08-31_FY
,revenue,261823000.0,336792000.0,362400000.0,367490000.0,399946000.0,425411000.0,432703000.0,438678000.0,427182000.0,456560000.0,455641000.0,463088000.0,474080000.0,466572000.0,464570000.0,429659000.0,406249000.0,183398000.0,126313000.0,113582000.0,101856000.0,90364000.0,62395000.0,17300000.0,40485000.0,10526135.0,37154000.0,27914000.0,30300000.0,13900000.0,15200000.0,20900000.0,20800000.0,20700000.0,14100000.0,20500000.0,19600000.0
,costOfRevenue,126898000.0,136558000.0,141232000.0,140305000.0,156218000.0,170047000.0,180427000.0,182279000.0,177924000.0,193833000.0,195273000.0,193576000.0,187952000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,134925000.0,200234000.0,221168000.0,227185000.0,243728000.0,255364000.0,252276000.0,256399000.0,249258000.0,262727000.0,260368000.0,269512000.0,286128000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.515329058180527,0.59453312430224,0.610286975717439,0.618207298157773,0.609402269306356,0.600275968416425,0.583023459509178,0.58448110003237,0.583493686531736,0.575449009987734,0.571432333789102,0.581988736482051,0.603543705703679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.601156069364162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,50272000.0,46010000.0,38342000.0,36736000.0,35269000.0,34836000.0,35518000.0,36975000.0,37538000.0,0.0,38973000.0,37558000.0,40324000.0,42946000.0,0.0,36723000.0,44670000.0,40168000.0,24747000.0,23577000.0,4953000.0,3560000.0,3351000.0,1100000.0,3324000.0,714827.0,3091000.0,2528000.0,1900000.0,1900000.0,1600000.0,1700000.0,1800000.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,41725000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,-8547000.0,184078000.0,172151000.0,166326000.0,161938000.0,177483000.0,179822000.0,179277000.0,168933000.0,180295000.0,200645000.0,204297000.0,164192000.0,355962000.0,344935000.0,309459000.0,293322000.0,138123000.0,83706000.0,74953000.0,53783000.0,49566000.0,35276000.0,8200000.0,35458000.0,900460.0,32144000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,costAndExpenses,303826000.0,320636000.0,313383000.0,306631000.0,318156000.0,347530000.0,360249000.0,361556000.0,346857000.0,374128000.0,395918000.0,397873000.0,352144000.0,355962000.0,344935000.0,309459000.0,293322000.0,138123000.0,83706000.0,74953000.0,53783000.0,49566000.0,35276000.0,15000000.0,35458000.0,900460.0,32144000.0,23784000.0,-11700000.0,-3400000.0,-3200000.0,-7900000.0,-7200000.0,-7300000.0,-2600000.0,-9500000.0,-7700000.0
,interestExpense,84341000.0,63987000.0,61355000.0,58430000.0,70724000.0,81096000.0,82165000.0,98731000.0,122118000.0,132256000.0,142730000.0,133460000.0,112064000.0,98860000.0,97449000.0,81907000.0,72314000.0,35318000.0,28000000.0,24963000.0,23392000.0,0.0,10591000.0,2400000.0,0.0,0.0,0.0,0.0,2200000.0,0.0,0.0,1400000.0,1100000.0,1000000.0,100000.0,0.0,3600000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,126362000.0,137784000.0,133116000.0,128822000.0,126669000.0,142647000.0,144304000.0,140880000.0,129459000.0,140430000.0,161592000.0,166570000.0,151612000.0,132184000.0,127030000.0,110002000.0,97311000.0,37616000.0,21411000.0,17974000.0,16155000.0,14223000.0,9406000.0,2700000.0,6259000.0,712509.0,5286000.0,3541000.0,2800000.0,2100000.0,2000000.0,1800000.0,1700000.0,0.0,0.0,0.0,0.0
,EBITDA,84359000.0,153940000.0,182133000.0,189681000.0,208459000.0,220528000.0,216758000.0,218002000.0,209784000.0,222862000.0,221315000.0,231785000.0,273548000.0,242794000.0,246665000.0,230202000.0,210238000.0,82891000.0,64018000.0,56603000.0,64228000.0,55021000.0,36525000.0,5000000.0,11286000.0,10338184.0,10296000.0,7671000.0,44800000.0,19400000.0,20400000.0,30600000.0,29700000.0,28000000.0,16700000.0,30000000.0,27300000.0
