Date,2018-12-31,2017-12-31,2016-12-31
Revenue,0.0,0.0,0.0
Revenue Growth,0.0,0.0,
Cost of Revenue,0.0,0.0,0.0
Gross Profit,0.0,0.0,0.0
R&D Expenses,58907000.0,37373000.0,13707000.0
SG&A Expense,16016000.0,9617000.0,5137000.0
Operating Expenses,79465000.0,46990000.0,18844000.0
Operating Income,-79465000.0,-46990000.0,-18844000.0
Interest Expense,0.0,-1055000.0,2183000.0
Earnings before Tax,0.0,-44656000.0,-30404000.0
Income Tax Expense,0.0,0.0,0.0
Net Income - Non-Controlling int,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0
Net Income,-76398000.0,-44656000.0,-30404000.0
Preferred Dividends,0.0,0.0,0.0
Net Income Com,-76398000.0,-44656000.0,-30404000.0
EPS,-2.7,-13.97,-11.42
EPS Diluted,-2.7,-13.97,-11.42
Weighted Average Shs Out,28269907.0,41903538.0,41904000.0
Weighted Average Shs Out (Dil),28269907.0,3197516.0,2662841.0
Dividend per Share,0.0,0.0,0.0
Gross Margin,0.0,0.0,0.0
EBITDA Margin,0.0,,
EBIT Margin,0.0,0.0,0.0
Profit Margin,0.0,,
Free Cash Flow margin,0.0,0.0,0.0
EBITDA,-77285000.0,-44407000.0,-28068000.0
EBIT,-79465000.0,-45711000.0,-28221000.0
Consolidated Income,-76398000.0,-44656000.0,-30404000.0
Earnings Before Tax Margin,0.0,0.0,0.0
Net Profit Margin,0.0,0.0,0.0
