Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Revenue,5111494.2529,4038415.3661,4355789.4737,3180238.8708
Revenue Growth,0.2657,-0.0729,0.3696,
Cost of Revenue,0.0,0.0,0.0,0.0
Gross Profit,5111494.2529,4038415.3661,4355789.4737,3180238.8708
R&D Expenses,38468965.5172,30567827.1309,20757894.7368,11700325.7329
SG&A Expense,16781609.1954,10553421.3685,7166315.7895,8399565.6895
Operating Expenses,55250574.7126,41121248.4994,27924210.5263,20099891.4224
Operating Income,-50139080.4598,-37082833.1333,-23568421.0526,-16919652.5516
Interest Expense,33333.3333,3821128.4514,73684.2105,69489.6851
Earnings before Tax,-43933333.3333,-40255702.2809,-23055789.4737,-16304017.3724
Income Tax Expense,2298.8506,-3601.4406,10526.3158,-3257.329
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0
Net Income,-43935632.1839,-40252100.8403,-23066315.7895,-16300760.0434
Preferred Dividends,0.0,0.0,0.0,0.0
Net Income Com,-43935632.1839,-40252100.8403,-23066315.7895,-16300760.0434
EPS,-2.4483,-3.5414,-2.8842,-2.3453
EPS Diluted,-2.4483,-3.5414,-2.8842,-2.3453
Weighted Average Shs Out,20617883.908,20484509.0036,17961680.0,7922000.0
Weighted Average Shs Out (Dil),20617883.908,20484509.0036,17961680.0,
Dividend per Share,0.0,0.0,0.0,0.0
Gross Margin,1.0,1.0,1.0,1.0
EBITDA Margin,-9.6655,-10.6411,-5.4463,-5.4354
EBIT Margin,-8.5885,-9.022,-5.2762,-5.1048
Profit Margin,-9.8793,-11.9652,-5.5747,-5.5657
Free Cash Flow margin,-12.0295,-7.8451,-4.6798,-5.069
EBITDA,-42983908.046,-35795918.3673,-22534736.8421,-15921824.1042
EBIT,-43900000.0,-36434573.8295,-22982105.2632,-16234527.6873
Consolidated Income,-43935632.1839,-40252100.8403,-23066315.7895,-16300760.0434
Earnings Before Tax Margin,-8.595,-9.9682,-5.2931,-5.1267
Net Profit Margin,-8.5955,-9.9673,-5.2956,-5.1256
