date,,2020-10-31_FY,2019-10-31_FY,2018-10-31_FY,2017-10-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-7199713.0,151863894.0,-20577577.0,278798082.0
,depreciationAndAmortization,0.0,0.0,0.0,0.0
,deferredIncomeTax,0.0,0.0,0.0,0.0
,stockBasedCompensation,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-8672944.0,4350472.0,-1635327.0,601572.0
,accountsReceivables,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0
,otherWorkingCapital,0.0,0.0,0.0,0.0
,otherNonCashItems,165200646.0,-62346614.0,117297985.0,-186182724.0
,netCashProvidedByOperatingActivites,149327989.0,93867752.0,95085081.0,93216930.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-425000000.0,0.0,0.0,-425000000.0
,commonStockIssued,0.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0
,dividendsPaid,-93849263.0,-93849264.0,-93849264.0,-93849264.0
,otherFinancingActivites,371196272.0,53603.0,-2979050.0,427540530.0
,netCashUsedProvidedByFinancingActivities,-147652991.0,-93795661.0,-96828314.0,-91308734.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,1674998.0,72091.0,-1743233.0,1908196.0
,cashAtEndOfPeriod,1914385.0,239387.0,167296.0,1910529.0
,cashAtBeginningOfPeriod,239387.0,167296.0,1910529.0,2333.0
,operatingCashFlow,149327989.0,93867752.0,95085081.0,93216930.0
,capitalExpenditure,0.0,0.0,0.0,0.0
,freeCashFlow,149327989.0,93867752.0,95085081.0,93216930.0
