Date,2017-12-31,2016-12-31,2015-12-31
Depreciation & Amortization,,,
Stock-based compensation,0.0,0.0,0.0
Operating Cash Flow,-22039190.0,-10579902.0,-1786704.0
Capital Expenditure,-3255146.0,-6191933.0,-4035354.0
Acquisitions and disposals,0.0,0.0,0.0
Investment purchases and sales,0.0,0.0,0.0
Investing Cash flow,-3255146.0,-6191933.0,-4035354.0
Issuance (repayment) of debt,2444461.0,4105698.0,6573785.0
Issuance (buybacks) of shares,23382842.0,11501028.0,0.0
Dividend payments,0.0,0.0,0.0
Financing Cash Flow,25827303.0,15606726.0,6573785.0
Effect of forex changes on cash,398254.0,519740.0,-30451.0
Net cash flow / Change in cash,931221.0,-645369.0,721276.0
Free Cash Flow,-25294336.0,-16771835.0,-5822058.0
Net Cash/Marketcap,,,
