Date,2018-12-31,2017-12-31,2016-12-31
Depreciation & Amortization,12575.0,7232.0,5590.0
Stock-based compensation,0.0,0.0,0.0
Operating Cash Flow,-643502.0,1313460.0,498301.0
Capital Expenditure,-1215.0,-19659.0,-18283.0
Acquisitions and disposals,0.0,0.0,0.0
Investment purchases and sales,0.0,0.0,0.0
Investing Cash flow,-1215.0,-19659.0,-18283.0
Issuance (repayment) of debt,0.0,0.0,0.0
Issuance (buybacks) of shares,4103479.0,0.0,27692.0
Dividend payments,0.0,0.0,0.0
Financing Cash Flow,4103479.0,0.0,27692.0
Effect of forex changes on cash,116055.0,161593.0,-105204.0
Net cash flow / Change in cash,3574817.0,1455394.0,402506.0
Free Cash Flow,-644717.0,1293801.0,480018.0
Net Cash/Marketcap,,,
