date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY
,revenue,2072617000.0,2261516000.0,2300314000.0,2296692000.0,1799146000.0,1323169000.0,906027773.724403,613052003.645502,359529981.220409,186069600.155531,87280223.433967
,costOfRevenue,1384599000.0,1432480000.0,1466078000.0,1477197000.0,1154171000.0,851353000.0,580739578.773287,396183269.352923,225314095.273362,109843820.880047,50954914.217316
,grossProfit,688018000.0,829036000.0,834236000.0,819495000.0,644975000.0,471816000.0,325288194.951116,216868734.292579,134215885.947047,76225779.275484,36325309.216651
,grossProfitRatio,0.331956169422522,0.366584185121839,0.362661793129112,0.356815367493769,0.358489527809305,0.356580300777905,0.359026736690373,0.353752590323453,0.373309300914091,0.409662724119194,0.416191753268521
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,132513000.0,172591000.0,179263000.0,173925000.0,123649000.0,86807000.0,55076851.986964,44429561.711177,18892004.12622,11387466.787635,3235802.633329
,GeneralAndAdministrativeExpenses,112367000.0,139754000.0,135159000.0,127077000.0,117469000.0,79145000.0,59326815.506591,43341434.449998,26725209.617266,12065323.051002,7635323.846256
,SellingAndMarketingExpenses,331930000.0,375477000.0,372707000.0,380649000.0,282853000.0,229530000.0,162207549.005302,114358308.70778,76767529.82252,39958525.046983,15591169.038436
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,579193000.0,687822000.0,687129000.0,681651000.0,523971000.0,395482000.0,276611216.498857,202129304.868955,122384743.566006,63411314.88562,26462295.518021
,costAndExpenses,1963792000.0,2120302000.0,2153207000.0,2158848000.0,1678142000.0,1246835000.0,857350795.272144,598312574.221879,347698838.839368,173255135.765667,77417209.735337
,interestExpense,2381000.0,1756000.0,1796000.0,2459000.0,1134000.0,653000.0,533829.466414,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,4153000.0,97110000.0,111825000.0,104025000.0,62733000.0,47085000.0,30577849.117175,16839735.977243,7605734.387812,4354870.066749,958904.109589
,EBITDA,112978000.0,238324000.0,258932000.0,241869000.0,183737000.0,123419000.0,79254827.569434,31579165.400867,19436876.768853,17169334.456614,10821917.808219
,EBITDARatio,0.0545098298431403,0.105382407199418,0.11256376303409,0.105311900768584,0.102124563542925,0.0932753110146928,0.0874750530479233,0.051511397423191,0.0540619080024296,0.0922737214583284,0.12399049157346
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,108825000.0,141214000.0,147107000.0,137844000.0,121004000.0,76334000.0,48676978.452259,14739429.423624,11831142.381041,12814464.389865,9863013.69863
,operatingIncomeRatio,0.0525060828894099,0.0624421847999307,0.0639508345382413,0.0600184961675314,0.0672563538478812,0.0576902874840629,0.0537257023061918,0.0240427065501397,0.0329072483493051,0.0688691993703093,0.113003992320116
,totalOtherIncomeExpensesNet,-150000.0,-4425000.0,-3945000.0,-7495000.0,506000.0,-5971000.0,11942458.290773,-9841475.876163,-2320998.756844,715442.939537,-127676.552733
,incomeBeforeTax,106886000.0,135465000.0,142023000.0,128310000.0,120458000.0,71793000.0,59118877.377304,5255599.436604,9769354.881371,13628410.342816,9817794.919537
,incomeBeforeTaxRatio,0.0515705506613137,0.0599000847219299,0.0617407014868405,0.0558673082851336,0.066952876531421,0.0542583751584265,0.065250623757685,0.00857284440039618,0.0271725736146102,0.0732436159986604,0.112485904976684
,incomeTaxExpense,32197000.0,39496000.0,46144000.0,31651000.0,33129000.0,9517000.0,16115813.025925,3332044.519318,8670352.051207,5691141.209254,3548344.194707
,netIncome,71679000.0,90745000.0,88644000.0,91214000.0,82272000.0,59553000.0,41774891.774892,1470628.849181,1297378.792287,7937269.133562,6269450.72483
,netIncomeRatio,0.0345838136037676,0.040125738663799,0.0385356086169106,0.0397153819493428,0.0457283622340822,0.045007856139314,0.0461077386217071,0.00239886476259099,0.00360854131798162,0.0426575277580402,0.0718312863803933
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,1.1146555377872,1.41,1.33,1.4,1.3,0.88,0.708935,0.030379,0.023805,0.168291,0.113047
,EPSDiluted,1.1146555377872,1.38,1.31,1.34,1.25,0.84,0.666375,0.026237,0.023805,0.143536,0.113047
,weightedAverageShsOut,60336486.0,64305965.0,66456890.0,65143036.0,63337792.0,61835499.0,58928563.0,48692148.0,55298218.0,47163824.0,55298218.0
,weightedAverageShsOutDil,62348489.0,65598588.0,67662904.0,67851971.0,65633470.0,64775108.0,62645716.0,55262193.0,55298218.0,55298218.0,55298218.0
