date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,133995000.0,161148000.0,-11627000.0,-45192000.0,-67462000.0,-22082000.0,-8052000.0,-25913000.0,-38218000.0,-32290000.0,-21777000.0,-16925000.0
,depreciationAndAmortization,18103000.0,14119000.0,9667000.0,9004000.0,10638000.0,10539000.0,8259000.0,6981000.0,5568000.0,3032000.0,1550000.0,803000.0
,deferredIncomeTax,-17117000.0,-73375000.0,123000.0,-1394000.0,651000.0,642000.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,42503000.0,20176000.0,11432000.0,6727000.0,10326000.0,12696000.0,9740000.0,6849000.0,4766000.0,2120000.0,829000.0,180000.0
,changeInWorkingCapital,98675000.0,225205000.0,36436000.0,3613000.0,-13828000.0,-7270000.0,-954000.0,-3999000.0,30327000.0,-8937000.0,28749000.0,-3269000.0
,accountsReceivables,-34321000.0,-68745000.0,-13515000.0,-4803000.0,-18017000.0,-2482000.0,-13746000.0,-5019000.0,-11040000.0,-9874000.0,-1655000.0,-5691000.0
,inventory,-9708000.0,-15789000.0,9732000.0,5961000.0,8840000.0,-19210000.0,-5010000.0,3263000.0,-8615000.0,-6708000.0,-3038000.0,-700000.0
,accountsPayables,35695000.0,22200000.0,23082000.0,-5078000.0,8897000.0,-2620000.0,25325000.0,7641000.0,16774000.0,0.0,0.0,0.0
,otherWorkingCapital,399021000.0,300346000.0,75141000.0,38705000.0,35092000.0,48920000.0,56190000.0,57144000.0,61143000.0,30816000.0,39753000.0,11004000.0
,otherNonCashItems,18825000.0,12081000.0,2701000.0,1673000.0,145000.0,-1664000.0,483000.0,429000.0,4777000.0,-30134000.0,279000.0,324000.0
,netCashProvidedByOperatingActivites,216334000.0,139067000.0,16132000.0,-28442000.0,-32953000.0,-21160000.0,24222000.0,-872000.0,-44645000.0,-367000.0,-17852000.0,-18887000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-20558000.0,-14788000.0,-4151000.0,-4121000.0,-12167000.0,-12525000.0,-13249000.0,-6257000.0,-12990000.0,-14662000.0,-3262000.0,-2134000.0
,acquisitionsNet,0.0,0.0,-15000000.0,0.0,1000000.0,0.0,-2000000.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-5010000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,300000.0,-300000.0,0.0,0.0,0.0,0.0,48000.0
,netCashUsedForInvestingActivites,-25568000.0,-14788000.0,-19151000.0,-4121000.0,-11795000.0,-12462000.0,-16534000.0,-6257000.0,-12990000.0,-14662000.0,-3262000.0,-2122000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-43303000.0,-51855000.0,-9976000.0,-10100000.0,-16900000.0,-29000000.0,-8708000.0,-2487000.0,-14199000.0,-2032000.0,-243000.0,-230000.0
,commonStockIssued,0.0,0.0,19766000.0,26425000.0,16142000.0,0.0,0.0,0.0,58609000.0,1858000.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-157386000.0,-44511000.0,0.0,0.0,0.0,-450000.0,0.0,0.0,-3229000.0,-3432000.0,-235000.0,-114000.0
,netCashUsedProvidedByFinancingActivities,191678000.0,65850000.0,80614000.0,43297000.0,34375000.0,20564000.0,-3342000.0,-58000.0,51436000.0,26482000.0,52465000.0,25515000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,826000.0,-257000.0,-502000.0,646000.0,-315000.0,-522000.0,-504000.0,83000.0,-31000.0,78000.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,383270000.0,189872000.0,77093000.0,11380000.0,-10688000.0,-13580000.0,3842000.0,-7104000.0,-6230000.0,11531000.0,31351000.0,4506000.0
,cashAtEndOfPeriod,679379000.0,296109000.0,106237000.0,29144000.0,17764000.0,28452000.0,42032000.0,38190000.0,45294000.0,51524000.0,39993000.0,8642000.0
,cashAtBeginningOfPeriod,296109000.0,106237000.0,29144000.0,17764000.0,28452000.0,42032000.0,38190000.0,45294000.0,51524000.0,39993000.0,8642000.0,4136000.0
,operatingCashFlow,216334000.0,139067000.0,16132000.0,-28442000.0,-32953000.0,-21160000.0,24222000.0,-872000.0,-44645000.0,-367000.0,-17852000.0,-18887000.0
,capitalExpenditure,-20558000.0,-14788000.0,-4151000.0,-4121000.0,-12845000.0,-12762000.0,-13999000.0,-6257000.0,-12990000.0,-14662000.0,-3262000.0,-2170000.0
,freeCashFlow,195776000.0,124279000.0,11981000.0,-32563000.0,-45798000.0,-33922000.0,10223000.0,-7129000.0,-57635000.0,-15029000.0,-21114000.0,-21057000.0
