Date,2018-09-30,2018-09,2017-09-30,2017-09,2016-09-30,2016-09,2015-09-30,2015-09,2014-09-30,2014-09,2013-09-30,2012-09-30,2011-09-30
Cash and cash equivalents,13735000.0,14000000.0,30451000.0,30000000.0,28034000.0,28000000.0,35162000.0,35000000.0,47668000.0,48000000.0,10312000.0,8722000.0,8384000.0
Short-term investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Cash and short-term investments,13735000.0,,30451000.0,,28034000.0,,35162000.0,,47668000.0,,10312000.0,8722000.0,8384000.0
Receivables,9802000.0,10000000.0,7306000.0,7000000.0,6932000.0,7000000.0,7081000.0,7000000.0,7024000.0,7000000.0,6622000.0,4391000.0,2966000.0
Inventories,0.0,000000.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,148000.0,0000000.0,45000.0,59000.0,49000.0
Total current assets,28473000.0,33000000.0,40546000.0,10000000.0,37231000.0,11000000.0,44256000.0,15000000.0,56325000.0,47000000.0,17918000.0,13704000.0,11927000.0
Property Plant & Equipment Net,1047000.0,1000000.0,1064000.0,1000000.0,1210000.0,1000000.0,614000.0,1000000.0,400000.0,0000000.0,289000.0,281000.0,270000.0
Goodwill and Intangible Assets,4775000.0,31000000,969000.0,9000000,1061000.0,10000000,1270000.0,12000000,7090000.0,46000000,37032000.0,792000.0,878000.0
Long-term investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Tax assets,36000.0,000000.0,0.0,000000.0,0.0,000000.0,1839000.0,0000000.0,239000.0,0000000.0,7508000.0,0.0,0.0
Total non-current assets,33211000.0,10000000.0,9859000.0,1000000.0,11200000.0,1000000.0,14675000.0,0000000.0,47272000.0,1000000.0,51403000.0,9101000.0,1207000.0
Total assets,61684000.0,62000000.0,50405000.0,50000000.0,48431000.0,48000000.0,58931000.0,59000000.0,103597000.0,104000000.0,69321000.0,22805000.0,13134000.0
Payables,2074000.0,2000000.0,2360000.0,2000000.0,1758000.0,2000000.0,1546000.0,2000000.0,925000.0,1000000.0,1433000.0,676000.0,879000.0
Short-term debt,2044000.0,2000000.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,1877000.0,900000.0,0.0
Total current liabilities,25353000.0,25000000.0,17184000.0,17000000.0,13707000.0,14000000.0,12928000.0,13000000.0,11449000.0,11000000.0,13788000.0,9663000.0,6504000.0
Long-term debt,6440000.0,6000000.0,300000.0,000000.0,400000.0,000000.0,0.0,000000.0,0.0,000000.0,2108000.0,2983000.0,0.0
Total debt,8484000.0,6000000.0,300000.0,000000.0,400000.0,000000.0,0.0,000000.0,0.0,000000.0,3985000.0,3883000.0,0.0
Deferred revenue,18191000.0,2000000.0,11303000.0,0000000.0,9630000.0,0000000.0,8452000.0,0000000.0,7401000.0,0000000.0,6997000.0,6295000.0,3823000.0
Tax Liabilities,183000.0,1000000.0,125000.0,000000.0,155000.0,000000.0,252000.0,000000.0,320000.0,1000000.0,89000.0,866000.0,0.0
Deposit Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Total non-current liabilities,9814000.0,10000000.0,692000.0,1000000.0,766000.0,1000000.0,461000.0,0000000.0,1238000.0,1000000.0,4158000.0,3448000.0,288000.0
Total liabilities,35167000.0,35000000.0,17876000.0,18000000.0,14473000.0,14000000.0,13389000.0,13000000.0,12687000.0,13000000.0,17946000.0,13111000.0,6792000.0
Other comprehensive income,148442000,-2000000.0,145122000,-2000000.0,142528000,-2000000.0,139592000,-2000000.0,134820000,-2000000.0,72586000,26570000,24336000
Retained earnings (deficit),-120068000.0,-120000000.0,-110816000.0,-111000000.0,-106823000.0,-107000000.0,-92191000.0,-92000000.0,-42404000.0,-42000000.0,-20021000.0,-15824000.0,-16858000.0
Total shareholders equity,26517000.0,27000000.0,32529000.0,33000000.0,33958000.0,34000000.0,45542000.0,46000000.0,90910000.0,91000000.0,51375000.0,9694000.0,6342000.0
Investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Net Debt,-5251000.0,-6000000,-30151000.0,-30000000,-27634000.0,-28000000,-35162000.0,-35000000,-47668000.0,-48000000,-6327000.0,-4839000.0,-8384000.0
Other Assets,0.0,5000000,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
Other Liabilities,0.0,0,0.0,0,0.0,1000000,0.0,0,0.0,0,0.0,0.0,0.0
