Date,2018-12-31,2017-12-31
Cash and cash equivalents,1192945.0,609.0
Short-term investments,0.0,0.0
Cash and short-term investments,1192945.0,609.0
Receivables,0.0,0.0
Inventories,0.0,0.0
Total current assets,1264814.0,609.0
Property Plant & Equipment Net,0.0,0.0
Goodwill and Intangible Assets,0.0,0.0
Long-term investments,172213794.0,0.0
Tax assets,0.0,
Total non-current assets,172213794.0,
Total assets,173478608.0,81996.0
Payables,258559.0,24037.0
Short-term debt,32726.0,0.0
Total current liabilities,675405.0,58763.0
Long-term debt,0.0,0.0
Total debt,32726.0,
Deferred revenue,0.0,
Tax Liabilities,216846.0,
Deposit Liabilities,0.0,
Total non-current liabilities,6771556.0,
Total liabilities,168478604.0,58763.0
Other comprehensive income,4706715,
Retained earnings (deficit),293190.0,-1767.0
Total shareholders equity,5000004.0,23233.0
Investments,172213794.0,0.0
Net Debt,-1160219.0,-609.0
Other Assets,0.0,0.0
Other Liabilities,161031643.0,34726.0
