Date,2018-03-31,2018-03,2017-03-31,2017-03,2016-03-31,2016-03,2015-03-31,2015-03,2014-03-31,2014-03,2013-03-31,2012-03-31
Depreciation & Amortization,6914000.0,8000000.0,6674000.0,7000000.0,5517000.0,7000000.0,7851000.0,8000000.0,6897000.0,7000000.0,5471000.0,4104000.0
Stock-based compensation,13661000.0,14000000.0,11079000.0,11000000.0,11100000.0,11000000.0,9787000.0,10000000.0,7643000.0,8000000.0,7086000.0,5683000.0
Operating Cash Flow,43516000.0,44000000.0,33152000.0,33000000.0,28056000.0,28000000.0,36396000.0,36000000.0,35572000.0,36000000.0,29197000.0,21973000.0
Capital Expenditure,6046000.0,-6000000.0,10171000.0,-10000000.0,5185000.0,-5000000.0,6077000.0,-6000000.0,5554000.0,-6000000.0,5640000.0,7663000.0
Acquisitions and disposals,-0.0,,-785000.0,,-1131000.0,,-618000.0,,-0.0,,-0.0,-0.0
Investment purchases and sales,0.0,-68000000,0.0,-2000000,-13040000.0,-15000000,0.0,-4000000,-2981000.0,-8000000,0.0,-27328000.0
Investing Cash flow,-73437000.0,-73000000.0,-15903000.0,-16000000.0,-20237000.0,-20000000.0,10093000.0,10000000.0,-13358000.0,-13000000.0,-1657000.0,8479000.0
Issuance (repayment) of debt,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,-0.0
Issuance (buybacks) of shares,0.0,000000.0,0.0,000000.0,-13040000.0,-13000000.0,0.0,000000.0,-2981000.0,-3000000.0,0.0,-27328000.0
Dividend payments,-13611000.0,,-11715000.0,,-9970000.0,,-9006000.0,,-0.0,,-22023000.0,-0.0
Financing Cash Flow,-16201000.0,-16000000.0,-13619000.0,-14000000.0,-26627000.0,-27000000.0,-10962000.0,-11000000.0,-4045000.0,-4000000.0,-18165000.0,-27915000.0
Effect of forex changes on cash,1067000.0,1000000.0,-621000.0,-1000000.0,116000.0,0000000.0,-2101000.0,-2000000.0,510000.0,1000000.0,-308000.0,-165000.0
Net cash flow / Change in cash,-45055000.0,-45000000.0,3009000.0,3000000.0,-18692000.0,-19000000.0,33426000.0,33000000.0,18679000.0,19000000.0,9067000.0,2372000.0
Free Cash Flow,37470000.0,37000000.0,22981000.0,23000000.0,22871000.0,23000000.0,30319000.0,30000000.0,30018000.0,30000000.0,23557000.0,14310000.0
Net Cash/Marketcap,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
