Date,2018-12-31,2017-12-31,2016-12-31
Cash and cash equivalents,63380000.0,67663000.0,9402000.0
Short-term investments,0.0,0.0,
Cash and short-term investments,63380000.0,67663000.0,9402000.0
Receivables,11313000.0,3001000.0,1372000.0
Inventories,0.0,0.0,0.0
Total current assets,76769000.0,71512000.0,11286000.0
Property Plant & Equipment Net,1818000.0,1362000.0,519000.0
Goodwill and Intangible Assets,0.0,0.0,
Long-term investments,0.0,0.0,
Tax assets,0.0,0.0,
Total non-current assets,4857000.0,2489000.0,
Total assets,81626000.0,74001000.0,11835000.0
Payables,1887000.0,2065000.0,1884000.0
Short-term debt,0.0,0.0,
Total current liabilities,8929000.0,9451000.0,3811000.0
Long-term debt,0.0,0.0,0.0
Total debt,0.0,0.0,
Deferred revenue,14635000.0,14467000.0,
Tax Liabilities,0.0,0.0,
Deposit Liabilities,0.0,0.0,
Total non-current liabilities,20326000.0,15293000.0,
Total liabilities,29255000.0,24744000.0,3811000.0
Other comprehensive income,-1751000.0,69000.0,
Retained earnings (deficit),-69942000.0,-48096000.0,-31837000.0
Total shareholders equity,-69826000.0,-47184000.0,-33796000.0
Investments,0.0,0.0,
Net Debt,,,
Other Assets,2076000.0,848000.0,
Other Liabilities,7042000.0,7386000.0,
