Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31
Revenue,40709621.0,24464164.0,44000000.0,8352236.0,8000000.0,13755140.0,14000000.0,834482.0,1000000.0,4800.0,0000000.0,10660.0
Revenue Growth,0.6641,1.9291,,-0.3928,,15.4834,,172.8504,,-0.5497,,
Cost of Revenue,51578914.0,28550114.0,53000000.0,10630233.0,11000000.0,14527201.0,15000000.0,4303784.0,4000000.0,2400.0,0000000.0,5341.0
Gross Profit,-10869293.0,-4085950.0,-9000000.0,-2277997.0,-2000000.0,-772061.0,-1000000.0,-3469302.0,-3000000.0,2400.0,0000000.0,5319.0
R&D Expenses,0.0,0.0,0000000.0,486128.0,0000000.0,979893.0,1000000.0,0.0,000000.0,0.0,000000.0,0.0
SG&A Expense,11654363.0,6890843.0,8000000.0,5892235.0,6000000.0,7011765.0,7000000.0,5727146.0,6000000.0,3507295.0,4000000.0,2407868.0
Operating Expenses,54657476.0,9651120.0,17000000.0,11046160.0,11000000.0,11406110.0,11000000.0,6200505.0,6000000.0,3513154.0,4000000.0,2407868.0
Operating Income,-65526769.0,-13737070.0,-26000000.0,-13324157.0,-13000000.0,-12178171.0,-12000000.0,-9669807.0,-10000000.0,-3510754.0,-4000000.0,-2402549.0
Interest Expense,1685117.0,1695494.0,2000000.0,3978728.0,4000000.0,4007974.0,4000000.0,2013024.0,2000000.0,63694.0,000000.0,0.0
Earnings before Tax,-87867070.0,-26946877.0,-28000000.0,-17619928.0,-18000000.0,-13050437.0,-13000000.0,-7142382.0,-7000000.0,-3576162.0,-4000000.0,-2402549.0
Income Tax Expense,0.0,0.0,-1000000.0,305320.0,0000000.0,344314.0,0000000.0,0.0,000000.0,0.0,000000.0,0.0
Net Income - Non-Controlling int,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Net Income - Discontinued ops,20380656.0,12136143.0,,0.0,,0.0,,0.0,,0.0,,0.0
Net Income,-87867070.0,-26946877.0,-27000000.0,-17925248.0,-18000000.0,-13394751.0,-13000000.0,-7142382.0,-7000000.0,-3576162.0,-4000000.0,-2402549.0
Preferred Dividends,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Net Income Com,-87867070.0,-26946877.0,-27000000.0,-17925248.0,-18000000.0,-13394751.0,-13000000.0,-7142382.0,-7000000.0,-3576162.0,-4000000.0,-2402549.0
EPS,-4.69,-1.63,-0.41,-5.28,-1.32,-5.4,-1.35,-5.92,-1.48,-8.12,-2.03,-9.12
EPS Diluted,-4.69,-1.63,-0.41,-5.28,-1.32,-5.4,-1.35,-5.92,-1.48,-8.12,-2.03,-9.12
Weighted Average Shs Out,18844219.0,18636261.0,66000000.0,3604182.0,14000000.0,3386841.0,10000000.0,1426443.0,5000000.0,996251.0,2000000.0,
Weighted Average Shs Out (Dil),18726628.0,16516354.0,66000000.0,3403857.0,14000000.0,2472048.0,10000000.0,1203164.0,5000000.0,439559.0,2000000.0,263553.0
Dividend per Share,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Gross Margin,-0.267,-0.167,-0.20454545454545,-0.2727,-0.25,-0.0561,-0.071428571428571,-4.1574,-3,0.5,,0.499
EBITDA Margin,-1.768,-0.919,-0.40909090909091,-1.074,-1.125,-0.409,-0.42857142857143,-5.58,-5,-730.544,,-225.159
EBIT Margin,-2.117,-1.0322,-0.59090909090909,-1.6332,-1.75,-0.6574,-0.64285714285714,-6.1468,-5,-731.7642,,-225.3798
Profit Margin,-2.158,-1.101,-0.61363636363636,-2.146,-2.25,-0.974,-0.92857142857143,-8.559,-7,-745.034,,-225.38
Free Cash Flow margin,-0.3633,-2.0418,,-1.1815,,-2.3328,,-42.5745,,-1146.8635,,-179.4435
EBITDA,-71982596.0,-22491106.0,-18000000.0,-8973403.0,-9000000.0,-5628011.0,-6000000.0,-4655999.0,-5000000.0,-3506609.0,-4000000.0,-2400190.0
EBIT,-86181953.0,-25251383.0,-26000000,-13641200.0,-14000000,-9042463.0,-9000000,-5129358.0,-5000000,-3512468.0,-4000000,-2402549.0
Consolidated Income,-87867070.0,-26946877.0,-27000000.0,-17925248.0,-18000000.0,-13394751.0,-13000000.0,-7142382.0,-7000000.0,-3576162.0,-4000000.0,-2402549.0
Earnings Before Tax Margin,-2.1584,-1.1015,-0.63636363636364,-2.1096,-2.25,-0.9488,-0.92857142857143,-8.5591,-7,-745.0338,,-225.3798
Net Profit Margin,-2.1584,-1.1015,-0.61363636363636,-2.1462,-2.25,-0.9738,-0.92857142857143,-8.5591,-7,-745.0338,,-225.3798
