Date,2019-06-30,2018-06-30,2017-06-30,2016-06-30,2015-09-14,2015-06-30,2014-09-15,2014-06-30,2013-09-13,2013-06-30,2012-10-09,2012-06-30,2011-06-30,2010-06-30,2009-06-30
Revenue,302663000.0,240733000.0,168182000.0,166282000.0,0.0,265790000.0,0.0,263909000.0,0.0,285282000.0,0.0,355870000.0,310393000.0,227534000.0,295618000.0
Revenue Growth,0.257255964076383,0.431383857963397,0.01142637206673,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.146514257731328,0.364160960559741,-0.230310738858933,-0.1088
Cost of Revenue,213022000.0,160497000.0,119950000.0,125687000.0,0.0,182758000.0,0.0,186655000.0,0.0,205257000.0,0.0,234238000.0,202710000.0,167069000.0,214175000.0
Gross Profit,89641000.0,80236000.0,48232000.0,40595000.0,0.0,83032000.0,0.0,77254000.0,0.0,80025000.0,0.0,121632000.0,107683000.0,60465000.0,81443000.0
R&D Expenses,2385000.0,1610000.0,1547000.0,1805000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG&A Expense,71541000.0,61909000.0,52773000.0,57113000.0,0.0,64264000.0,0.0,67406000.0,0.0,67899000.0,0.0,73091000.0,72967000.0,57380000.0,60470000.0
Operating Expenses,73926000.0,63519000.0,54320000.0,58918000.0,0.0,67546000.0,0.0,68367000.0,0.0,70012000.0,0.0,76761000.0,72967000.0,57380000.0,61658000.0
Operating Income,18498000.0,14929000.0,-8978000.0,-24596000.0,0.0,15486000.0,0.0,8887000.0,0.0,10013000.0,0.0,44871000.0,34716000.0,3085000.0,19785000.0
Interest Expense,1927000.0,282000.0,303000.0,426000.0,0.0,606000.0,0.0,936000.0,0.0,1435000.0,0.0,1475000.0,1719000.0,2282000.0,2487000.0
Earnings before Tax,14507000.0,14420000.0,-9529000.0,-25295000.0,0.0,15688000.0,0.0,7870000.0,0.0,8868000.0,0.0,44558000.0,31894000.0,1589000.0,17759000.0
Income Tax Expense,3711000.0,4773000.0,-3414000.0,-12282000.0,0.0,4515000.0,0.0,4226000.0,0.0,4986000.0,0.0,17815000.0,13897000.0,992000.0,6257000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,212000.0,0.0,226000.0,0.0,369000.0,0.0,198000.0,135000.0,133000.0,286000.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,10673000.0,9528000.0,-6294000.0,-13104000.0,0.0,11173000.0,0.0,3644000.0,0.0,3882000.0,0.0,26743000.0,17997000.0,597000.0,11502000.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income Com,10673000.0,9528000.0,-6294000.0,-13104000.0,0.0,11173000.0,0.0,3644000.0,0.0,3882000.0,0.0,26743000.0,17997000.0,597000.0,11502000.0
EPS,0.84,0.82,-0.56,-1.17,0.0,0.99,0.0,0.32,0.0,0.34,0.0,2.34,1.59,0.05,1.04
EPS Diluted,0.83,0.82,-0.56,-1.17,0.0,0.99,0.0,0.32,0.0,0.34,0.0,2.31,1.57,0.05,1.03
Weighted Average Shs Out,12571000.0,11295000.0,11239000.0,11203000.0,0.0,11268011.0,0.0,11264873.0,0.0,11243484.0,0.0,11429487.0,11355894.0,11191826.0,11097000.0
Weighted Average Shs Out (Dil),12682000.0,11395000.0,11239000.0,11203000.0,0.0,11273000.0,0.0,11258000.0,0.0,11304000.0,0.0,11410000.0,11319000.0,11063000.0,11194000.0
Dividend per Share,0.00906797035168,0.0150943396226,0.00969837174126,0.182183343747,0.0,0.36,0.0,0.36,0.0,0.36,0.0,0.34,0.3,0.28,0.28
Gross Margin,0.29617429286,0.333298716836,0.286784554828,0.244133460026,0.0,0.3124,0.0,0.2927,0.0,0.2805,0.0,0.3418,0.3469,0.2657,0.2755
EBITDA Margin,0.106091593621,0.0888660881558,-0.0116599873946,-0.0947125966731,0.0,0.1,0.0,0.074,0.0,0.074,0.0,0.16,0.14,0.06,0.102
EBIT Margin,0.0611174804981,0.0620147632439,-0.0533826449917,-0.147917393344,0.0,0.0613,0.0,0.0334,0.0,0.0361,0.0,0.1294,0.1083,0.017,0.0685
Profit Margin,0.0352636430618,0.0395791187747,-0.0374237433257,-0.0788058839802,0.0,0.042,0.0,0.014,0.0,0.014,0.0,0.075,0.058,0.003,0.039
Free Cash Flow margin,-0.0576218434364,0.00076017828881,0.000267567278306,-0.0049494232689,0.0,0.0312,0.0,0.0705,0.0,0.0638,0.0,0.0023,0.0069,0.1354,0.0092
EBITDA,32110000.0,21393000.0,-1961000.0,-15749000.0,0.0,26455000.0,0.0,19463000.0,0.0,21141000.0,0.0,56789000.0,43517000.0,13688000.0,30020000.0
EBIT,18498000.0,14929000.0,-8978000.0,-24596000.0,0.0,16294000.0,0.0,8806000.0,0.0,10303000.0,0.0,46033000.0,33613000.0,3871000.0,20246000.0
Consolidated Income,10673000.0,9528000.0,-6294000.0,-13104000.0,0.0,11385000.0,0.0,3870000.0,0.0,4251000.0,0.0,26941000.0,18132000.0,730000.0,11788000.0
Earnings Before Tax Margin,0.0479311974044,0.0599003875663,-0.0566588576661,-0.152121095488,0.0,0.059,0.0,0.0298,0.0,0.0311,0.0,0.1252,0.1028,0.007,0.0601
Net Profit Margin,0.0352636430618,0.0395791187747,-0.0374237433257,-0.0788058839802,0.0,0.042,0.0,0.0138,0.0,0.0136,0.0,0.0751,0.058,0.0026,0.0389
