date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,119083909.0,26763267.0,-15190394.0,15451090.0,37005128.0,-43645160.0,-26451869.0,2260564.0,6444350.0,6444350.0
,depreciationAndAmortization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-72419227.0,10089474.0,-15712401.0,-24813394.0,33931952.0,30576427.0,13401365.0,-14248707.0,9544302.0,0.0
,accountsReceivables,-580571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,311508.0,72730735.0,62641261.0,78353662.0,103167056.0,69235104.0,38658677.0,25257312.0,39506019.0,29961717.0
,otherNonCashItems,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,117624859.0,19231507.0,-3122170.0,6289798.0,39620800.0,-54141453.0,-25990897.0,4605481.0,2612223.0,2612223.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,-72725833.0,-62639874.0,-78344087.0,-103167056.0,-67996295.0,-36408502.0,-25257312.0,-39506019.0,-29961706.0
,dividendsPaid,25849.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
,otherFinancingActivites,144084110.0,57040124.0,53308183.0,47231320.0,98717017.0,153725541.0,73550589.0,6403124.0,57715026.0,48170713.0
,netCashUsedProvidedByFinancingActivities,144109959.0,-15685709.0,-9331691.0,-31112767.0,-4450039.0,85729246.0,37142087.0,-18854188.0,18209007.0,18209007.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,261734818.0,3545798.0,-12453861.0,-24822969.0,35170761.0,31587793.0,11151190.0,-14248707.0,20821230.0,20821230.0
,cashAtEndOfPeriod,345338258.0,72725833.0,62639874.0,78344087.0,103167056.0,67996295.0,36408502.0,25257312.0,39506019.0,29961706.0
,cashAtBeginningOfPeriod,83603440.0,69180035.0,75093735.0,103167056.0,67996295.0,36408502.0,25257312.0,39506019.0,18684789.0,9140476.0
,operatingCashFlow,117624859.0,19231507.0,-3122170.0,6289798.0,39620800.0,-54141453.0,-25990897.0,4605481.0,2612223.0,2612223.0
,capitalExpenditure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,freeCashFlow,117624859.0,19231507.0,-3122170.0,6289798.0,39620800.0,-54141453.0,-25990897.0,4605481.0,2612223.0,2612223.0
