date,,2020-12-31_FY,2019-12-31_FY
,revenue,0.0,0.0
,costOfRevenue,0.0,0.0
,grossProfit,0.0,0.0
,grossProfitRatio,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0
,GeneralAndAdministrativeExpenses,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0
,otherExpenses,0.0,0.0
,operatingExpenses,0.0,0.0
,costAndExpenses,0.0,0.0
,interestExpense,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,0.0,0.0
,EBITDA,-25551692.0,0.0
,EBITDARatio,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-25551692.0,-8413932.0
,operatingIncomeRatio,0.0,0.0
,totalOtherIncomeExpensesNet,0.0,0.0
,incomeBeforeTax,-25551692.0,-8413932.0
,incomeBeforeTaxRatio,0.0,0.0
,incomeTaxExpense,0.0,0.0
,netIncome,-25551692.0,-8413932.0
,netIncomeRatio,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-4.29,-0.62
,EPSDiluted,-4.29,-0.62
,weightedAverageShsOut,0.0,0.0
,weightedAverageShsOutDil,0.0,0.0
