Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12
Cash and cash equivalents,16275000.0,16000000.0,8080000.0,8000000.0,13238000.0,13000000.0,71810000.0,72000000.0,182977000.0,183000000.0
Short-term investments,0.0,,0.0,,0.0,,0.0,,0.0,
Cash and short-term investments,16275000.0,,8080000.0,,13238000.0,,71810000.0,,182977000.0,
Receivables,32032000.0,32000000.0,22170000.0,22000000.0,28554000.0,29000000.0,35807000.0,36000000.0,45014000.0,45000000.0
Inventories,6041000.0,6000000.0,7543000.0,8000000.0,5974000.0,6000000.0,6152000.0,6000000.0,3986000.0,4000000.0
Total current assets,64956000.0,559000000.0,42352000.0,621000000.0,57723000.0,676000000.0,117530000.0,557000000.0,236238000.0,368000000.0
Property Plant & Equipment Net,558206000.0,558000000.0,620214000.0,620000000.0,674699000.0,675000000.0,545258000.0,545000000.0,361007000.0,361000000.0
Goodwill and Intangible Assets,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
Long-term investments,0.0,,0.0,,0.0,,0.0,,0.0,
Tax assets,0.0,,0.0,,0.0,,0.0,,0.0,
Total non-current assets,559148000.0,427000000.0,621390000.0,428000000.0,675887000.0,423000000.0,556810000.0,389000000.0,368142000.0,392000000.0
Total assets,624104000.0,624000000.0,663742000.0,664000000.0,733610000.0,734000000.0,674340000.0,674000000.0,604380000.0,604000000.0
Payables,14812000.0,15000000.0,20557000.0,21000000.0,19363000.0,19000000.0,37144000.0,37000000.0,19430000.0,19000000.0
Short-term debt,4480000.0,20000000.0,4480000.0,39000000.0,4480000.0,29000000.0,3980000.0,4000000.0,4000000.0,4000000.0
Total current liabilities,57209000.0,57000000.0,82154000.0,82000000.0,74228000.0,74000000.0,97499000.0,97000000.0,61358000.0,61000000.0
Long-term debt,223428000.0,423000000.0,225748000.0,426000000.0,420785000.0,421000000.0,387600000.0,388000000.0,390876000.0,391000000.0
Total debt,227908000.0,423000000.0,230228000.0,426000000.0,425265000.0,421000000.0,391580000.0,388000000.0,394876000.0,391000000.0
Deferred revenue,0.0,,0.0,,0.0,,0.0,,0.0,
Tax Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,
Deposit Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,
Total non-current liabilities,226574000.0,427000000.0,228337000.0,428000000.0,422519000.0,423000000.0,388777000.0,389000000.0,391634000.0,392000000.0
Total liabilities,483783000.0,484000000.0,510491000.0,510000000.0,496747000.0,497000000.0,486276000.0,486000000.0,453009000.0,453000000.0
Other comprehensive income,140321000,,153251000,,236863000,,188064000,,151371000,
Retained earnings (deficit),0.0,,0.0,,0.0,,0.0,,0.0,
Total shareholders equity,140321000.0,,153251000.0,,236863000.0,,188064000.0,,151371000.0,
Investments,0.0,,0.0,,0.0,,0.0,,0.0,
Net Debt,211633000.0,427000000,222148000.0,457000000,412027000.0,437000000,319770000.0,320000000,211899000.0,212000000
Other Assets,0.0,8000000,0.0,3000000,0.0,6000000,0.0,12000000,0.0,8000000
Other Liabilities,200000000.0,21000000,200000000.0,21000000,0.0,24000000,0.0,55000000,17000.0,36000000
