date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2009-12-31_FY,2007-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY
,revenue,0.0,0.0,0.0,0.0,0.0,0.0,1895974000.0,0.0,0.0,0.0,0.0,0.0
,costOfRevenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,8254939000.0,0.0,0.0,0.0,0.0,0.0,1895974000.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1654000000.0,-1157000000.0,-1041000000.0,-907000000.0,-762000000.0
,otherExpenses,-16489578000.0,0.0,0.0,0.0,0.0,-12151537000.0,-11900383000.0,1244000000.0,679000000.0,536000000.0,-3990000000.0,125000000.0
,operatingExpenses,-26214836000.0,0.0,0.0,0.0,0.0,-7622240000.0,-8528664000.0,-410000000.0,-478000000.0,-505000000.0,-8921000000.0,-637000000.0
,costAndExpenses,-26214836000.0,0.0,0.0,0.0,0.0,-7622240000.0,-8528664000.0,-410000000.0,-478000000.0,-505000000.0,-8921000000.0,-637000000.0
,interestExpense,58617986000.0,126216512000.0,133244457000.0,108355156000.0,95138457000.0,41382142000.0,39640751000.0,8360000000.0,6106000000.0,5216000000.0,3990000000.0,3323000000.0
