date,,2021-03-31_FY,2020-03-31_FY,2019-03-31_FY,2018-03-31_FY,2017-03-31_FY,2016-03-31_FY,2015-03-31_FY,2014-03-31_FY,2013-03-31_FY,2012-03-31_FY
,revenue,667648000.0,599510000.0,479225000.0,355058000.0,263479000.0,181309000.0,110391000.0,63174000.0,29664000.0,11663000.0
,costOfRevenue,181564000.0,103237000.0,77399000.0,62725000.0,49990000.0,37183000.0,21802000.0,10780000.0,5078000.0,1904000.0
,grossProfit,486084000.0,496273000.0,401826000.0,292333000.0,213489000.0,144126000.0,88589000.0,52394000.0,24586000.0,9759000.0
,grossProfitRatio,0.728054304064417,0.827797701456189,0.838491314100892,0.823338722124273,0.810269509144941,0.794919171138774,0.802502015562863,0.829360179820812,0.828816073354908,0.836748692446197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,174851000.0,148159000.0,104859000.0,74332000.0,61054000.0,46394000.0,24024000.0,16496000.0,8565000.0,4300000.0
,GeneralAndAdministrativeExpenses,120931000.0,99284000.0,73007000.0,57788000.0,45615000.0,35693000.0,25319000.0,17178000.0,10053000.0,2180000.0
,SellingAndMarketingExpenses,361702000.0,334319000.0,257066000.0,207021000.0,168163000.0,129677000.0,89162000.0,58156000.0,28365000.0,10748000.0
,otherExpenses,-1918000.0,2934000.0,-1377000.0,343000.0,-572000.0,-126000.0,-390000.0,-741000.0,-105000.0,-65000.0
,operatingExpenses,657484000.0,581762000.0,434932000.0,339141000.0,274832000.0,211764000.0,138505000.0,91830000.0,46983000.0,17228000.0
,costAndExpenses,839048000.0,684999000.0,512331000.0,401866000.0,324822000.0,248947000.0,160307000.0,102610000.0,52061000.0,19132000.0
,interestExpense,24901000.0,23695000.0,19679000.0,86000.0,87000.0,68000.0,104000.0,64000.0,48000.0,10000.0
