date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,137670000.0,305567000.0,285078000.0,217631000.0,238297000.0,196829000.0,90045000.0,15032000.0,181024000.0,258142000.0,-185344000.0,-576437000.0,-57539000.0,84366000.0,54067000.0,44111000.0,21976000.0,13525000.0,-9738000.0,9370000.0,9761000.0,17100000.0,13400000.0,-4600000.0,-400000.0,-2800000.0,0.0,-8300000.0,-10300000.0,-3600000.0
,depreciationAndAmortization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,71000.0,179000.0,4110000.0,861000.0,-3165000.0,1100000.0,-220000.0,-1373000.0,-1944000.0,-1781000.0,-700000.0,1800000.0,100000.0,100000.0,700000.0,600000.0,800000.0,1100000.0,1100000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1953000.0,-50000.0,370000.0,1644000.0,-2254000.0,-1784000.0,8178000.0,-1044000.0,-3351000.0,-2300000.0,-3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,34532000.0,30656000.0,28154000.0,24031000.0,21899000.0,20717000.0,9716000.0,6242000.0,1576000.0,505000.0,138000.0,293000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-2959000.0,-59366000.0,8471000.0,-59347000.0,19003000.0,-10294000.0,1108472000.0,-1104000000.0,102000000.0,105000000.0,22000000.0,23000000.0,142000000.0,-241000000.0,-228000000.0,-22038000.0,14038000.0,-4000000.0,-2000000.0,9000000.0,-8000000.0,5000000.0,-18000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-1300000.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,-13166000.0,139000.0,-3560000.0,2475000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,0.0,-198061000.0,-138695000.0,-147166000.0,-87819000.0,-106822000.0,-96528000.0,-1205000000.0,-101000000.0,-203000000.0,-308000000.0,-330000000.0,-353000000.0,-495000000.0,-254000000.0,-26000000.0,-3962000.0,-18000000.0,-14000000.0,-12000000.0,-21000000.0,-13000000.0,-18000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,224333000.0,32016000.0,28097000.0,21988000.0,19339000.0,20708000.0,9900000.0,4935000.0,21714000.0,849000.0,6251000.0,114631000.0,107891000.0,8662000.0,3968000.0,3641000.0,-424000.0,-811000.0,-23617000.0,3363000.0,9013000.0,7900000.0,3800000.0,1300000.0,1700000.0,3200000.0,300000.0,8200000.0,11200000.0,5200000.0
,netCashProvidedByOperatingActivites,336607000.0,304037000.0,290002000.0,227461000.0,236652000.0,171394000.0,80637000.0,28692000.0,6768000.0,28071000.0,36377000.0,39753000.0,54070000.0,87054000.0,64824000.0,50762000.0,19580000.0,13532000.0,-23988000.0,12769000.0,11878000.0,24200000.0,14800000.0,2900000.0,400000.0,1300000.0,900000.0,200000.0,1700000.0,1400000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21000000.0,0.0,0.0,0.0,0.0,-2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-480070000.0,-66244000.0,-153402000.0,-41031000.0,-14730000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-660000.0,-134672000.0,-1822494000.0,-249835000.0,-68010000.0,-6157000.0,-39999000.0,-257877000.0,-36606000.0,-185900000.0,-60300000.0,0.0,-15800000.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,416817000.0,78593000.0,90637000.0,22573000.0,41573000.0,0.0,0.0,416000.0,56544000.0,94407000.0,55864000.0,25198000.0,30552000.0,88399000.0,69375000.0,23151000.0,30043000.0,43409000.0,199227000.0,103038000.0,1446000.0,3300000.0,57900000.0,0.0,1700000.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,9556000.0,2035000.0,-1495000.0,4151000.0,-1261000.0,-4130000.0,-1642000.0,-7698000.0,124733000.0,-309683000.0,589501000.0,-436267000.0,-378621000.0,-31510000.0,142113000.0,114988000.0,191207000.0,106100000.0,-445000000.0,-242600000.0,13700000.0,800000.0,200000.0,6400000.0,100000.0,300000.0
,netCashUsedForInvestingActivites,-88251000.0,-1871148000.0,-4251659000.0,-780752000.0,443643000.0,-4820985000.0,-2412896000.0,-1782491000.0,189601000.0,2094218000.0,328927000.0,122249000.0,154590000.0,-358597000.0,-1163618000.0,-662974000.0,-416707000.0,5716000.0,301336000.0,-40034000.0,155552000.0,-76600000.0,-447900000.0,-243100000.0,-500000.0,500000.0,0.0,4900000.0,0.0,-600000.0
