date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY
,revenue,14741700000.0,16222100000.0,14237200000.0,14093200000.0,12394100000.0,11964400000.0,10477600000.0,9289500000.0,9215100000.0,8709600000.0,9158600000.0,8849100000.0,9935900000.0,10906500000.0,9870500000.0,9007700000.0,8303700000.0,9404200000.0,8822500000.0,8817500000.0,8205400000.0
,costOfRevenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,4646500000.0,4503900000.0,4136700000.0,3893800000.0,3732600000.0,3672400000.0,3574300000.0,3292900000.0,2934100000.0,3057700000.0,1919200000.0,0.0,2995100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,13048000000.0,14529000000.0,12453000000.0,11841000000.0,10802000000.0,10534000000.0,8983000000.0,8166000000.0,8255000000.0,7798000000.0,8413000000.0,8103000000.0,9475000000.0,9834000000.0,8542000000.0,7918000000.0,0.0,0.0,0.0,0.0,0.0
,costAndExpenses,13048200000.0,14528800000.0,12452800000.0,11841000000.0,10802400000.0,10533600000.0,8982700000.0,8165500000.0,8255700000.0,7722000000.0,8317300000.0,8103300000.0,9482300000.0,9858300000.0,8541800000.0,7883400000.0,7422100000.0,8450500000.0,8156700000.0,8369000000.0,0.0
,interestExpense,0.0,0.0,0.0,0.0,0.0,0.0,134100000.0,142400000.0,132700000.0,0.0,120100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,251900000.0,226800000.0,205100000.0,195700000.0,186600000.0,193000000.0,122700000.0,108100000.0,90200000.0,115800000.0,271300000.0,138500000.0,145000000.0,487500000.0,344500000.0,101600000.0,321600000.0,694800000.0,615400000.0,723500000.0,549500000.0
,EBITDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,EBITDARatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingIncomeRatio,0.114878202649627,0.104382293291251,0.125333633017728,0.15980756676979,0.128424008197449,0.119588111397145,0.142675803619149,0.120996824371602,0.1041117296611,0.113392119041058,0.0918590177538052,0.0842797572634505,0.0456526333799656,0.096107825608582,0.134613241477129,0.124815435682805,0.106169538880258,0.101412135003509,0.0754661377160669,0.0508647575843493,0.0
,totalOtherIncomeExpensesNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2191200000.0,0.0,0.0,2634700000.0,1902500000.0,1683200000.0,1472000000.0,2416200000.0,1990800000.0,1814700000.0,920900000.0
,incomeBeforeTax,1693500000.0,1693300000.0,1784400000.0,2252200000.0,1591700000.0,1430800000.0,1494900000.0,1124000000.0,959400000.0,987600000.0,841300000.0,745800000.0,453600000.0,1048200000.0,1328700000.0,1124300000.0,881600000.0,953700000.0,665800000.0,448500000.0,0.0
,incomeBeforeTaxRatio,0.114878202649627,0.104382293291251,0.125333633017728,0.15980756676979,0.128424008197449,0.119588111397145,0.142675803619149,0.120996824371602,0.1041117296611,0.113392119041058,0.0918590177538052,0.0842797572634505,0.0456526333799656,0.096107825608582,0.134613241477129,0.124815435682805,0.106169538880258,0.101412135003509,0.0754661377160669,0.0508647575843493,0.0
,incomeTaxExpense,265000000.0,249200000.0,230700000.0,-72300000.0,229900000.0,177600000.0,318500000.0,187900000.0,134700000.0,236400000.0,124100000.0,100100000.0,-4500000.0,208100000.0,295000000.0,232400000.0,179100000.0,225800000.0,45900000.0,79000000.0,0.0
,netIncome,1395800000.0,1394200000.0,1546500000.0,2310400000.0,1316500000.0,1234000000.0,1144100000.0,912700000.0,805900000.0,715000000.0,699300000.0,622700000.0,458100000.0,860300000.0,1064300000.0,919000000.0,825600000.0,746300000.0,142300000.0,358800000.0,620200000.0
,netIncomeRatio,0.094683788165544,0.0859444831433662,0.108623886719299,0.163937217949082,0.106219894950017,0.103139313296112,0.109194853783309,0.0982507131707842,0.0874542869854912,0.0820933223110131,0.0763544646561702,0.0703687380637579,0.0461055364888938,0.0788795672305506,0.10782635124867,0.102023824061636,0.0994255572816937,0.079358159120393,0.0161292150750921,0.0406918060674794,0.0755843712677018
