date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-17507000.0,-59937000.0,-8857000.0,-63509000.0,-42758000.0,-40611000.0
,depreciationAndAmortization,87341000.0,15669000.0,8389000.0,5336000.0,5302000.0,2555000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,134076000.0,85175000.0,37674000.0,10953000.0,8206000.0,5284000.0
,changeInWorkingCapital,-60043000.0,328431000.0,57272000.0,40374000.0,-7523000.0,-4363000.0
,accountsReceivables,-196046000.0,-110225000.0,-50673000.0,-41184000.0,-26492000.0,-14118000.0
,inventory,-4181000.0,-14129000.0,-2953000.0,10828000.0,-13256000.0,-3754000.0
,accountsPayables,6410000.0,9409000.0,-98000.0,24315000.0,-2808000.0,4724000.0
,otherWorkingCapital,21007000.0,567362000.0,238931000.0,181659000.0,17643000.0,7870000.0
,otherNonCashItems,524000.0,531000.0,342000.0,784000.0,709000.0,1963000.0
,netCashProvidedByOperatingActivites,148192000.0,13707000.0,13922000.0,37292000.0,-32463000.0,-32604000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-82382000.0,-77180000.0,-18327000.0,-9229000.0,-8596000.0,-5019000.0
,acquisitionsNet,0.0,-68000000.0,0.0,-3000000.0,0.0,0.0
,purchasesOfInvestments,0.0,-12365000.0,-53806000.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,54810000.0,12000000.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,-80000.0,29000.0,-186000.0
,netCashUsedForInvestingActivites,-81324000.0,-110295000.0,-60133000.0,-12268000.0,-8567000.0,-5205000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-74325000.0,0.0,0.0,-40446000.0,-15000000.0,-2576000.0
,commonStockIssued,497242000.0,0.0,0.0,131646000.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,0.0,0.0,-500000.0,0.0,-594000.0,-1188000.0
,netCashUsedProvidedByFinancingActivities,509048000.0,458328000.0,24525000.0,117664000.0,-156000.0,58547000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,29000.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,575916000.0,361769000.0,-21686000.0,142688000.0,-41186000.0,20738000.0
,cashAtEndOfPeriod,1093249000.0,517333000.0,155564000.0,177250000.0,34562000.0,75748000.0
,cashAtBeginningOfPeriod,517333000.0,155564000.0,177250000.0,34562000.0,75748000.0,55010000.0
,operatingCashFlow,148192000.0,13707000.0,13922000.0,37292000.0,-32463000.0,-32604000.0
,capitalExpenditure,-82382000.0,-84608000.0,-18327000.0,-9229000.0,-8596000.0,-5019000.0
,freeCashFlow,65810000.0,-70901000.0,-4405000.0,28063000.0,-41059000.0,-37623000.0
