Date,2018-12-31,2017-12-31
Depreciation & Amortization,3905000.0,4305000.0
Stock-based compensation,2658000.0,1661000.0
Operating Cash Flow,-76409000.0,-10699000.0
Capital Expenditure,-6284000.0,-3756000.0
Acquisitions and disposals,0.0,0.0
Investment purchases and sales,0.0,0.0
Investing Cash flow,-6709000.0,-3756000.0
Issuance (repayment) of debt,18739000.0,-393000.0
Issuance (buybacks) of shares,1798000.0,1012000.0
Dividend payments,0.0,0.0
Financing Cash Flow,105367000.0,20583000.0
Effect of forex changes on cash,-18000.0,-14000.0
Net cash flow / Change in cash,22231000.0,6114000.0
Free Cash Flow,-82693000.0,-14455000.0
Net Cash/Marketcap,0.0957,0.0957
