Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-03-31,2015-03,2014-03-31,2014-03,2013-03-31,2013-03
Revenue,4764000000.0,4764000000.0,4455000000.0,4455000000.0,0.0,3173967000.0,3174000000.0,4775128000.0,4775000000.0,4362145000.0,4362000000.0
Revenue Growth,0,0.0693602693602694,0,0.0,-1,-0.0000103969754253308,-0.335305776096473,0.0000268062827225131,0.094644951050458,0.0000332416322787712,
Cost of Revenue,3699000000.0,3699000000.0,3470000000.0,3470000000.0,0.0,2469865000.0,2470000000.0,3635486000.0,3635000000.0,3421276000.0,3421000000.0
Gross Profit,1065000000.0,1065000000.0,985000000.0,985000000.0,0.0,704102000.0,704000000.0,1139642000.0,1140000000.0,940869000.0,941000000.0
R&D Expenses,115000000.0,115000000.0,116000000.0,116000000.0,0.0,49349000.0,49000000.0,62520000.0,63000000.0,64678000.0,65000000.0
SG&A Expense,421000000.0,421000000.0,397000000.0,397000000.0,0.0,388500000.0,388000000.0,486816000.0,487000000.0,406548000.0,407000000.0
Operating Expenses,536000000.0,536000000.0,513000000.0,513000000.0,0.0,437849000.0,438000000.0,549336000.0,549000000.0,471226000.0,471000000.0
Operating Income,529000000.0,529000000.0,472000000.0,472000000.0,0.0,231953000.0,266000000.0,590306000.0,590000000.0,469643000.0,470000000.0
Interest Expense,152000000.0,000000.0,111000000.0,000000.0,0.0,39117000.0,000000.0,169428000.0,80000000.0,120243000.0,66000000.0
Earnings before Tax,462000000.0,462000000.0,404000000.0,404000000.0,0.0,241601000.0,117000000.0,510343000.0,511000000.0,392048000.0,392000000.0
Income Tax Expense,152000000.0,152000000.0,111000000.0,111000000.0,0.0,39117000.0,39000000.0,169428000.0,169000000.0,120243000.0,120000000.0
Net Income - Non-Controlling int,0.0,,0.0,,0.0,0.0,,0.0,,0.0,
Net Income - Discontinued ops,0.0,,0.0,,0.0,0.0,,0.0,,0.0,
Net Income,310000000.0,310000000.0,293000000.0,293000000.0,0.0,202484000.0,202000000.0,340915000.0,341000000.0,271805000.0,272000000.0
Preferred Dividends,0.0,,0.0,,0.0,0.0,,0.0,,0.0,
Net Income Com,310000000.0,310000000.0,293000000.0,293000000.0,0.0,202484000.0,202000000.0,340915000.0,341000000.0,271805000.0,272000000.0
EPS,5.39,5.39,5.05,5.05,0.0,5.71,5.71,10.76,10.76,8.38,8.38
EPS Diluted,5.34,5.34,5.01,5.01,0.0,5.6,5.60,10.42,10.42,8.34,8.34
Weighted Average Shs Out,57000000.0,57000000.0,57990000.0,58000000.0,0.0,35469000.0,35000000.0,31671000.0,32000000.0,32447000.0,32000000.0
Weighted Average Shs Out (Dil),57000000.0,58000000.0,57990000.0,58000000.0,0.0,35469000.0,36000000.0,31671000.0,33000000.0,32447000.0,33000000.0
Dividend per Share,1.29824561404,,1.20710467322,,0.0,1.15751783247,,1.10934293202,,0.925601750547,
Gross Margin,0.22355163728,0.2235516372796,0.221099887767,0.22109988776655,0.0,0.221836584942,0.22180214240706,0.238662084032,0.23874345549738,0.21568952889,0.2157267308574
EBITDA Margin,0.143996641478,0.14357682619647,0.142087542088,0.14163860830527,0.0,0.102505476585,0.11058601134216,0.151968282316,0.1482722513089,0.134435466955,0.1292984869326
EBIT Margin,0.111041141898,0.096977329974811,0.105948372615,0.090684624017957,0.0,0.0730798398345,0.075929426591052,0.123620979375,0.12356020942408,0.107663317015,0.10499770747364
Profit Margin,0.0650713685978,0.065071368597817,0.0657687991021,0.065768799102132,0.0,0.063795244248,0.06364209199748,0.0713938977133,0.071413612565445,0.062309941554,0.062356717102247
Free Cash Flow margin,0.0577246011755,,0.0745230078563,,0.0,0.0625800457283,,0.0506909971837,,0.0405082820493,
EBITDA,686000000.0,684000000.0,633000000.0,631000000.0,0.0,325349000.0,351000000.0,725668000.0,708000000.0,586427000.0,564000000.0
EBIT,529000000.0,462000000,472000000.0,404000000,0.0,231953000.0,241000000,590306000.0,590000000,469643000.0,458000000
Consolidated Income,310000000.0,310000000.0,293000000.0,293000000.0,0.0,202484000.0,202000000.0,340915000.0,341000000.0,271805000.0,272000000.0
Earnings Before Tax Margin,0.0969773299748,0.096977329974811,0.090684624018,0.090684624017957,0.0,0.076119568981,0.036862003780718,0.106875250255,0.10701570680628,0.0898750500041,0.089867033470885
Net Profit Margin,0.0650713685978,0.065071368597817,0.0657687991021,0.065768799102132,0.0,0.063795244248,0.06364209199748,0.0713938977133,0.071413612565445,0.062309941554,0.062356717102247
