date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-02-16_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,246000000.0,600000000.0,663000000.0,767000000.0,784000000.0,410000000.0,501000000.0,556000000.0,729000000.0,582000000.0,615000000.0,472000000.0,377000111.6,315999933.8,745001671.2,187000000.0,240033000.0,167000000.0
,depreciationAndAmortization,562000000.0,502000000.0,435000000.0,447000000.0,463000000.0,493000000.0,427000000.0,361000000.0,312000000.0,297000000.0,273000000.0,298000000.0,258999651.2,228000435.1,166000941.6,99000000.0,162195000.0,0.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,26000000.0,32000000.0,35000000.0,31000000.0,27000000.0,29000000.0,32000000.0,28000000.0,34000000.0,30000000.0,21000000.0,18000000.0,24000513.8,23000211.2,14000292.3,7000000.0,11700168.78932,0.0
,changeInWorkingCapital,61000000.0,27000000.0,-189000000.0,-102000000.0,-170000000.0,107000000.0,-158000000.0,-74000000.0,-24000000.0,-57000000.0,-77000000.0,32000000.0,-124000953.4,-130000582.7,-217001585.7,-141000000.0,-22239000.0,0.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-45000000.0,-204000000.0,-152000000.0,-17000000.0,-47000000.0,-83000000.0,-168000000.0,-99000000.0,12000000.0,40000000.0,21000000.0,-17000000.0,-117000135.2,-84000160.3,-37000351.8,-48000000.0,-114073000.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,56000000.0,55000000.0,51000000.0,51000000.0,46000000.0,38000000.0,22000000.0,-4000000.0,-2000000.0,8000000.0,5000000.0,0.0,14000000.0,-60000000.0,3000000.0,-3000000.0,-32017000.0,0.0
,netCashProvidedByOperatingActivites,935000000.0,1168000000.0,931000000.0,1090000000.0,849000000.0,1030000000.0,683000000.0,867000000.0,902000000.0,842000000.0,859000000.0,719000000.0,560998704.0,428001486.0,352999376.7,147000000.0,397436000.0,165000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-292000175.4,-200001050.9,-230999914.7,-200000000.0,-195554000.0,0.0
,acquisitionsNet,0.0,-869000000.0,-29000000.0,-159000000.0,129000000.0,-44000000.0,-1572000000.0,-67000000.0,-782000000.0,-33000000.0,0.0,-25000000.0,-16000000.0,-781000000.0,-83000000.0,-25000000.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,-4000000.0,-8000000.0,-2000000.0,-2000000.0,-4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-575000.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,-118000000.0,0.0,20000000.0,0.0,103000000.0,0.0,0.0,137000000.0,0.0,0.0,0.0,14000000.0,-1000.0,0.0
,netCashUsedForInvestingActivites,-606000000.0,-1251000000.0,-378000000.0,-543000000.0,-383000000.0,-429000000.0,-1745000000.0,-407000000.0,-954000000.0,-354000000.0,-307000000.0,-206000000.0,-299999860.6,-965001005.0,251000051.8,-110000000.0,-260739000.0,-23000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-405000000.0,-865000000.0,-401000000.0,-770000000.0,-797000000.0,-1088000000.0,-2120000000.0,-785000000.0,-297000000.0,-562000000.0,-714000000.0,-880000000.0,-1077000272.4,-733999058.4,-293000928.7,0.0,0.0,0.0
,commonStockIssued,11000000.0,11000000.0,13000000.0,10000000.0,16000000.0,21000000.0,44000000.0,51000000.0,83000000.0,24000000.0,23000000.0,17000000.0,23000188.6,27999384.2,16000895.0,11000000.0,15338000.0,0.0
,commonStockRepurchased,-16000000.0,-63000000.0,-48000000.0,-52000000.0,-368000000.0,-77000000.0,-75000000.0,-231000000.0,0.0,-6000000.0,-5000000.0,0.0,-193000061.0,-640000552.1,0.0,0.0,-7861000.0,0.0
,dividendsPaid,-328000000.0,-318000000.0,-321000000.0,-269000000.0,-279000000.0,-272000000.0,-250000000.0,-239000000.0,-186000000.0,-146000000.0,-132000000.0,-120000000.0,-109000450.0,-105000702.3,-95999480.1,-50000000.0,-89533000.0,0.0
,otherFinancingActivites,7000000.0,-2000000.0,-8000000.0,24000000.0,-25000000.0,-15000000.0,-11000000.0,-1000000.0,-1000000.0,-1000000.0,-3000000.0,-12000000.0,5000167.8,-13999692.1,-9999086.9,-2000000.0,76305000.0,0.0
,netCashUsedProvidedByFinancingActivities,1164000000.0,7000000.0,-371000000.0,-434000000.0,-529000000.0,-558000000.0,1008000000.0,-498000000.0,54000000.0,-521000000.0,-537000000.0,-469000000.0,-243000280.8,346998821.8,-382998600.7,-22000000.0,-121934000.0,-139000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
