Date,2018-12-31,2018-12,2017-12-31,2017-12,2016-12,2015-12,2014-12
Cash and cash equivalents,4489.0,0000000.0,0.0,0000000.0,000000.0,000000.0,000000.0
Short-term investments,0.0,,0.0,,,,
Cash and short-term investments,,,,,,,
Receivables,0.0,,0.0,,,,
Inventories,0.0,,0.0,,,,
Total current assets,58453560.0,58000000.0,,0000000.0,000000.0,000000.0,000000.0
Property, Plant & Equipment Net,0.0,,0.0,,,,
Goodwill and Intangible Assets,0.0,0,0.0,0,0,0,0
Long-term investments,58451942.0,58000000.0,0.0,000000.0,000000.0,000000.0,000000.0
Tax assets,1618.0,0000000.0,,000000.0,000000.0,000000.0,000000.0
Total non-current assets,53082804.0,,,,,,
Total assets,58474545.0,58000000.0,159695.0,0000000.0,000000.0,000000.0,000000.0
Payables,314387.0,0000000.0,746.0,0000000.0,000000.0,000000.0,000000.0
Short-term debt,0.0,,0.0,,,,
Total current liabilities,391738.0,0000000.0,136253.0,0000000.0,000000.0,000000.0,000000.0
Long-term debt,0.0,,0.0,,,,
Total debt,0.0,,,,,,
Deferred revenue,0.0,,,,,,
Tax Liabilities,77351.0,,,,,,
Deposit Liabilities,0.0,,,,,,
Total non-current liabilities,53082804.0,,,,,,
Total liabilities,53474542.0,0000000.0,136253.0,0000000.0,000000.0,000000.0,000000.0
Other comprehensive income,0.0,,,,,,
Retained earnings (deficit),-31515.0,-0000000.0,-1558.0,-0000000.0,000000.0,000000.0,000000.0
Total shareholders equity,5000003.0,58000000.0,23442.0,0000000.0,000000.0,000000.0,000000.0
Investments,58451942.0,58000000.0,0.0,000000.0,000000.0,000000.0,000000.0
Net Debt,,0,,0,0,0,0
Other Assets,,0,,0,0,0,0
Other Liabilities,,0,,0,0,0,0
