date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,36741000.0,-43597000.0,-88288000.0,-70698000.0,-40193000.0,-29672000.0,-16317000.0
,depreciationAndAmortization,3817000.0,2765000.0,2117000.0,1595000.0,612000.0,600000.0,184000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,14934000.0,15640000.0,15710000.0,9238000.0,6310000.0,4027000.0,425000.0
,changeInWorkingCapital,-144537000.0,78438000.0,55381000.0,-2135000.0,-12848000.0,56142000.0,477000.0
,accountsReceivables,10484000.0,-18496000.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-3436000.0,2598000.0,-282000.0,470000.0,-62000.0,-942000.0,604000.0
,otherWorkingCapital,171003000.0,228647000.0,130808000.0,155893000.0,164984000.0,171963000.0,5884000.0
,otherNonCashItems,0.0,-996000.0,1356000.0,674000.0,2941000.0,9750000.0,3313000.0
,netCashProvidedByOperatingActivites,-96716000.0,48666000.0,-15887000.0,-61350000.0,-42482000.0,41299000.0,-11918000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-12097000.0,-7718000.0,-4305000.0,-3985000.0,-5029000.0,-1030000.0,-2988000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-7698000.0,-494231000.0,-333228000.0,-147296000.0,-112350000.0,-220399000.0,0.0
,salesMaturitiesOfInvestments,195495000.0,411300000.0,364000000.0,147600000.0,165100000.0,26660000.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,-421000.0,0.0,-314000.0
,netCashUsedForInvestingActivites,112995000.0,-90477000.0,26467000.0,-3681000.0,47300000.0,-194769000.0,-3302000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,844000.0,78280000.0,860000.0,58557000.0,0.0,72955000.0,80000.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,3163000.0,80994000.0,4749000.0,59920000.0,514000.0,177744000.0,22120000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,19442000.0,39183000.0,15329000.0,-5111000.0,5332000.0,24274000.0,6900000.0
,cashAtEndOfPeriod,106219000.0,86777000.0,47594000.0,31530000.0,36641000.0,31309000.0,7035000.0
,cashAtBeginningOfPeriod,86777000.0,47594000.0,32265000.0,36641000.0,31309000.0,7035000.0,135000.0
,operatingCashFlow,-96716000.0,48666000.0,-15887000.0,-61350000.0,-42482000.0,41299000.0,-11918000.0
,capitalExpenditure,-12097000.0,-7718000.0,-4305000.0,-3985000.0,-5029000.0,-1030000.0,-2988000.0
,freeCashFlow,-108813000.0,40948000.0,-20192000.0,-65335000.0,-47511000.0,40269000.0,-14906000.0
