date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY,1985-12-31_FY,1984-12-31_FY,1983-12-31_FY
,revenue,7811000000.0,8237000000.0,7150000000.0,6865000000.0,6498000000.0,6145000000.0,5713000000.0,5092000000.0,5062000000.0,4750000000.0,4497000000.0,4320600000.0,4292700000.0,4404700000.0,4250100000.0,4038283000.0,3906265000.0,3359643000.0,3749568000.0,3923632000.0,3817327000.0,3334482000.0,4050034000.0,4020723000.0,4115400000.0,3629600000.0,1767400000.0,1763300000.0,1842200000.0,1705100000.0,2154300000.0,1725000000.0,1546500000.0,1421400000.0,2387900000.0,2527300000.0,2569100000.0,2538900000.0
,costOfRevenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404000000.0,434000000.0,433000000.0,462600000.0,463000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85800000.0,90200000.0,87000000.0,157000000.0,155700000.0,161700000.0,158600000.0,174400000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,835000000.0,797000000.0,808200000.0,889400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,1487000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2157000000.0,2313000000.0
,operatingExpenses,0.0,7129000000.0,6511000000.0,6141000000.0,5711000000.0,5580000000.0,5107000000.0,4414000000.0,4420000000.0,4085000000.0,3803000000.0,3508000000.0,3977000000.0,3740000000.0,3530000000.0,3657000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2315600000.0,2487400000.0
,costAndExpenses,6963000000.0,7129000000.0,6511000000.0,6141000000.0,5711000000.0,5580000000.0,5087000000.0,4403000000.0,4525000000.0,4190000000.0,3808000000.0,3507700000.0,3976800000.0,3765800000.0,3552500000.0,3681469000.0,3316727000.0,3058637000.0,3571549000.0,3867734000.0,3707434000.0,3032421000.0,3845280000.0,3701113000.0,1234000000.0,1084600000.0,454500000.0,456800000.0,299300000.0,65800000.0,203300000.0,171000000.0,129000000.0,221400000.0,317500000.0,334600000.0,2315600000.0,2487400000.0
,interestExpense,88000000.0,68000000.0,62000000.0,85000000.0,77000000.0,74000000.0,73000000.0,71000000.0,85000000.0,85000000.0,78000000.0,66700000.0,70000000.0,71300000.0,72500000.0,73227000.0,71893000.0,57320000.0,60407000.0,60744000.0,67642000.0,63672000.0,57682000.0,52331000.0,76100000.0,122600000.0,53200000.0,62800000.0,69600000.0,65800000.0,52000000.0,27900000.0,6300000.0,14800000.0,36600000.0,44800000.0,44700000.0,-17000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,299000000.0,259000000.0,210000000.0,107000000.0,134000000.0,132000000.0,144000000.0,142000000.0,257000000.0,192000000.0,214000000.0,198400000.0,220500000.0,194300000.0,167000000.0,213035000.0,174220000.0,176857000.0,174990000.0,147588000.0,117388000.0,95000000.0,106000000.0,76400000.0,79400000.0,47800000.0,27500000.0,32800000.0,40700000.0,41800000.0,65500000.0,52900000.0,35700000.0,49600000.0,125200000.0,128100000.0,120900000.0,117400000.0
,EBITDA,1075000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374400000.0,168900000.0
,EBITDARatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.145731968393601,0.0665248729764859
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,776000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253500000.0,51500000.0
,operatingIncomeRatio,0.0993470746383306,0.134514993322812,0.0893706293706294,0.105462490895849,0.121114188981225,0.0919446704637917,0.109574654297217,0.135310290652003,0.106084551560648,0.117894736842105,0.153213253279964,0.188145165023376,0.0735900482213991,0.145049606102572,0.164137314416131,0.0883578491155771,0.15092114846279,0.0895946384779573,0.0474772027070852,0.0142464940646829,0.0287879450725599,0.0905870836909601,0.0505561187881386,0.0794906786664985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0986726869331673,0.0202843751230848
,totalOtherIncomeExpensesNet,204000000.0,201000000.0,199000000.0,206000000.0,224000000.0,243000000.0,102000000.0,97000000.0,183000000.0,175000000.0,181000000.0,226400000.0,294100000.0,344100000.0,364700000.0,414986000.0,342415000.0,266647000.0,259266000.0,219869000.0,253025000.0,137518000.0,117570000.0,159884000.0,1270900000.0,980900000.0,171100000.0,436300000.0,798000000.0,824000000.0,2154300000.0,1725000000.0,1546500000.0,1421400000.0,2387900000.0,2527300000.0,0.0,0.0
,incomeBeforeTax,848000000.0,1108000000.0,639000000.0,724000000.0,787000000.0,565000000.0,626000000.0,689000000.0,537000000.0,560000000.0,689000000.0,812900000.0,315900000.0,638900000.0,697600000.0,356814000.0,589538000.0,301006000.0,178019000.0,55898000.0,109893000.0,302061000.0,204754000.0,319610000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298200000.0,34500000.0
,incomeBeforeTaxRatio,0.108564844450134,0.134514993322812,0.0893706293706294,0.105462490895849,0.121114188981225,0.0919446704637917,0.109574654297217,0.135310290652003,0.106084551560648,0.117894736842105,0.153213253279964,0.188145165023376,0.0735900482213991,0.145049606102572,0.164137314416131,0.0883578491155771,0.15092114846279,0.0895946384779573,0.0474772027070852,0.0142464940646829,0.0287879450725599,0.0905870836909601,0.0505561187881386,0.0794906786664985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.116071776108365,0.0135885619756588
,incomeTaxExpense,127000000.0,239000000.0,122000000.0,247000000.0,119000000.0,195000000.0,220000000.0,236000000.0,135000000.0,240000000.0,266000000.0,282200000.0,115900000.0,225800000.0,235700000.0,115843000.0,186089000.0,-47454000.0,17880000.0,10078000.0,29041000.0,98198000.0,79584000.0,120127000.0,91300000.0,56500000.0,40400000.0,-52600000.0,40900000.0,41900000.0,47200000.0,58300000.0,50600000.0,20400000.0,134200000.0,99900000.0,128200000.0,14800000.0
