date,,2021-01-31_FY,2020-01-31_FY,2019-01-31_FY,2018-01-31_FY,2017-01-31_FY,2016-01-31_FY
,revenue,869258000.0,794191000.0,479941000.0,367443000.0,261026000.0,166048000.0
,costOfRevenue,189188000.0,232502000.0,136114000.0,158035000.0,86988000.0,75363000.0
,grossProfit,680070000.0,561689000.0,343827000.0,209408000.0,174038000.0,90685000.0
,grossProfitRatio,0.782356906695135,0.707246745430255,0.716394306800211,0.569906080671016,0.666745841410434,0.546137261514743
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,244507000.0,263566000.0,173814000.0,215695000.0,102309000.0,99314000.0
,GeneralAndAdministrativeExpenses,171327000.0,170336000.0,110613000.0,85539000.0,55907000.0,34902000.0
,SellingAndMarketingExpenses,420501000.0,467541000.0,253164000.0,298467000.0,203161000.0,161106000.0
,otherExpenses,-3117000.0,185000.0,-2478000.0,1429000.0,-547000.0,386000.0
,operatingExpenses,836335000.0,901443000.0,537591000.0,599701000.0,361377000.0,295322000.0
,costAndExpenses,1025523000.0,1133945000.0,673705000.0,757736000.0,448365000.0,370685000.0
,interestExpense,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,89393000.0,92156000.0,17428000.0,12102000.0,10134000.0,8586000.0
,EBITDA,-66872000.0,-247598000.0,-176336000.0,-378191000.0,-177205000.0,-196051000.0
,EBITDARatio,-0.0769299793617085,-0.31176127656949,-0.367411827703822,-1.02925079536146,-0.678878732386812,-1.18068871651571
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-156265000.0,-339754000.0,-193764000.0,-390293000.0,-187339000.0,-204637000.0
,operatingIncomeRatio,-0.179768262127009,-0.427798854431742,-0.403724624485093,-1.06218651600384,-0.717702451096826,-1.23239665638851
,totalOtherIncomeExpensesNet,-3117000.0,185000.0,-2478000.0,1429000.0,-547000.0,386000.0
,incomeBeforeTax,-155388000.0,-327882000.0,-187231000.0,-383714000.0,-185130000.0,-202033000.0
,incomeBeforeTaxRatio,-0.178759355680362,-0.412850309308466,-0.390112534665719,-1.04428169811372,-0.709239692597672,-1.21671444401619
,incomeTaxExpense,7346000.0,8700000.0,5418000.0,2079000.0,2187000.0,1110000.0
,netIncome,-162734000.0,-336582000.0,-192649000.0,-385793000.0,-187317000.0,-203143000.0
,netIncomeRatio,-0.187210241378279,-0.423804852988765,-0.401401422258153,-1.04993971854138,-0.717618168305073,-1.22339925804587
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-0.54,-1.2,-1.21,-2.654655,-1.65,-1.793602
,EPSDiluted,-0.54,-1.2,-1.21,-2.654655,-1.65,-1.793602
,weightedAverageShsOut,302522000.0,280772000.0,159816000.0,145327001.0,113259828.0,113259828.0
,weightedAverageShsOutDil,302522000.0,280772000.0,159816000.0,145327001.0,113259828.0,113259828.0
