date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-74766000.0,-78166000.0,-56024000.0,95639000.0,-50720000.0,24174000.0,-31699000.0,-6056000.0,-20444000.0,-11320000.0
,depreciationAndAmortization,1605000.0,1664000.0,1247000.0,1008000.0,893000.0,785000.0,1052000.0,1346000.0,1452000.0,1619000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,11113000.0,10326000.0,11500000.0,8500000.0,5067000.0,2981000.0,1693000.0,1003000.0,868000.0,903000.0
,changeInWorkingCapital,32959000.0,-71813000.0,-27889000.0,107130000.0,-45322000.0,74379000.0,44974000.0,-2812000.0,-12921000.0,-9548000.0
,accountsReceivables,-81000.0,-57000.0,119000.0,-107000.0,43000.0,951000.0,-851000.0,-157000.0,487000.0,1000000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-651000.0,-217000.0,435000.0,113000.0,44000.0,-90000.0,-32000.0,158000.0,-764000.0,403000.0
,otherWorkingCapital,132546000.0,99587000.0,171400000.0,199289000.0,92159000.0,137481000.0,63102000.0,18128000.0,20940000.0,33861000.0
,otherNonCashItems,284000.0,226000.0,-11231000.0,-158000.0,-315000.0,-205000.0,-231000.0,-378000.0,-378000.0,-513000.0
,netCashProvidedByOperatingActivites,-69037000.0,-48761000.0,-48029000.0,102927000.0,-45343000.0,23061000.0,-29760000.0,13018000.0,-26427000.0,-18085000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-210000.0,-685000.0,-2869000.0,-947000.0,-770000.0,-868000.0,-804000.0,-363000.0,-468000.0,-290000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-156671000.0,-97837000.0,-99435000.0,-206207000.0,-132344000.0,-163025000.0,-89188000.0,-29929000.0,-38398000.0,-40879000.0
,salesMaturitiesOfInvestments,157225000.0,181105000.0,140207000.0,85847000.0,125901000.0,178462000.0,45540000.0,26655000.0,37666000.0,64070000.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,344000.0,82583000.0,37903000.0,-121307000.0,-7213000.0,14569000.0,-44452000.0,-3637000.0,-1200000.0,22901000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,0.0,0.0,-30745000.0,0.0,-7175000.0,-8182000.0,-5241000.0,-332000.0,-332000.0
,commonStockIssued,92019000.0,115000.0,0.0,0.0,0.0,46995000.0,87588000.0,32000.0,0.0,15000.0
,commonStockRepurchased,0.0,-740000.0,-1206000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,0.0,0.0,0.0,0.0,0.0,-180000.0,-1436000.0,-2024000.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,92852000.0,1451000.0,-169000.0,5490000.0,601000.0,41484000.0,77970000.0,-7233000.0,12168000.0,6985000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,24159000.0,35273000.0,-10295000.0,-12890000.0,-51955000.0,79114000.0,3758000.0,2148000.0,-15459000.0,11801000.0
,cashAtEndOfPeriod,78359000.0,54200000.0,18927000.0,27665000.0,40555000.0,92510000.0,13396000.0,9638000.0,7490000.0,22949000.0
,cashAtBeginningOfPeriod,54200000.0,18927000.0,29222000.0,40555000.0,92510000.0,13396000.0,9638000.0,7490000.0,22949000.0,11148000.0
,operatingCashFlow,-69037000.0,-48761000.0,-48029000.0,102927000.0,-45343000.0,23061000.0,-29760000.0,13018000.0,-26427000.0,-18085000.0
,capitalExpenditure,-210000.0,-685000.0,-2869000.0,-947000.0,-770000.0,-868000.0,-804000.0,-363000.0,-468000.0,-290000.0
,freeCashFlow,-69247000.0,-49446000.0,-50898000.0,101980000.0,-46113000.0,22193000.0,-30564000.0,12655000.0,-26895000.0,-18375000.0
