date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY
,revenue,3128909000.0,3589427000.0,3374950000.0,3071976000.0,2677203000.0,3651335000.0,2445548000.0,2616416000.0,2745420000.0,2869005000.0,2362764000.0,2005394000.0,2467115000.0,2336187000.0,2368506000.0,2107499000.0,1513737000.0,1110237000.0,980215000.0,916899000.0,917549000.0,845925000.0,820862000.0,829850000.0,854481000.0,1244200000.0,1080900000.0,903400000.0
,costOfRevenue,2134056000.0,2331649000.0,2157694000.0,1961996000.0,1706627000.0,2454463000.0,1674700000.0,1755011000.0,1835425000.0,1891946000.0,1616842000.0,1521532000.0,1859441000.0,1713696000.0,1817692000.0,1684101000.0,1201388000.0,871727000.0,744979000.0,695564000.0,646086000.0,581380000.0,560057000.0,568424000.0,611353000.0,873100000.0,742100000.0,622500000.0
,grossProfit,994853000.0,1257778000.0,1217256000.0,1109980000.0,970576000.0,1196872000.0,770848000.0,861405000.0,909995000.0,977059000.0,745922000.0,483862000.0,607674000.0,622491000.0,550814000.0,423398000.0,312349000.0,238510000.0,235236000.0,221335000.0,271463000.0,264545000.0,260805000.0,261426000.0,243128000.0,371100000.0,338800000.0,280900000.0
,grossProfitRatio,0.317955236154199,0.35041191811395,0.360673787759819,0.361324437430501,0.362533584490978,0.327790246581045,0.315204608537637,0.329230902119541,0.331459303130304,0.340556743540008,0.315698901794678,0.241280267119579,0.246309555898286,0.26645598147751,0.232557570046265,0.200900688446353,0.2063429776771,0.214828005191684,0.239984085124182,0.241395180930506,0.295856679043844,0.312728669799332,0.317720883656449,0.315028017111526,0.284532950410834,0.298263944703424,0.313442501619021,0.310936462253708
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,59214000.0,58287000.0,70054000.0,84330000.0,80475000.0,102871000.0,88310000.0,82246000.0,78919000.0,77083000.0,58394000.0,60918000.0,67292000.0,62691000.0,46299000.0,41675000.0,31273000.0,18411000.0,16485000.0,21919000.0,26201000.0,34288000.0,29655000.0,31446000.0,30442000.0,29500000.0,28100000.0,0.0
,GeneralAndAdministrativeExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98915000.0,103234000.0,105439000.0,105435000.0,109273000.0,119260000.0,130500000.0,123500000.0,143800000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-59177000.0,-45478000.0,-64434000.0,-25601000.0,5894000.0,48474000.0,-16761000.0,-6923000.0,1229000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
