date,,2020-06-30_FY,2019-06-30_FY,2018-06-30_FY,2017-06-30_FY,2016-06-30_FY,2015-06-30_FY,2014-06-30_FY,2013-06-30_FY,2012-06-30_FY,2011-06-30_FY,2010-06-30_FY,2009-06-30_FY,2008-06-30_FY,2007-06-30_FY,2006-06-30_FY,2005-06-30_FY,2004-06-30_FY,2003-06-30_FY,2002-06-30_FY,2001-06-30_FY,2000-06-30_FY,1999-05-31_FY,1998-05-31_FY,1997-05-31_FY,1996-05-31_FY,1995-05-31_FY,1994-05-31_FY,1993-05-31_FY,1992-05-31_FY,1991-05-31_FY,1990-05-31_FY,1989-05-31_FY,1988-05-31_FY,1987-05-31_FY
,revenue,42931000000.0,44288000000.0,43638000000.0,38285000000.0,30912000000.0,44636000000.0,67206000000.0,65968000000.0,72226000000.0,71739000000.0,52798000000.0,50211000000.0,60121000000.0,39498000000.0,32153000000.0,29587000000.0,22887000000.0,15608000000.0,14698000000.0,11467000000.0,12841000000.0,12553000000.0,13264000000.0,15983000000.0,15270500000.0,13270000000.0,12201300000.0,10938400000.0,10933000000.0,11877900000.0,10303200000.0,7884500000.0,7908200000.0,6241200000.0
,costOfRevenue,16838000000.0,16730000000.0,17204000000.0,17016000000.0,18721000000.0,24057000000.0,32086000000.0,32074000000.0,33079000000.0,23217000000.0,20362000000.0,21726000000.0,15349000000.0,17808000000.0,15149000000.0,19496000000.0,16465000000.0,10965000000.0,9968000000.0,7290000000.0,11241000000.0,13691000000.0,14144000000.0,13812000000.0,12397500000.0,9980000000.0,9493100000.0,7685600000.0,8919000000.0,9908000000.0,7978800000.0,5948300000.0,6641300000.0,4776700000.0
,grossProfit,26093000000.0,27558000000.0,26434000000.0,21269000000.0,12191000000.0,20579000000.0,35120000000.0,33894000000.0,39147000000.0,48522000000.0,32436000000.0,28485000000.0,44772000000.0,21690000000.0,17004000000.0,10091000000.0,6422000000.0,4643000000.0,4730000000.0,4177000000.0,1600000000.0,-1138000000.0,-880000000.0,2171000000.0,2873000000.0,3290000000.0,2708200000.0,3252800000.0,2014000000.0,1969900000.0,2324400000.0,1936200000.0,1266900000.0,1464500000.0
,grossProfitRatio,0.607789243204211,0.622245303468208,0.605756450799762,0.555543946715424,0.394377587991718,0.461040415807868,0.522572389369997,0.513794567062818,0.542007033478249,0.676368502488186,0.61434145232774,0.567305968811615,0.744698191979508,0.549141728695124,0.528846452897086,0.341061952884713,0.280595971512212,0.29747565351102,0.321812491495442,0.364262666782942,0.124600887781325,-0.0906556201704772,-0.0663449939686369,0.135831821310142,0.18814053239907,0.247927656367747,0.221959955086753,0.297374387478973,0.184212933321138,0.165845814495828,0.225599813650128,0.2455704229818,0.160200804228522,0.234650387745946
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,13000000.0,43000000.0,64000000.0,75000000.0,74000000.0,65000000.0,156000000.0,244000000.0,169000000.0,76000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,4730000000.0,4437000000.0,4411000000.0,4256000000.0,4230000000.0,5607000000.0,7662000000.0,8186000000.0,7298000000.0,8637000000.0,6704000000.0,6461000000.0,15194000000.0,4538000000.0,3865000000.0,192000000.0,48000000.0,125000000.0,174000000.0,1371000000.0,79000000.0,93000000.0,101000000.0,111000000.0,0.0,0.0,0.0,1147300000.0,69000000.0,0.0,0.0,0.0,59600000.0,45600000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,777000000.0,393000000.0,247000000.0,736000000.0,444000000.0,496000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,11336000000.0,10804000000.0,10592000000.0,9851000000.0,9095000000.0,8852000000.0,13011000000.0,13775000000.0,12883000000.0,14804000000.0,12814000000.0,13254000000.0,19724000000.0,7738000000.0,6766000000.0,2274000000.0,1908000000.0,1945000000.0,2056000000.0,2597000000.0,1447000000.0,1541000000.0,1482000000.0,1617000000.0,1435700000.0,1185100000.0,1123100000.0,2086200000.0,975000000.0,880100000.0,812700000.0,658200000.0,722700000.0,537800000.0
,costAndExpenses,28174000000.0,27534000000.0,27796000000.0,26867000000.0,27816000000.0,32909000000.0,45097000000.0,45849000000.0,45962000000.0,38021000000.0,33176000000.0,34980000000.0,35073000000.0,25546000000.0,21915000000.0,21770000000.0,18373000000.0,12910000000.0,12024000000.0,9887000000.0,12688000000.0,15232000000.0,15626000000.0,15429000000.0,13833200000.0,11165100000.0,10616200000.0,9771800000.0,9894000000.0,10788100000.0,8791500000.0,6606500000.0,7364000000.0,5314500000.0
,interestExpense,881000000.0,1565000000.0,1443000000.0,1480000000.0,1161000000.0,751000000.0,1092000000.0,1231000000.0,922000000.0,246000000.0,674000000.0,852000000.0,955000000.0,650000000.0,731000000.0,302000000.0,274000000.0,302000000.0,465000000.0,282000000.0,0.0,0.0,448000000.0,462000000.0,380900000.0,292100000.0,340700000.0,382000000.0,423000000.0,549300000.0,722700000.0,549000000.0,434500000.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
