date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2013-09-30_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1999-09-30_FY,1998-09-30_FY,1997-09-30_FY,1996-09-30_FY,1995-09-30_FY,1994-09-30_FY,1993-09-30_FY,1992-09-30_FY,1991-09-30_FY,1990-09-30_FY,1989-09-30_FY,1988-09-30_FY,1987-09-30_FY,1986-09-30_FY,1985-09-30_FY
,revenue,0.0,1322934000.0,1386815000.0,1362265000.0,1383210000.0,1375964000.0,1447821000.0,1467550000.0,0.0,1459050000.0,1430789000.0,1328180000.0,1201412000.0,1252620000.0,1184778000.0,1098774000.0,1023930000.0,1047133000.0,987408000.0,939886000.0,816947000.0,809163000.0,198700000.0,920200000.0,856800000.0,825700000.0,806400000.0,793000000.0,929900000.0,891600000.0,883400000.0,834300000.0,838900000.0,837300000.0,721300000.0,709900000.0,602700000.0,491500000.0
,costOfRevenue,908254000.0,908061000.0,920686000.0,886775000.0,907783000.0,921531000.0,959311000.0,991648000.0,0.0,995907000.0,981137000.0,919821000.0,832382000.0,871754000.0,822479000.0,766506000.0,731253000.0,734596000.0,675412000.0,631581000.0,549327000.0,479406000.0,132100000.0,550800000.0,511800000.0,513800000.0,499800000.0,483600000.0,580400000.0,554700000.0,560000000.0,528500000.0,557100000.0,585400000.0,500700000.0,496900000.0,423700000.0,353100000.0
,grossProfit,-908254000.0,414873000.0,466129000.0,475490000.0,475427000.0,454433000.0,488510000.0,475902000.0,0.0,463143000.0,449652000.0,408359000.0,369030000.0,380866000.0,362299000.0,332268000.0,292677000.0,312537000.0,311996000.0,308305000.0,267620000.0,329757000.0,66600000.0,369400000.0,345000000.0,311900000.0,306600000.0,309400000.0,349500000.0,336900000.0,323400000.0,305800000.0,281800000.0,251900000.0,220600000.0,213000000.0,179000000.0,138400000.0
,grossProfitRatio,0.0,0.313600678491898,0.336114766569442,0.349043688269169,0.343712812949588,0.330265181356489,0.337410494805642,0.324283329358455,0.0,0.317427778348926,0.314268560912895,0.307457573521661,0.307163570864949,0.304055499672686,0.305794840890023,0.302398855451622,0.28583692244587,0.298469248891975,0.315974754103673,0.328023824165909,0.32758551044315,0.407528520211626,0.33517866129844,0.401434470767224,0.40266106442577,0.377740099309677,0.380208333333333,0.390163934426229,0.375846865254328,0.3778600269179,0.36608557844691,0.366534819609253,0.335916080581714,0.300847963692822,0.305836683765424,0.300042259473165,0.296996847519496,0.281586978636826
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,0.0,293763000.0,262751000.0,307684000.0,289818000.0,288092000.0,357845000.0,303540000.0,0.0,271935000.0,258829000.0,233782000.0,222067000.0,219267000.0,214929000.0,202991000.0,189998000.0,183381000.0,168036000.0,161810000.0,146130000.0,153010000.0,38600000.0,175300000.0,171900000.0,167400000.0,164200000.0,171900000.0,204000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,271091000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,271091000.0,293763000.0,262751000.0,307684000.0,289818000.0,288092000.0,357845000.0,303540000.0,0.0,271935000.0,258829000.0,233782000.0,222067000.0,219267000.0,214929000.0,202991000.0,189998000.0,183381000.0,174512000.0,161810000.0,146130000.0,198564000.0,38700000.0,224300000.0,216100000.0,204700000.0,197700000.0,206500000.0,240400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,costAndExpenses,1179345000.0,1201824000.0,1183437000.0,1194459000.0,1197601000.0,1209623000.0,1317156000.0,1295188000.0,0.0,1267842000.0,1239966000.0,1153603000.0,1054449000.0,1091021000.0,1037408000.0,969497000.0,921251000.0,917977000.0,849924000.0,793391000.0,695457000.0,677970000.0,170800000.0,775100000.0,727900000.0,718500000.0,697500000.0,690100000.0,820800000.0,785900000.0,780700000.0,728000000.0,747600000.0,760100000.0,659000000.0,654500000.0,557000000.0,456600000.0
,interestExpense,-14811000.0,20107000.0,21853000.0,19383000.0,18324000.0,16945000.0,16067000.0,16147000.0,0.0,16901000.0,19439000.0,20384000.0,23788000.0,32306000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
