date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY,1985-12-31_FY
,revenue,2486597000.0,2337082000.0,2263061000.0,1635653000.0,1221887000.0,920333000.0,735717000.0,594931000.0,437367000.0,307822000.0,278232000.0,212522000.0,325151000.0,435203000.0,347629000.0,323400000.0,301554460.0,274681995.0,308754982.0,293070216.0,361620206.0,457356260.0,453500000.0,410600000.0,403500000.0,362500000.0,331000000.0,258600000.0,184300000.0,143000000.0,141900000.0,146900000.0,148100000.0,127100000.0,120800000.0,122100000.0
,costOfRevenue,2027580000.0,1914211000.0,1847195000.0,1356738000.0,1019418000.0,768054000.0,617214000.0,503908000.0,371623000.0,263514000.0,248594000.0,189643000.0,297912000.0,384743000.0,305566000.0,285260000.0,265674780.0,242498880.0,269561768.0,259057716.0,311478189.0,391113228.0,386400000.0,352600000.0,345600000.0,309200000.0,285800000.0,222400000.0,159700000.0,123100000.0,121600000.0,126600000.0,127200000.0,109200000.0,103800000.0,104400000.0
,grossProfit,459017000.0,422871000.0,415866000.0,278915000.0,202469000.0,152279000.0,118503000.0,91023000.0,65744000.0,44308000.0,29638000.0,22879000.0,27239000.0,50460000.0,42063000.0,38140000.0,35879680.0,32183115.0,39193214.0,34012500.0,50142017.0,66243032.0,67100000.0,58000000.0,57900000.0,53300000.0,45200000.0,36200000.0,24600000.0,19900000.0,20300000.0,20300000.0,20900000.0,17900000.0,17000000.0,17700000.0
,grossProfitRatio,0.18459645853349,0.18093973596134,0.183762611789961,0.170522109518339,0.165701902058046,0.165460762571808,0.161071444590787,0.15299757450864,0.15031769657976,0.143940329151263,0.106522614221225,0.107654736921354,0.0837733852886813,0.115945891917105,0.120999686447333,0.117934446505875,0.118982421947929,0.117164996562661,0.126939535505212,0.116055805547978,0.138659334207669,0.144839018930232,0.147960308710033,0.141256697515831,0.143494423791822,0.147034482758621,0.136555891238671,0.139984532095901,0.133478024959305,0.139160839160839,0.143058491895701,0.138189244383935,0.141120864280891,0.140833988985051,0.140728476821192,0.144963144963145
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,146376000.0,134466000.0,128242000.0,90736000.0,62183000.0,46417000.0,36362000.0,27979000.0,21637000.0,16603000.0,13835000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42167493.0,40380956.0,43772337.0,42900000.0,37300000.0,34600000.0,32000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,98055000.0,74996000.0,46905000.0,36081000.0,27106000.0,26163000.0,20158000.0,15782000.0,13645000.0,11699000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
