date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-28_FY,2013-12-29_FY,2012-12-30_FY,2011-12-25_FY,2010-12-26_FY,2009-12-27_FY,2008-12-28_FY,2007-12-30_FY,2006-12-31_FY,2005-12-25_FY,2004-12-26_FY,2003-12-28_FY,2002-12-29_FY,2001-12-30_FY,2000-12-31_FY,1999-12-26_FY,1998-12-27_FY,1997-12-28_FY,1996-12-29_FY,1995-12-31_FY,1994-12-25_FY,1993-12-26_FY,1992-12-27_FY,1991-12-29_FY,1990-12-30_FY,1989-12-31_FY,1988-12-25_FY,1987-12-27_FY,1986-12-28_FY,1985-12-29_FY,1984-12-30_FY,1983-12-25_FY
,revenue,2937780000.0,2299497000.0,2207282000.0,1903026000.0,3341198000.0,3050945000.0,6008200000.0,5161400000.0,5353200000.0,5240000000.0,5438700000.0,5613000000.0,6767700000.0,7439500000.0,8033354000.0,7598900000.0,7381300000.0,6711100000.0,6422200000.0,6344200000.0,6222318000.0,5260200000.0,5121300000.0,4729500000.0,4421100000.0,4006700000.0,3824500000.0,3641600000.0,3469000000.0,3382000000.0,3441600000.0,3518200000.0,3314500000.0,3079400000.0,2801500000.0,2209400000.0,1960200000.0,1703600000.0
,costOfRevenue,1503287000.0,1228237000.0,1065933000.0,933718000.0,1038667000.0,923336000.0,3048600000.0,2882400000.0,2943800000.0,2895000000.0,2980500000.0,3304800000.0,4012700000.0,4164100000.0,4438236000.0,4061200000.0,3821400000.0,3453800000.0,3254000000.0,3320200000.0,3057252000.0,2608500000.0,2594000000.0,2368600000.0,2367800000.0,2252500000.0,2106800000.0,2067200000.0,2653800000.0,2623300000.0,2568700000.0,1991800000.0,1886000000.0,1717500000.0,1564500000.0,1231200000.0,1102000000.0,950300000.0
,grossProfit,1434493000.0,1071260000.0,1141349000.0,969308000.0,2302531000.0,2127609000.0,2959600000.0,2279000000.0,2409400000.0,2345000000.0,2458200000.0,2308200000.0,2755000000.0,3275400000.0,3595118000.0,3537700000.0,3559900000.0,3257300000.0,3168200000.0,3024100000.0,3165066000.0,2651700000.0,2527300000.0,2360900000.0,2053300000.0,1754200000.0,1717700000.0,1574400000.0,815200000.0,758700000.0,872900000.0,1526400000.0,1428500000.0,1362000000.0,1237000000.0,978200000.0,858200000.0,753300000.0
,grossProfitRatio,0.488291499023072,0.465867100500675,0.517083453768028,0.509350896939926,0.689133358753357,0.697360653830207,0.492593455610665,0.441546867129073,0.450085929911081,0.447519083969466,0.451983010645926,0.411223944414751,0.407080692111057,0.440271523623899,0.447523910934337,0.465554224953612,0.482286318128243,0.485360075099462,0.493320046090125,0.476671605560985,0.508663491644111,0.504106307744953,0.49348798156718,0.499185960460937,0.464431928705526,0.437816657099359,0.449130605307883,0.432337434094903,0.234995675987316,0.224334713187463,0.253632031613203,0.43385822295492,0.430985065620757,0.442293953367539,0.441549170087453,0.44274463655291,0.437812468115498,0.442181263207326
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,438896000.0,406948000.0,367787000.0,342339000.0,1093837000.0,1068221000.0,1539500000.0,1291900000.0,1303400000.0,1215700000.0,1185500000.0,1207300000.0,1278000000.0,1270100000.0,1320111000.0,1215300000.0,1168100000.0,1044800000.0,1019500000.0,990500000.0,971895000.0,808500000.0,773600000.0,743600000.0,699500000.0,692400000.0,696100000.0,650400000.0,0.0,0.0,0.0,579800000.0,563600000.0,539800000.0,497200000.0,370200000.0,321100000.0,296300000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-24074000.0,11960000.0,-11496000.0,-35304000.0,-20439000.0,-11529000.0,3410667000.0,1590591000.0,1640420000.0,1737612000.0,1792832000.0,2097471000.0,2734765000.0,2893993000.0,0.0,2845990000.0,2653287000.0,2408973000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
