date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY
,revenue,539009000.0,713514000.0,675574000.0,591251000.0,521072000.0,468540000.0,499261000.0,563579000.0,654117000.0,615220000.0,460411000.0,409464000.0,446124000.0,389560000.0,321054000.0,273533000.0,236047000.0,185589000.0,130352000.0,112233000.0,101582000.0,87100000.0,89400000.0,91500000.0,93300000.0,93700000.0,75100000.0,59500000.0,43700000.0,25500000.0,8600000.0,5100000.0,4500000.0,3400000.0
,costOfRevenue,208278000.0,267578000.0,248012000.0,214965000.0,194601000.0,179069000.0,212224000.0,234800000.0,246931000.0,228446000.0,186401000.0,175296000.0,191915000.0,160137000.0,143855000.0,115827000.0,113988000.0,93024000.0,69760000.0,57887000.0,49511000.0,42900000.0,46000000.0,48200000.0,49800000.0,47400000.0,38100000.0,32600000.0,24200000.0,13800000.0,4100000.0,2500000.0,2500000.0,1700000.0
,grossProfit,330731000.0,445936000.0,427562000.0,376286000.0,326471000.0,289471000.0,287037000.0,328779000.0,407186000.0,386774000.0,274010000.0,234168000.0,254209000.0,229423000.0,177199000.0,157706000.0,122059000.0,92565000.0,60592000.0,54346000.0,52071000.0,44200000.0,43400000.0,43300000.0,43500000.0,46300000.0,37000000.0,26900000.0,19500000.0,11700000.0,4500000.0,2600000.0,2000000.0,1700000.0
,grossProfitRatio,0.613590867684955,0.624985634479492,0.632886996835284,0.636423447909602,0.62653721558633,0.617814914414991,0.574923737283705,0.583376953364125,0.622497198513416,0.628675920808816,0.595142166455623,0.571889103803997,0.569816911889968,0.588928534757162,0.551928958991322,0.576552006522065,0.517096171525162,0.49876339653751,0.464833681109611,0.484224782372386,0.512600657596818,0.507462686567164,0.485458612975392,0.473224043715847,0.466237942122186,0.494130202774813,0.492676431424767,0.452100840336134,0.446224256292906,0.458823529411765,0.523255813953488,0.509803921568627,0.444444444444444,0.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,260648000.0,341209000.0,332831000.0,295540000.0,258787000.0,228268000.0,233634000.0,250025000.0,325799000.0,318998000.0,217574000.0,187690000.0,202264000.0,181224000.0,141074000.0,126353000.0,89516000.0,66572000.0,43072000.0,39624000.0,37509000.0,32000000.0,32900000.0,32300000.0,32400000.0,33000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,549000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,260648000.0,341209000.0,332831000.0,295540000.0,258787000.0,228268000.0,233634000.0,250025000.0,325799000.0,318998000.0,217574000.0,187690000.0,203200000.0,182092000.0,141074000.0,126353000.0,89516000.0,66572000.0,43072000.0,39624000.0,39871000.0,34400000.0,34300000.0,33500000.0,34000000.0,34300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,costAndExpenses,468926000.0,608787000.0,580843000.0,510505000.0,453388000.0,407337000.0,445858000.0,484825000.0,572730000.0,547444000.0,403975000.0,362986000.0,395115000.0,342229000.0,284929000.0,242180000.0,203504000.0,159596000.0,112832000.0,97511000.0,89382000.0,77300000.0,80300000.0,81700000.0,83800000.0,81700000.0,62800000.0,48800000.0,37000000.0,22300000.0,7100000.0,4400000.0,3800000.0,2600000.0
,interestExpense,1970000.0,2146000.0,2578000.0,1992000.0,2340000.0,2826000.0,1478000.0,1380000.0,1654000.0,2197000.0,2116000.0,2647000.0,4940000.0,3667000.0,1797000.0,970000.0,798000.0,271000.0,394000.0,347000.0,363000.0,0.0,500000.0,0.0,900000.0,1100000.0,800000.0,600000.0,500000.0,400000.0,100000.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,9067000.0,8729000.0,11031000.0,11914000.0,15341000.0,9078000.0,10166000.0,11110000.0,15554000.0,13073000.0,9188000.0,10963000.0,9925000.0,8031000.0,5347000.0,4513000.0,3988000.0,3344000.0,2220000.0,2134000.0,2362000.0,2400000.0,1400000.0,1200000.0,1600000.0,1300000.0,900000.0,400000.0,300000.0,300000.0,100000.0,0.0,0.0,0.0
,EBITDA,79150000.0,113456000.0,105762000.0,92660000.0,83025000.0,70281000.0,63569000.0,89864000.0,96941000.0,80849000.0,65624000.0,57441000.0,60934000.0,55362000.0,41472000.0,35866000.0,36531000.0,29337000.0,19740000.0,16856000.0,14562000.0,12200000.0,10500000.0,11000000.0,11100000.0,13300000.0,13200000.0,11100000.0,7000000.0,3500000.0,1600000.0,600000.0,600000.0,700000.0
