Date,2017-12-31,2016-12-31
Depreciation & Amortization,,
Stock-based compensation,0.0,0.0
Operating Cash Flow,-498644.0,-153667.0
Capital Expenditure,0.0,0.0
Acquisitions and disposals,0.0,0.0
Investment purchases and sales,0.0,-150000000.0
Investing Cash flow,0.0,-150000000.0
Issuance (repayment) of debt,0.0,-238000.0
Issuance (buybacks) of shares,0.0,151448325.0
Dividend payments,0.0,0.0
Financing Cash Flow,0.0,150991034.0
Effect of forex changes on cash,0.0,0.0
Net cash flow / Change in cash,-498644.0,837367.0
Free Cash Flow,-498644.0,-153667.0
Net Cash/Marketcap,,
