Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31
Depreciation & Amortization,993372.0,1071942.0,1000000.0,1097066.0,1000000.0,1125758.0,1000000.0,1020232.0,1000000.0,969311.0,1000000.0,0.0,5839245.0
Stock-based compensation,576721.0,1260179.0,1000000.0,2311410.0,2000000.0,2049567.0,2000000.0,2504309.0,3000000.0,5190797.0,5000000.0,0.0,0.0
Operating Cash Flow,-12462336.0,-10540421.0,-11000000.0,-11279911.0,-11000000.0,-16255963.0,-16000000.0,-13033126.0,-13000000.0,-7242764.0,-7000000.0,0.0,-7500568.0
Capital Expenditure,123152.0,34639.0,-0000000.0,13528.0,-0000000.0,91909.0,-6000000.0,180408.0,-0000000.0,33175.0,-0000000.0,0.0,70220.0
Acquisitions and disposals,-0.0,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,-0.0
Investment purchases and sales,0.0,0.0,0,0.0,0,0.0,0,-181421.0,0,1611878.0,0,0.0,-100000.0
Investing Cash flow,-1293152.0,-76639.0,-0000000.0,-13528.0,-0000000.0,-6091909.0,-6000000.0,-180408.0,-0000000.0,1623158.0,2000000.0,0.0,-587804.0
Issuance (repayment) of debt,-0.0,-0.0,000000.0,-0.0,-0000000.0,-0.0,-0000000.0,-0.0,-0000000.0,-0.0,-0000000.0,-0.0,-2000000.0
Issuance (buybacks) of shares,-995590.0,334958.0,,8073374.0,,10461842.0,,20636032.0,,-44455.0,,0.0,-247151.0
Dividend payments,-0.0,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,-0.0
Financing Cash Flow,1892205.0,13193831.0,13000000.0,19778157.0,20000000.0,10437419.0,10000000.0,20618264.0,21000000.0,10144522.0,10000000.0,0.0,11249389.0
Effect of forex changes on cash,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net cash flow / Change in cash,-11863283.0,2576771.0,3000000.0,8484718.0,8000000.0,-11910453.0,-12000000.0,7404730.0,7000000.0,4524916.0,5000000.0,0.0,3161017.0
Free Cash Flow,-12585488.0,-10575060.0,-11000000.0,-11293439.0,-11000000.0,-16347872.0,-22000000.0,-13213534.0,-13000000.0,-7275939.0,-7000000.0,0.0,-7570788.0
Net Cash/Marketcap,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
