Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31
Cash and cash equivalents,16645000.0,28823000.0,14453000.0,6260000.0,26079000.0,0.0
Short-term investments,0.0,2996000.0,5571000.0,17807000.0,0.0,0.0
Cash and short-term investments,16645000.0,31819000.0,20024000.0,24067000.0,26079000.0,0.0
Receivables,0.0,0.0,0.0,0.0,0.0,0.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,17396000.0,35580000.0,26505000.0,29452000.0,27681000.0,1552000.0
Property Plant & Equipment Net,664000.0,1026000.0,1399000.0,1799000.0,1696000.0,2084000.0
Goodwill and Intangible Assets,0.0,0.0,0.0,0.0,0.0,0.0
Long-term investments,0.0,2996000.0,0.0,17807000.0,0.0,0.0
Tax assets,69000.0,89000.0,161000.0,130000.0,0.0,0.0
Total non-current assets,964000.0,1230000.0,3197000.0,8957000.0,5710000.0,2084000.0
Total assets,18360000.0,36810000.0,29702000.0,38409000.0,33391000.0,3636000.0
Payables,2755000.0,3853000.0,2807000.0,1613000.0,1037000.0,1368000.0
Short-term debt,0.0,0.0,193000.0,148000.0,0.0,0.0
Total current liabilities,7539000.0,7079000.0,6495000.0,8073000.0,10454000.0,13992000.0
Long-term debt,0.0,0.0,0.0,0.0,0.0,0.0
Total debt,0.0,0.0,193000.0,148000.0,0.0,0.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,69000.0,89000.0,161000.0,130000.0,0.0,5381000.0
Total liabilities,14504000.0,39404000.0,11710000.0,8073000.0,10454000.0,19373000.0
Other comprehensive income,179765000,176151000,142167000,130902000,0.0,160778000.0
Retained earnings (deficit),-176496000.0,-179310000.0,-124492000.0,-100678000.0,-54219000.0,-176515000.0
Total shareholders equity,3856000.0,-2594000.0,17992000.0,30336000.0,22937000.0,-15737000.0
Investments,0.0,5992000.0,5571000.0,35614000.0,0.0,0.0
Net Debt,-16645000.0,-28823000.0,-14260000.0,-6112000.0,-26079000.0,0.0
Other Assets,0.0,0.0,0.0,0.0,1602000.0,1552000.0
Other Liabilities,6896000.0,32236000.0,5054000.0,0.0,9417000.0,12624000.0
