Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12,2013-12,2011-12-31
Cash and cash equivalents,200501000.0,201000000.0,94681000.0,95000000.0,157535000.0,158000000.0,147000000.0,98000000.0,10184000.0
Short-term investments,70000.0,,0.0,,0.0,,,,0.0
Cash and short-term investments,200571000.0,,94681000.0,,157535000.0,,,,10184000.0
Receivables,2758000.0,33000000.0,2048000.0,68000000.0,13611000.0,57000000.0,51000000.0,49000000.0,27762000.0
Inventories,0.0,,0.0,,0.0,,,,0.0
Total current assets,253466000.0,2365000000.0,215285000.0,2777000000.0,258128000.0,2132000000.0,1130000000.0,922000000.0,73145000.0
Property Plant & Equipment Net,0.0,2312000000.0,0.0,2705000000.0,4664000.0,2003000000.0,1075000000.0,876000000.0,11978000.0
Goodwill and Intangible Assets,0.0,0,0.0,0,26291000.0,26000000,27000000,30000000,0.0
Long-term investments,6020000.0,,19585000.0,,0.0,,,,0.0
Tax assets,0.0,,0.0,,0.0,,,,0.0
Total non-current assets,2364751000.0,1193000000.0,2777384000.0,1339000000.0,2131618000.0,773000000.0,791000000.0,678000000.0,1598143000.0
Total assets,2618217000.0,2618000000.0,2992669000.0,2993000000.0,2389746000.0,2390000000.0,1361000000.0,1123000000.0,1671288000.0
Payables,29817000.0,7000000.0,33991000.0,7000000.0,133248000.0,4000000.0,34000000.0,60000000.0,37919000.0
Short-term debt,1121488000.0,120000000.0,181023000.0,181000000.0,135367000.0,135000000.0,000000.0,000000.0,890268000.0
Total current liabilities,1152157000.0,151000000.0,216566000.0,217000000.0,268615000.0,269000000.0,53000000.0,80000000.0,932346000.0
Long-term debt,190559000.0,1192000000.0,1337782000.0,1338000000.0,772723000.0,773000000.0,791000000.0,678000000.0,0.0
Total debt,1312047000.0,1192000000.0,1518805000.0,1338000000.0,908090000.0,773000000.0,791000000.0,678000000.0,890268000.0
Deferred revenue,0.0,,0.0,,0.0,,,,922000.0
Tax Liabilities,0.0,,0.0,,0.0,,,,0.0
Deposit Liabilities,0.0,,0.0,,0.0,,,,0.0
Total non-current liabilities,191734000.0,1193000000.0,1338692000.0,1339000000.0,773370000.0,773000000.0,791000000.0,678000000.0,938455000.0
Total liabilities,1343891000.0,1344000000.0,1555258000.0,1555000000.0,1041985000.0,1042000000.0,844000000.0,757000000.0,1421482000.0
Other comprehensive income,1519564000,19000000.0,1515362000,17000000.0,1509688000,1000000.0,0000000.0,0000000.0,636532000
Retained earnings (deficit),-264656000.0,-265000000.0,-96115000.0,-96000000.0,-163421000.0,-163000000.0,-293000000.0,-246000000.0,-381356000.0
Total shareholders equity,1274326000.0,1274000000.0,1437411000.0,1437000000.0,1347761000.0,1348000000.0,517000000.0,366000000.0,249806000.0
Investments,6090000.0,,19585000.0,,0.0,,,,0.0
Net Debt,1111546000.0,1111000000,1424124000.0,1424000000,750555000.0,750000000,644000000,580000000,880084000.0
Other Assets,0.0,71000000,0.0,122000000,0.0,135000000,58000000,67000000,0.0
Other Liabilities,0.0,2000000,0.0,3000000,0.0,1000000,0,0,0.0
