date,,2019-03-31_FY,2018-03-31_FY,2017-03-31_FY,2016-03-31_FY,2015-03-31_FY,2014-03-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-1943000000.0,7389000000.0,-1206000000.0,-1995000000.0,-3345000000.0,-151000000.0,-1860000000.0,-27000000.0,-2890000000.0,-3465000000.0,-1253846000000.0,-5324000000.0,-29580000000.0,1329000000.0,1785000000.0,-1012000000.0
,depreciationAndAmortization,9391000000.0,8580000000.0,8150000000.0,7088000000.0,5349000000.0,1297000000.0,2934000000.0,0.0,4858000000.0,6248000000.0,208263000000.0,8396000000.0,9023000000.0,9592000000.0,6269000000.0,4720000000.0
,deferredIncomeTax,-85000000.0,-7119000000.0,433000000.0,123000000.0,-609000000.0,46000000.0,32000000.0,1000000.0,-231000000.0,-230000000.0,712000000.0,-1263000000.0,-360000000.0,468000000.0,830000000.0,0.0
,stockBasedCompensation,132000000.0,182000000.0,93000000.0,75000000.0,86000000.0,0.0,98000000.0,0.0,73000000.0,70000000.0,27512000000.0,267000000.0,265000000.0,338000000.0,0.0,0.0
,changeInWorkingCapital,-334000000.0,1542000000.0,-921000000.0,1392000000.0,-1753000000.0,-849000000.0,-1179000000.0,-3000000.0,1849000000.0,-3331173000000.0,3331099000000.0,2506000000.0,-949000000.0,-4536000000.0,1969000000.0,0.0
,accountsReceivables,394000000.0,362000000.0,555000000.0,-2770000000.0,-2770000000.0,-2770000000.0,261000000.0,50401000000.0,-54212000000.0,-20104000000.0,-2381000000.0,652000000.0,920000000.0,656000000.0,441000000.0,0.0
,inventory,279000000.0,705000000.0,2900000000.0,3200000000.0,1246000000.0,-10057000000.0,-391000000.0,11200000000.0,15697000000.0,-4808000000.0,-9450000000.0,342000000.0,182000000.0,-254000000.0,11000000.0,0.0
,accountsPayables,-142000000.0,57000000.0,-365000000.0,-574000000.0,481000000.0,60329000000.0,25000000.0,-17090000000.0,90000000.0,-558000000.0,338288000000.0,-1137000000.0,-471000000.0,-1024000000.0,299000000.0,0.0
,otherWorkingCapital,776000000.0,3453000000.0,1659000000.0,-5130000000.0,-1163000000.0,1881000000.0,2389000000.0,4885000000.0,3838000000.0,1989000000.0,3333162000000.0,2063000000.0,-443000000.0,506000000.0,5042000000.0,3073000000.0
,otherNonCashItems,3400000000.0,-318000000.0,-9746000000.0,-7031000000.0,2808000000.0,179000000.0,12000000.0,28000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,10429000000.0,10062000000.0,-3290000000.0,-423000000.0,2450000000.0,522000000.0,-61000000.0,0.0,3691000000.0,4815000000.0,-472484000000.0,6179000000.0,9245000000.0,10958000000.0,10678000000.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-4963000000.0,-3319000000.0,-1950000000.0,-4680000000.0,-5422000000.0,18337000000.0,-3993000000.0,20795000000.0,-3130000000.0,-1935000000.0,89792000000.0,75000000.0,42000000.0,0.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,-14112000000.0,0.0,0.0,-0.0,0.0,0.0,-287000000.0,-10481000000.0,0.0,0.0
,purchasesOfInvestments,-5165000000.0,-4112000000.0,-10065000000.0,-501814000000.0,-501814000000.0,-501814000000.0,-1719000000.0,-1797787000000.0,-957883000000.0,-2098705000000.0,-3571154000000.0,4000000.0,-8000000.0,-527000000.0,-821000000.0,0.0
,salesMaturitiesOfInvestments,7197000000.0,7202000000.0,4621000000.0,0.0,0.0,0.0,1715000000.0,0.0,0.0,0.0,0.0,204000000.0,15000000.0,1657000000.0,808000000.0,0.0
,otherInvestingActivites,-4579000000.0,-2816000000.0,-7275000000.0,-1055000000.0,708000000.0,0.0,0.0,0.0,-313000000.0,-621000000.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-9542000000.0,-6135000000.0,-1695000000.0,-1415000000.0,-4714000000.0,-1756000000.0,-18108000000.0,-3100000000.0,-3443000000.0,-2556000000.0,-1782999000000.0,-4250000000.0,-6377000000.0,-11392000000.0,-4724000000.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-9764000000.0,-8518000000.0,-5417000000.0,-899000000.0,-574000000.0,-20566000000.0,-3378000000.0,-26985000000.0,-7906000000.0,-862000000.0,-1171775000000.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,-291000000.0,0.0,0.0,10000000.0,35000000.0,0.0,18567000000.0,58460000000.0,18000000.0,8000000.0,12196000000.0,57000000.0,344000000.0,405000000.0,432000000.0,0.0
,commonStockRepurchased,291000000.0,35000000.0,0.0,0.0,0.0,0.0,18567000000.0,3105000000.0,-5447000000.0,-5173000000.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-286000000.0,-296000000.0,-525000000.0,-7000000.0
,otherFinancingActivites,16554000000.0,14918000000.0,13573000000.0,3999000000.0,5853000000.0,0.0,0.0,0.0,13361000000.0,5122000000.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,-483000000.0,-210000000.0,5286000000.0,469000000.0,1304000000.0,-160000000.0,24528000000.0,3105000000.0,26000000.0,-905000000.0,2745847000000.0,-484000000.0,-2668000000.0,-6423000000.0,-1228000000.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
